acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.185,-0.716,0.506,91.463,67.622,-61.341
-0.168,-0.746,0.542,85.427,57.317,-55.61
-0.196,-0.738,0.567,76.646,47.5,-50.305
-0.222,-0.716,0.595,66.524,38.78,-48.841
-0.232,-0.714,0.598,57.439,30.976,-46.341
-0.226,-0.743,0.627,45.488,23.659,-39.695
-0.197,-0.747,0.732,29.878,17.927,-33.11
-0.152,-0.706,0.854,10.244,13.598,-27.439
-0.109,-0.636,0.962,-6.037,14.756,-23.72
-0.046,-0.615,0.995,-15.915,20.793,-22.927
-0.004,-0.653,0.907,-20.976,25.793,-21.463
-0.005,-0.732,0.755,-23.78,26.524,-16.22
-0.044,-0.809,0.619,-25.549,24.756,-9.512
-0.084,-0.836,0.517,-24.329,27.195,-4.756
-0.1,-0.846,0.42,-20.671,36.707,-1.524
-0.1,-0.849,0.324,-15.976,48.354,1.89
-0.106,-0.855,0.252,-11.89,55.915,5.61
-0.138,-0.854,0.229,-8.841,57.805,8.72
-0.173,-0.822,0.243,-5.305,57.5,11.951
-0.196,-0.785,0.235,-2.866,57.805,12.256
-0.208,-0.755,0.205,3.476,60.122,9.756
-0.238,-0.774,0.143,7.5,58.72,7.317
-0.361,-0.764,0.168,8.415,50.183,5.427
-0.494,-0.736,0.25,6.585,39.085,4.817
-0.562,-0.714,0.314,3.659,30.183,4.939
-0.554,-0.71,0.366,2.195,23.11,5.183
-0.529,-0.723,0.411,1.098,14.573,4.573
-0.521,-0.746,0.435,0.793,3.232,1.829
-0.534,-0.792,0.428,1.22,-10.427,-1.159
-0.551,-0.854,0.42,1.22,-25.427,-4.512
-0.568,-0.905,0.405,2.988,-39.695,-8.78
-0.585,-0.959,0.386,3.72,-52.866,-12.195
-0.584,-1.006,0.433,1.89,-64.695,-15.671
-0.552,-1.012,0.528,-1.646,-72.683,-19.878
-0.48,-0.991,0.631,-5.488,-74.146,-24.451
-0.387,-0.965,0.694,-8.171,-73.354,-28.11
-0.316,-0.97,0.7,-8.963,-73.841,-33.171
-0.289,-1.009,0.629,-4.939,-76.951,-38.293
-0.281,-1.076,0.524,0.671,-83.72,-37.439
-0.245,-1.118,0.437,4.939,-91.341,-29.39
-0.141,-1.116,0.396,3.598,-94.024,-16.463
0.046,-1.062,0.458,2.256,-86.402,-5.244
0.257,-1.01,0.569,3.598,-67.378,0.183
0.328,-0.967,0.628,2.805,-49.329,2.683
0.243,-0.927,0.617,-2.622,-41.951,6.22
0.131,-0.896,0.592,-7.805,-34.634,9.268
0.114,-0.894,0.554,-9.451,-17.5,12.317
0.157,-0.905,0.525,-10.0,3.72,15.976
0.162,-0.893,0.493,-11.341,20.976,18.171
0.098,-0.866,0.442,-12.5,34.024,17.012
0.009,-0.851,0.391,-11.341,45.915,14.756
-0.043,-0.843,0.342,-10.183,54.573,14.329
-0.095,-0.817,0.314,-10.427,56.707,15.183
-0.164,-0.78,0.291,-9.878,54.878,15.061
-0.207,-0.771,0.263,-7.195,53.659,15.793
-0.212,-0.789,0.243,-2.805,54.573,17.439
-0.208,-0.799,0.225,2.988,54.817,19.329
-0.215,-0.807,0.216,7.073,52.5,20.671
-0.261,-0.793,0.235,10.061,49.085,21.037
-0.31,-0.783,0.258,12.073,45.427,22.073
-0.354,-0.784,0.307,12.5,41.829,21.463
-0.406,-0.78,0.359,12.744,37.073,17.866
-0.472,-0.778,0.406,10.793,29.817,12.805
-0.536,-0.776,0.46,8.78,20.976,7.073
-0.593,-0.782,0.495,4.39,9.756,1.402
-0.635,-0.792,0.526,0.366,-3.841,-3.293
-0.619,-0.82,0.531,-3.232,-17.256,-7.622
-0.578,-0.85,0.514,-5.488,-27.073,-12.561
-0.517,-0.9,0.484,-5.671,-32.805,-17.195
-0.447,-0.951,0.465,-5.183,-36.341,-20.915
-0.399,-0.994,0.46,-4.451,-40.488,-23.537
