acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.03,-0.819,0.77,-23.78,1.037,-37.561
-0.073,-0.88,0.622,-25.366,-0.793,-34.695
-0.162,-0.891,0.526,-24.451,1.28,-30.427
-0.174,-0.897,0.451,-20.244,14.695,-24.512
-0.131,-0.879,0.396,-13.537,37.256,-16.524
-0.05,-0.843,0.361,-6.402,61.646,-6.951
0.0,-0.785,0.311,-2.317,83.659,2.5
-0.012,-0.719,0.25,-1.402,98.11,11.341
-0.048,-0.667,0.216,-0.122,106.585,17.805
-0.1,-0.65,0.175,1.22,108.476,23.72
-0.117,-0.674,0.138,4.024,104.085,29.39
-0.139,-0.699,0.099,8.11,97.5,36.098
-0.208,-0.701,0.086,12.317,89.268,42.073
-0.345,-0.674,0.125,13.659,75.793,43.902
-0.504,-0.655,0.181,14.024,54.817,40.793
-0.666,-0.673,0.214,12.622,30.305,34.573
-0.803,-0.718,0.281,10.0,-1.037,29.207
-0.892,-0.766,0.372,3.659,-35.0,20.0
-0.974,-0.792,0.43,-3.293,-63.902,4.695
-0.981,-0.858,0.483,-7.805,-84.268,-9.756
-0.92,-0.946,0.559,-13.659,-93.902,-20.305
-0.801,-0.976,0.599,-18.293,-91.037,-30.488
-0.633,-1.001,0.595,-18.415,-78.841,-38.78
-0.462,-1.058,0.584,-17.561,-69.512,-43.537
-0.346,-1.089,0.577,-14.878,-73.049,-45.915
-0.292,-1.11,0.566,-9.939,-87.988,-49.634
-0.314,-1.116,0.533,-4.268,-103.781,-56.22
-0.369,-1.124,0.438,2.805,-108.415,-55.244
-0.308,-1.159,0.353,8.841,-100.976,-38.415
-0.061,-1.158,0.349,10.488,-83.415,-17.866
0.26,-1.108,0.431,12.927,-54.939,-4.695
0.473,-1.051,0.548,14.085,-26.646,3.049
0.485,-0.974,0.647,8.72,-14.024,10.854
0.351,-0.888,0.678,-2.317,-16.098,17.622
0.228,-0.837,0.66,-11.463,-18.171,20.549
0.167,-0.839,0.625,-14.451,-10.305,21.829
0.134,-0.871,0.588,-13.659,5.183,23.476
0.084,-0.878,0.507,-13.537,23.659,23.841
-0.019,-0.853,0.386,-12.683,45.549,21.524
-0.126,-0.846,0.274,-7.622,69.329,19.634
-0.167,-0.869,0.219,-0.793,86.829,20.732
-0.185,-0.863,0.205,5.0,93.232,20.122
-0.248,-0.822,0.17,9.817,87.134,15.488
-0.343,-0.792,0.141,13.049,71.707,12.256
-0.437,-0.773,0.16,14.085,53.232,12.439
-0.505,-0.748,0.185,13.476,35.122,13.476
-0.504,-0.728,0.237,12.744,23.476,14.024
-0.466,-0.716,0.318,10.427,20.793,12.195
-0.437,-0.698,0.374,9.39,20.671,9.695
-0.445,-0.708,0.44,7.195,15.061,10.305
-0.518,-0.701,0.508,0.0,2.622,10.549
-0.589,-0.667,0.569,-8.537,-10.549,6.768
-0.596,-0.672,0.578,-15.122,-18.598,1.037
-0.543,-0.729,0.536,-17.683,-20.305,-3.841
-0.482,-0.809,0.477,-16.341,-20.183,-7.805
-0.458,-0.883,0.437,-13.049,-23.72,-11.037
-0.46,-0.927,0.393,-9.573,-34.146,-13.841
-0.476,-0.951,0.368,-7.073,-50.976,-17.866
-0.509,-0.958,0.355,-7.805,-69.451,-23.476
-0.539,-0.963,0.363,-13.232,-91.829,-26.098
-0.487,-0.985,0.407,-18.476,-110.488,-30.915
-0.369,-1.026,0.445,-18.171,-109.939,-39.085
-0.22,-1.11,0.471,-11.463,-86.524,-43.11
-0.067,-1.196,0.46,-3.232,-52.5,-37.866
0.068,-1.231,0.444,0.244,-30.854,-23.598
0.192,-1.182,0.493,2.012,-19.878,-12.866
0.284,-1.12,0.538,6.402,-6.646,-8.72
0.319,-1.092,0.55,5.732,1.098,-3.11
0.286,-1.022,0.579,0.793,0.793,2.073
0.201,-0.957,0.593,-2.256,2.927,3.72
0.114,-0.93,0.559,-3.902,16.037,5.244
0.062,-0.921,0.506,-3.72,41.402,7.744
0.018,-0.92,0.454,-2.134,71.89,11.22
-0.009,-0.91,0.42,0.0,98.476,13.78
-0.032,-0.885,0.395,1.159,113.598,15.488
-0.082,-0.84,0.371,-0.793,114.817,17.683
-0.16,-0.775,0.36,-3.659,108.963,19.939
-0.202,-0.742,0.362,-4.146,103.293,22.439
-0.199,-0.738,0.354,-5.0,99.634,29.451
-0.192,-0.745,0.343,-7.561,92.927,41.22
-0.193,-0.716,0.359,-12.012,82.561,51.585
