acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.52,-0.767,0.124,26.951,59.817,3.476
-0.621,-0.728,0.185,27.744,40.0,0.366
-0.71,-0.709,0.276,21.402,21.89,-1.951
-0.75,-0.656,0.384,12.134,4.024,-1.768
-0.74,-0.622,0.504,1.768,-12.866,-1.646
-0.706,-0.604,0.597,-7.927,-26.951,-2.561
-0.651,-0.604,0.636,-17.317,-35.732,-5.549
-0.59,-0.633,0.607,-25.854,-40.549,-9.451
-0.549,-0.692,0.553,-32.5,-43.415,-13.659
-0.534,-0.777,0.482,-35.488,-48.659,-17.805
-0.523,-0.879,0.418,-33.476,-56.402,-22.622
-0.511,-0.978,0.359,-29.451,-61.037,-27.5
-0.463,-1.064,0.32,-23.78,-61.585,-30.122
-0.38,-1.119,0.366,-18.537,-59.512,-34.024
-0.339,-1.119,0.381,-14.878,-54.024,-38.659
-0.323,-1.146,0.363,-10.122,-51.89,-37.988
-0.223,-1.2,0.376,-2.988,-53.598,-34.146
-0.122,-1.222,0.407,2.439,-49.573,-32.805
-0.065,-1.182,0.416,10.793,-39.451,-27.195
0.0,-1.171,0.425,15.0,-31.463,-18.598
0.058,-1.117,0.46,13.11,-26.585,-10.183
0.112,-1.032,0.502,9.451,-18.78,-4.085
0.151,-0.973,0.532,6.22,-4.451,0.0
0.167,-0.932,0.543,4.695,12.805,3.659
0.13,-0.908,0.525,2.744,29.39,6.707
0.049,-0.877,0.483,2.988,48.232,8.415
-0.022,-0.855,0.441,5.61,70.854,10.549
-0.08,-0.835,0.397,7.378,95.549,12.561
-0.166,-0.79,0.322,9.146,114.878,11.89
-0.245,-0.762,0.243,10.671,120.61,10.61
-0.298,-0.766,0.2,11.037,112.439,11.341
-0.346,-0.763,0.172,11.768,96.707,12.378
-0.384,-0.752,0.144,13.537,79.512,15.488
-0.394,-0.753,0.151,14.756,62.317,20.122
-0.419,-0.742,0.178,13.72,43.293,23.78
-0.496,-0.72,0.251,9.207,20.122,25.976
-0.585,-0.69,0.346,2.927,-2.195,26.463
-0.64,-0.686,0.434,-5.854,-21.829,25.793
-0.65,-0.687,0.499,-14.878,-39.268,21.463
-0.606,-0.713,0.536,-17.866,-50.305,10.488
-0.591,-0.808,0.505,-20.305,-54.451,-0.244
-0.649,-0.891,0.502,-25.976,-61.829,-5.671
-0.688,-0.903,0.53,-32.195,-72.866,-11.22
-0.651,-0.889,0.49,-36.402,-80.671,-20.122
-0.552,-0.916,0.426,-37.744,-86.098,-28.354
-0.452,-0.981,0.407,-35.305,-92.378,-35.183
-0.431,-1.04,0.383,-33.963,-96.22,-41.402
-0.43,-1.061,0.324,-33.11,-95.366,-44.451
-0.299,-1.089,0.287,-25.793,-88.841,-44.268
-0.092,-1.139,0.278,-15.061,-73.354,-40.427
0.005,-1.146,0.262,-7.5,-54.268,-30.976
0.067,-1.12,0.244,-2.988,-39.939,-18.476
0.204,-1.095,0.268,0.488,-27.256,-8.232
0.311,-1.059,0.357,0.61,-11.28,-0.183
0.307,-0.99,0.435,-2.5,5.061,6.951
0.267,-0.919,0.459,-5.61,19.39,10.732
0.213,-0.898,0.456,-6.89,34.695,12.378
0.104,-0.915,0.439,-8.049,50.244,15.305
-0.046,-0.922,0.412,-7.439,65.671,18.171
-0.171,-0.928,0.352,-4.024,82.012,18.293
-0.218,-0.948,0.266,2.744,96.951,17.073
-0.24,-0.972,0.18,11.646,106.524,16.22
-0.289,-0.976,0.138,19.207,98.476,17.378
-0.363,-0.935,0.111,24.634,76.585,16.037
-0.457,-0.887,0.083,28.902,55.488,12.805
-0.524,-0.854,0.128,28.841,36.524,11.341
-0.553,-0.798,0.28,20.854,20.0,8.11
-0.598,-0.707,0.439,9.207,8.78,1.402
-0.62,-0.647,0.545,-3.415,2.561,-3.78
-0.581,-0.625,0.613,-15.366,-0.61,-6.585
-0.496,-0.635,0.611,-23.171,-0.61,-10.61
-0.415,-0.691,0.545,-27.744,1.829,-16.159
-0.404,-0.763,0.451,-30.488,2.256,-21.707
-0.432,-0.841,0.381,-30.366,-2.805,-25.793
-0.457,-0.916,0.33,-27.866,-12.988,-26.524
-0.465,-0.962,0.319,-27.561,-29.756,-23.415
-0.416,-0.956,0.354,-28.171,-45.793,-20.854
-0.331,-0.938,0.36,-29.268,-54.756,-19.939
-0.222,-0.962,0.34,-29.817,-58.902,-17.195
-0.118,-1.037,0.332,-26.341,-53.902,-13.537
-0.04,-1.123,0.312,-18.415,-37.317,-9.024
0.031,-1.175,0.316,-10.427,-16.707,-2.195
0.087,-1.168,0.348,-8.171,-2.622,3.963
0.035,-1.092,0.37,-9.634,1.098,4.939
-0.111,-1.025,0.37,-12.134,-6.646,1.159
-0.248,-1.011,0.365,-15.976,-21.28,-5.976
-0.341,-0.992,0.332,-22.683,-34.024,-14.451
-0.409,-0.954,0.313,-31.159,-40.854,-22.927
-0.467,-0.928,0.331,-38.293,-44.024,-31.098
-0.521,-0.916,0.343,-44.268,-48.963,-40.061
-0.546,-0.916,0.34,-52.134,-60.122,-46.402
-0.524,-0.913,0.351,-61.707,-69.329,-47.317
-0.447,-0.886,0.37,-71.524,-65.671,-44.817
-0.265,-0.887,0.359,-76.463,-53.171,-36.951
-0.015,-0.926,0.33,-75.366,-32.866,-27.378
0.168,-0.959,0.302,-67.744,-7.378,-19.207
0.229,-0.994,0.233,-58.415,17.134,-10.732
0.19,-1.031,0.145,-50.671,33.232,-2.805
0.125,-1.054,0.068,-43.78,45.427,4.634
0.083,-1.072,0.018,-36.402,59.573,12.012
0.075,-1.075,-0.014,-26.585,78.902,18.841
0.07,-1.092,-0.012,-19.024,99.573,28.171
0.029,-1.091,0.015,-15.061,117.5,35.061
-0.051,-1.079,0.073,-10.854,134.39,36.098
-0.117,-1.078,0.121,-5.305,154.817,34.268
-0.12,-1.067,0.173,5.122,175.488,35.549
-0.094,-1.085,0.212,16.28,188.903,38.598
-0.102,-1.083,0.196,25.549,191.768,37.927
-0.192,-1.035,0.173,30.549,181.342,30.244
-0.321,-1.02,0.167,32.317,161.281,23.354
-0.406,-0.998,0.143,31.341,138.354,18.78
-0.438,-0.96,0.114,28.659,115.244,13.72
-0.456,-0.939,0.102,25.732,96.341,8.415
-0.46,-0.931,0.092,23.293,84.39,3.72
-0.427,-0.911,0.117,22.622,78.11,0.366
-0.392,-0.884,0.156,23.659,73.232,-2.561
-0.396,-0.873,0.177,23.049,66.159,-5.183
-0.427,-0.876,0.182,20.366,57.683,-8.232
-0.433,-0.878,0.187,17.317,49.878,-10.549
-0.392,-0.872,0.181,15.976,44.207,-12.805
-0.333,-0.882,0.163,15.671,37.134,-14.268
-0.302,-0.891,0.132,13.963,27.561,-16.22
-0.305,-0.909,0.106,11.463,19.024,-17.744
-0.299,-0.925,0.122,10.61,15.122,-17.317
-0.256,-0.932,0.159,12.134,15.488,-14.817
-0.22,-0.941,0.188,14.817,17.866,-11.951
-0.232,-0.947,0.21,17.195,19.939,-10.0
-0.273,-0.958,0.217,17.744,21.28,-7.866
-0.293,-0.976,0.232,18.232,23.841,-5.732
-0.284,-0.984,0.244,18.476,26.22,-3.78
-0.275,-0.98,0.215,17.439,25.61,-3.476
-0.28,-0.985,0.19,15.793,22.561,-3.293
-0.286,-1.001,0.184,13.232,19.451,-2.622
-0.292,-1.002,0.181,11.28,17.317,-2.5
-0.294,-1.003,0.188,10.793,16.098,-1.951
-0.294,-0.999,0.198,10.915,15.183,-1.22
-0.31,-0.989,0.203,9.878,13.171,-0.366
-0.328,-0.98,0.208,9.146,11.098,-0.488
-0.336,-0.976,0.198,8.354,9.207,-0.427
-0.331,-0.978,0.194,6.402,8.841,-0.549
-0.311,-0.972,0.201,5.0,9.939,-0.976
-0.295,-0.971,0.207,4.634,10.305,-0.549
-0.279,-0.971,0.209,4.695,10.427,0.183
-0.27,-0.968,0.202,4.878,12.317,0.793
-0.264,-0.965,0.195,6.646,14.878,2.744
-0.256,-0.966,0.189,8.537,16.037,4.268
-0.278,-0.961,0.173,9.268,14.634,5.0
