acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.042,-1.298,-0.023,15.549,16.524,-14.634
0.1,-1.247,-0.033,32.073,49.695,-10.488
0.027,-1.164,-0.049,43.598,71.341,-6.402
-0.121,-1.088,-0.063,50.732,73.659,-3.598
-0.248,-1.0,-0.057,53.293,58.78,0.549
-0.297,-0.892,-0.024,50.305,38.293,10.305
-0.27,-0.831,-0.003,45.549,26.098,25.183
-0.172,-0.834,-0.027,46.89,29.268,36.098
-0.08,-0.821,-0.095,54.573,51.28,38.354
-0.078,-0.756,-0.137,63.11,82.073,39.268
-0.208,-0.709,-0.131,69.146,101.342,38.963
-0.493,-0.659,-0.075,65.976,95.122,33.537
-0.785,-0.599,0.004,52.317,64.207,22.988
-0.955,-0.531,0.083,31.707,21.951,11.159
-0.932,-0.5,0.172,8.598,-16.89,6.28
-0.724,-0.542,0.215,-10.61,-38.902,7.744
-0.493,-0.63,0.223,-20.488,-37.744,6.159
-0.36,-0.741,0.184,-21.646,-20.488,3.598
-0.341,-0.839,0.117,-17.927,-0.854,0.854
-0.392,-0.881,0.057,-14.39,11.829,-2.134
-0.447,-0.899,0.006,-11.22,15.061,-3.232
-0.507,-0.922,0.011,-10.183,8.598,-4.329
-0.563,-0.95,0.03,-11.646,-8.232,-7.134
-0.561,-0.961,0.074,-16.037,-30.244,-10.976
-0.492,-0.976,0.115,-22.256,-49.207,-13.537
-0.427,-1.021,0.133,-26.037,-60.122,-16.89
-0.382,-1.076,0.187,-27.378,-62.012,-21.524
-0.302,-1.072,0.262,-30.854,-56.28,-27.744
-0.288,-1.053,0.283,-35.244,-43.476,-37.683
-0.351,-1.137,0.245,-34.329,-24.695,-50.122
-0.478,-1.248,0.138,-29.817,-12.256,-56.463
-0.369,-1.452,0.018,-15.244,-17.134,-41.037
0.148,-1.28,0.047,-11.159,-17.073,-28.476
0.326,-1.183,0.011,-2.195,-9.939,-26.28
0.075,-1.349,-0.02,16.463,-8.537,-20.549
0.03,-1.251,0.031,19.756,-19.695,-3.78
0.091,-1.068,0.089,13.902,-23.659,10.427
0.053,-1.052,0.135,13.415,-14.146,16.159
-0.042,-1.093,0.154,14.207,-4.695,16.463
-0.165,-1.06,0.153,10.427,0.793,14.878
-0.253,-1.028,0.14,6.159,5.915,14.573
-0.287,-1.018,0.106,5.061,13.72,13.11
-0.282,-0.997,0.087,6.585,23.476,9.207
-0.288,-0.948,0.037,10.0,32.561,7.5
-0.253,-0.905,-0.005,15.732,41.22,14.451
-0.19,-0.854,-0.021,20.854,48.049,21.341
-0.222,-0.804,-0.042,24.512,51.402,23.78
-0.321,-0.781,-0.069,26.463,49.085,25.854
-0.397,-0.791,-0.073,26.159,42.073,29.146
-0.391,-0.78,-0.091,27.805,42.866,27.439
-0.432,-0.765,-0.045,28.171,47.317,21.524
-0.519,-0.726,0.035,24.451,45.793,14.207
-0.615,-0.657,0.135,12.439,32.317,9.634
-0.699,-0.64,0.179,-2.073,11.951,6.951
-0.702,-0.682,0.186,-13.049,-6.098,5.427
-0.615,-0.737,0.19,-21.28,-17.378,5.915
-0.53,-0.812,0.178,-26.829,-20.61,5.793
-0.472,-0.893,0.112,-28.171,-16.89,2.134
-0.438,-0.951,0.026,-25.366,-10.122,-1.89
-0.448,-0.98,-0.026,-21.037,-5.488,-5.732
-0.502,-0.982,-0.009,-18.659,-11.768,-9.878
-0.562,-0.972,0.024,-19.512,-32.561,-12.927
-0.6,-0.936,0.066,-23.354,-60.183,-15.793
-0.512,-0.894,0.107,-27.805,-82.866,-14.939
