acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.24,0.925,0.067,5.488,-20.0,-4.207
-0.203,0.925,0.055,1.951,-39.817,-6.159
-0.175,0.905,0.076,-0.793,-43.72,-9.146
-0.168,0.9,0.075,-3.171,-38.78,-10.122
-0.177,0.922,0.069,-4.817,-25.427,-11.463
-0.185,0.929,0.07,-4.878,-10.793,-11.829
-0.22,0.913,0.034,-3.171,-1.829,-11.768
-0.222,0.902,0.033,-1.037,2.622,-12.317
-0.169,0.877,0.059,1.951,2.378,-12.134
-0.195,0.837,0.063,5.061,-0.61,-11.707
-0.203,0.827,0.06,8.293,-6.524,-10.488
-0.149,0.771,0.092,11.89,-14.756,-10.244
-0.102,0.7,0.113,16.585,-21.524,-10.549
-0.049,0.656,0.131,20.305,-25.488,-11.159
-0.057,0.612,0.149,22.317,-26.768,-12.622
-0.091,0.584,0.155,23.171,-28.537,-16.829
-0.101,0.562,0.177,22.927,-33.537,-22.195
-0.016,0.571,0.186,23.659,-37.073,-27.073
-0.099,0.566,0.207,22.805,-38.902,-30.0
-0.247,0.559,0.231,21.28,-48.598,-36.707
-0.272,0.604,0.253,16.585,-60.793,-46.037
-0.248,0.628,0.283,12.805,-69.939,-54.573
-0.154,0.651,0.285,8.78,-79.573,-63.78
-0.16,0.708,0.266,4.268,-94.939,-72.317
-0.21,0.708,0.296,1.098,-118.293,-81.159
-0.271,0.695,0.379,-2.256,-151.22,-95.427
-0.376,0.689,0.49,-7.866,-188.659,-112.744
-0.515,0.658,0.583,-14.573,-216.341,-121.159
-0.657,0.676,0.653,-24.695,-242.5,-139.146
-0.567,0.549,0.714,-40.488,-273.11,-158.354
-0.512,0.583,0.678,-60.671,-300.122,-175.183
-0.625,0.563,0.64,-80.061,-318.11,-191.768
-0.728,0.387,0.645,-103.293,-331.585,-208.841
-0.69,0.328,0.713,-129.512,-336.341,-226.463
-0.646,0.252,0.846,-152.622,-331.951,-243.902
-0.729,-0.009,1.001,-176.646,-319.878,-263.11
-0.633,-0.151,0.965,-198.72,-304.024,-281.159
-0.647,-0.18,0.954,-213.902,-287.378,-303.78
-0.797,-0.248,0.865,-219.756,-259.085,-318.293
-0.764,-0.336,0.809,-247.195,-222.561,-311.098
-0.934,-0.512,0.887,-272.866,-184.024,-306.768
-1.671,-1.104,0.766,-278.415,-163.72,-307.073
-2.518,-1.267,0.996,-274.878,-157.927,-299.634
-0.319,0.302,1.883,-270.061,-149.573,-293.171
0.261,0.539,2.162,-261.098,-132.927,-286.159
-0.75,-0.292,1.684,-246.951,-100.305,-263.72
