acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.619,0.783,0.042,-15.488,78.232,-55.671
-0.706,0.624,0.113,-6.89,48.049,-34.207
-0.78,0.694,0.15,-19.817,21.463,-31.098
-0.736,0.65,0.251,-11.707,7.683,-34.695
-0.659,0.654,0.306,-3.841,0.549,-28.171
-0.625,0.715,0.333,-0.915,-2.805,-23.659
-0.563,0.74,0.322,4.329,-1.159,-22.927
-0.478,0.778,0.309,7.195,12.439,-20.671
-0.438,0.81,0.286,6.707,21.037,-18.293
-0.492,0.771,0.29,9.329,18.537,-19.939
-0.524,0.748,0.289,11.28,18.049,-20.671
-0.539,0.75,0.313,10.854,16.89,-19.512
-0.549,0.747,0.307,11.28,16.951,-20.427
-0.559,0.747,0.277,12.256,18.049,-22.134
-0.566,0.758,0.253,10.732,17.866,-22.744
-0.581,0.764,0.238,8.476,17.805,-23.232
-0.591,0.761,0.24,5.976,20.122,-23.171
-0.593,0.758,0.25,4.085,23.598,-22.5
-0.607,0.756,0.258,3.11,23.72,-22.073
-0.632,0.763,0.257,2.683,21.951,-22.561
-0.641,0.777,0.268,2.256,18.963,-22.5
-0.645,0.776,0.268,2.134,17.317,-21.037
-0.638,0.777,0.268,2.195,16.829,-19.451
-0.633,0.769,0.272,0.976,16.951,-17.805
-0.631,0.764,0.271,0.427,17.012,-16.89
-0.636,0.757,0.268,2.317,11.28,-14.817
-0.648,0.758,0.263,2.439,8.72,-13.415
-0.625,0.755,0.252,2.561,10.305,-12.561
-0.639,0.767,0.24,2.317,8.902,-9.207
-0.65,0.775,0.247,0.793,9.451,-7.195
-0.663,0.769,0.251,0.793,8.415,-4.329
-0.671,0.772,0.25,-0.61,6.768,-2.256
-0.656,0.76,0.25,-2.134,5.122,-1.524
-0.653,0.741,0.25,-1.829,3.902,-0.915
-0.645,0.743,0.251,-1.707,3.11,0.122
-0.634,0.756,0.256,-2.317,2.439,0.244
-0.639,0.756,0.26,-2.134,1.341,0.488
-0.649,0.757,0.267,-1.829,0.061,1.402
-0.66,0.755,0.26,-2.5,-1.524,3.11
-0.677,0.744,0.251,-3.354,-3.537,4.329
-0.678,0.728,0.246,-3.841,-5.671,4.146
-0.655,0.721,0.243,-4.756,-7.195,3.598
-0.635,0.719,0.241,-5.732,-7.683,3.354
-0.622,0.725,0.25,-7.622,-8.293,2.927
-0.609,0.72,0.266,-9.878,-10.122,1.829
-0.607,0.705,0.273,-11.341,-13.659,0.915
-0.605,0.691,0.288,-12.927,-16.951,-1.585
-0.61,0.674,0.292,-13.049,-21.037,-4.024
