acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-1.188,-0.68,0.492,160.732,63.598,-83.659
-0.756,0.13,-0.029,166.28,66.707,-160.732
-0.632,0.825,0.021,103.232,69.695,-209.268
-0.58,1.139,0.21,22.073,107.439,-183.476
-0.795,1.063,0.262,-25.122,159.207,-132.317
-0.993,0.862,0.294,-26.524,148.537,-131.829
-1.012,0.611,0.224,-6.768,96.524,-169.329
-1.117,0.542,0.212,39.451,66.341,-166.646
-1.302,0.761,0.29,62.683,51.524,-118.78
-1.385,1.182,0.296,28.11,50.976,-106.402
-1.372,1.237,0.429,26.28,52.683,-88.78
-1.379,1.302,0.607,26.89,45.183,-61.707
-1.295,1.326,0.682,19.085,35.244,-33.293
-1.154,1.208,0.68,8.354,24.268,-15.427
-1.085,1.089,0.647,8.354,6.22,-10.122
-1.057,0.971,0.583,14.329,-14.878,4.512
-1.056,0.968,0.477,1.341,-28.963,17.134
-1.072,0.894,0.375,-6.159,-39.451,26.28
-1.05,0.783,0.283,-14.756,-46.402,34.39
-0.995,0.709,0.239,-25.427,-50.366,39.451
-0.952,0.621,0.219,-30.061,-52.378,44.024
-0.93,0.543,0.159,-28.171,-52.5,45.793
-0.902,0.497,0.108,-21.524,-51.585,47.012
-0.867,0.489,0.08,-25.976,-50.976,49.146
-0.834,0.471,0.034,-35.976,-50.244,47.073
-0.797,0.42,0.027,-33.049,-49.146,41.22
-0.778,0.396,0.037,-26.341,-50.122,38.415
-0.784,0.42,0.037,-24.756,-48.963,37.256
-0.764,0.437,0.053,-24.817,-44.451,35.0
-0.729,0.427,0.078,-23.659,-40.915,32.5
-0.719,0.417,0.106,-18.902,-37.378,29.329
-0.723,0.434,0.133,-14.695,-35.0,25.854
-0.733,0.456,0.169,-10.915,-35.854,23.902
-0.747,0.467,0.202,-5.671,-36.463,21.585
-0.756,0.492,0.226,-0.793,-35.488,18.476
-0.757,0.521,0.247,3.293,-34.146,16.402
-0.758,0.549,0.26,6.402,-32.988,15.244
-0.762,0.563,0.273,9.146,-32.073,14.695
-0.746,0.56,0.278,12.073,-29.634,15.183
-0.707,0.556,0.293,12.378,-24.512,15.854
-0.672,0.561,0.315,11.159,-19.939,15.305
-0.669,0.56,0.313,10.854,-18.476,13.659
-0.684,0.549,0.313,12.5,-20.793,14.024
-0.687,0.541,0.313,14.634,-24.39,15.854
-0.662,0.544,0.326,15.915,-27.622,14.756
-0.666,0.555,0.333,16.098,-31.22,11.341
-0.703,0.563,0.339,18.354,-39.268,8.049
-0.699,0.559,0.279,21.707,-53.415,6.037
