acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.528,1.066,0.27,-1.22,145.366,-132.439
-0.765,0.901,0.389,-17.134,172.134,-120.061
-0.772,0.676,0.452,7.805,120.0,-135.976
-0.849,0.493,0.342,50.122,58.598,-149.146
-1.056,0.616,0.298,84.817,32.561,-143.72
-1.094,0.943,0.368,82.805,30.671,-128.049
-0.959,1.139,0.394,57.012,44.878,-113.902
-0.905,1.115,0.406,38.659,67.5,-102.378
-0.989,1.037,0.381,29.207,81.28,-92.073
-1.058,0.994,0.367,27.134,80.366,-81.037
-1.033,0.984,0.391,27.439,70.854,-68.415
-0.964,1.024,0.444,25.0,58.72,-60.305
-0.9,1.036,0.517,27.195,38.841,-48.841
-0.892,1.053,0.555,26.098,12.622,-39.756
-0.879,1.034,0.557,27.073,-9.634,-29.512
-0.866,1.04,0.522,22.195,-20.793,-24.878
-0.868,0.99,0.458,16.951,-24.207,-16.22
-0.895,0.947,0.383,8.78,-23.659,-7.744
-0.925,0.926,0.328,-3.049,-26.22,-3.659
-0.966,0.867,0.294,-6.524,-33.598,5.183
-0.988,0.793,0.261,-4.451,-41.524,16.707
-0.961,0.75,0.243,-4.512,-46.524,22.927
-0.919,0.714,0.226,-5.244,-48.11,26.524
-0.88,0.675,0.193,-5.61,-47.5,31.951
-0.835,0.648,0.163,-9.573,-44.512,35.305
-0.809,0.616,0.132,-15.427,-39.756,35.366
-0.798,0.567,0.109,-18.476,-36.524,35.488
-0.784,0.52,0.098,-17.805,-36.707,35.122
-0.757,0.491,0.087,-15.976,-38.354,32.134
-0.724,0.485,0.097,-15.427,-38.598,28.476
-0.7,0.482,0.11,-14.39,-37.683,25.366
-0.682,0.472,0.11,-12.195,-35.976,21.463
-0.659,0.478,0.119,-11.22,-34.573,15.793
-0.663,0.49,0.128,-9.878,-35.244,10.549
-0.687,0.5,0.141,-6.098,-37.134,7.622
-0.705,0.514,0.147,-1.951,-37.744,6.402
-0.696,0.535,0.169,-0.122,-35.976,5.305
-0.688,0.548,0.195,0.183,-32.073,4.146
-0.688,0.543,0.217,1.707,-28.171,3.049
