acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.185,0.778,0.1,-2.866,133.78,27.5
-0.119,0.674,0.083,-5.244,138.659,17.439
-0.039,0.528,0.326,-5.671,140.61,10.549
-0.078,0.327,0.8,-3.354,142.683,6.768
-0.378,0.229,0.905,-2.439,142.866,0.061
-0.564,0.406,0.982,-2.5,140.915,-9.39
-0.634,0.67,1.059,2.561,143.78,-14.939
-0.654,0.945,0.68,9.39,150.244,-20.61
-0.626,1.252,0.29,9.695,154.695,-32.744
-0.742,1.449,0.183,0.366,165.976,-46.89
-0.982,1.455,0.158,-8.415,186.22,-56.28
-1.114,1.356,0.243,-0.976,198.171,-64.207
-1.054,1.276,0.22,13.72,189.939,-89.756
-0.947,1.35,0.285,39.146,127.683,-113.841
-0.849,1.48,0.31,64.634,64.878,-113.78
-0.841,1.57,0.349,79.024,42.012,-101.402
-0.906,1.54,0.352,98.11,37.5,-92.988
-0.968,1.465,0.318,108.78,28.902,-98.841
-0.986,1.378,0.376,88.841,19.268,-113.476
-0.936,1.348,0.333,59.207,12.927,-120.305
-0.874,1.339,0.355,34.756,4.878,-110.427
-0.8,1.26,0.335,28.354,-3.171,-93.11
-0.815,1.172,0.306,28.963,0.0,-77.195
-0.842,1.046,0.26,28.415,20.732,-67.073
-0.84,0.96,0.243,18.293,35.671,-55.427
-0.792,0.876,0.216,-1.22,41.768,-37.012
-0.722,0.835,0.257,-13.354,33.415,-20.549
-0.644,0.776,0.238,-22.317,20.0,-8.537
-0.585,0.752,0.333,-21.22,7.073,3.902
