acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.38,0.536,0.212,-42.988,140.732,-20.854
-0.322,0.505,0.215,-42.927,139.268,-27.134
-0.252,0.465,0.293,-42.317,136.646,-33.963
-0.231,0.396,0.674,-41.768,137.683,-39.695
-0.278,0.343,1.015,-38.963,142.805,-41.768
-0.398,0.502,0.989,-34.146,148.537,-43.659
-0.53,0.81,0.983,-30.671,151.89,-49.878
-0.725,0.996,0.883,-31.037,150.549,-57.805
-0.805,1.098,0.566,-34.268,145.61,-61.524
-0.756,1.187,0.253,-38.232,143.78,-61.098
-0.782,1.262,0.107,-37.256,151.89,-62.317
-0.913,1.297,0.088,-23.232,162.622,-63.171
-1.017,1.326,0.179,-2.256,177.195,-69.329
-1.009,1.379,0.296,27.622,167.744,-96.829
-0.933,1.439,0.402,65.732,112.012,-117.012
-0.846,1.471,0.467,85.976,51.768,-127.134
-0.792,1.482,0.443,85.793,18.232,-128.963
-0.836,1.465,0.388,82.561,12.439,-118.049
-0.92,1.399,0.352,78.598,24.085,-114.024
-0.948,1.32,0.343,71.341,40.915,-123.293
-0.915,1.277,0.333,58.659,59.024,-131.89
-0.858,1.262,0.313,46.646,70.0,-125.61
-0.806,1.233,0.302,38.963,70.549,-107.012
-0.786,1.188,0.221,31.159,62.256,-88.232
-0.805,1.127,0.213,22.866,55.0,-72.317
-0.792,1.065,0.233,15.244,51.28,-55.061
-0.761,1.013,0.27,3.476,47.317,-37.805
-0.757,1.004,0.342,-9.085,45.366,-22.988
-0.76,1.007,0.356,-16.341,39.878,-10.671
-0.781,0.981,0.332,-18.476,25.793,2.927
-0.843,0.941,0.325,-21.159,12.134,18.049
-0.899,0.877,0.313,-27.927,3.841,30.793
-0.937,0.8,0.311,-33.415,-7.134,41.341
-0.915,0.74,0.335,-42.622,-19.085,50.854
-0.835,0.695,0.397,-47.622,-34.024,57.744
-0.729,0.66,0.499,-52.134,-50.61,61.098
-0.712,0.726,0.545,-53.902,-63.11,62.134
-0.71,0.75,0.594,-53.476,-67.012,60.366
-0.638,0.697,0.64,-60.183,-70.854,59.39
-0.603,0.633,0.623,-66.585,-77.378,60.244
-0.541,0.625,0.576,-71.646,-87.256,60.61
-0.43,0.617,0.542,-73.963,-103.232,60.488
-0.384,0.62,0.52,-74.207,-121.098,58.293
-0.398,0.6,0.476,-70.854,-141.341,49.695
-0.412,0.547,0.468,-60.854,-164.329,43.476
-0.41,0.487,0.443,-47.805,-186.463,58.72
-0.379,0.465,0.423,-53.049,-188.293,65.793
-0.319,0.468,0.435,-53.415,-189.085,53.841
-0.244,0.468,0.436,-40.61,-208.049,46.22
-0.162,0.442,0.425,-29.39,-211.098,51.28
-0.07,0.406,0.409,-24.939,-198.72,56.159
0.005,0.393,0.375,-20.0,-186.159,55.305
-0.003,0.405,0.349,-17.622,-174.024,49.024
-0.095,0.441,0.331,-16.402,-167.5,42.561
-0.205,0.493,0.295,-11.22,-176.707,39.451
