acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.493,0.925,0.612,5.305,159.024,-80.366
-0.559,1.188,0.419,7.134,166.646,-87.012
-0.665,1.4,0.27,5.549,169.207,-99.024
-0.777,1.453,0.231,6.524,154.573,-108.293
-0.942,1.412,0.24,7.073,135.61,-110.61
-1.074,1.382,0.272,19.573,129.024,-114.634
-1.086,1.398,0.287,40.061,115.671,-115.122
-1.055,1.476,0.292,53.476,93.598,-119.085
-1.106,1.542,0.331,68.171,70.366,-129.39
-1.146,1.557,0.362,81.829,54.939,-126.707
-1.099,1.488,0.359,89.329,45.915,-119.756
-1.079,1.389,0.34,81.707,35.366,-125.0
-1.095,1.354,0.33,60.183,21.707,-138.171
-1.04,1.351,0.324,41.22,12.439,-136.646
-0.925,1.3,0.316,30.549,14.512,-122.561
-0.818,1.23,0.319,27.622,25.427,-110.244
-0.75,1.176,0.312,29.573,38.049,-105.915
-0.712,1.133,0.301,24.756,38.293,-97.5
-0.718,1.102,0.279,14.573,36.159,-73.598
-0.775,1.067,0.24,2.378,27.012,-50.183
-0.826,1.013,0.226,-6.646,8.902,-30.61
-0.85,0.962,0.211,-7.988,-1.646,-9.878
-0.856,0.917,0.234,-8.11,-9.085,8.598
-0.838,0.877,0.271,-13.841,-18.78,25.61
-0.824,0.845,0.293,-21.707,-23.049,42.988
-0.806,0.833,0.315,-25.732,-22.439,54.695
-0.75,0.826,0.351,-28.537,-21.463,60.488
-0.709,0.801,0.36,-31.951,-23.841,65.183
-0.691,0.76,0.372,-36.402,-32.927,71.951
-0.669,0.714,0.427,-42.683,-42.744,79.512
-0.667,0.667,0.496,-46.098,-57.317,84.329
-0.632,0.554,0.56,-48.598,-72.439,85.732
-0.543,0.55,0.589,-50.183,-85.305,85.0
-0.44,0.585,0.604,-52.012,-97.5,82.988
-0.34,0.591,0.597,-49.939,-105.122,82.5
-0.28,0.538,0.532,-47.805,-105.0,82.317
