acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.053,0.42,0.428,1.098,96.28,-19.085
0.021,0.405,0.438,11.402,95.244,-24.634
0.001,0.381,0.452,23.476,93.11,-34.39
0.033,0.373,0.497,33.72,87.5,-38.72
-0.102,0.329,0.594,39.085,79.756,-45.671
-0.245,0.307,0.707,38.902,72.988,-51.463
-0.254,0.372,0.786,37.378,69.207,-54.512
-0.272,0.443,0.755,36.402,67.317,-57.5
-0.331,0.497,0.635,36.341,67.317,-60.854
-0.35,0.56,0.487,36.707,69.878,-62.378
-0.287,0.629,0.398,37.622,72.988,-63.049
-0.275,0.68,0.37,39.695,76.341,-64.634
-0.306,0.733,0.387,41.159,77.927,-65.427
-0.301,0.789,0.435,42.378,76.524,-64.695
-0.309,0.832,0.493,42.317,73.963,-63.049
-0.341,0.861,0.553,41.463,71.707,-61.28
-0.329,0.888,0.589,40.61,67.622,-59.024
-0.325,0.917,0.59,38.963,61.159,-56.159
-0.368,0.943,0.574,37.073,54.024,-52.5
-0.386,0.975,0.576,35.244,47.317,-46.89
-0.438,1.0,0.58,33.171,42.195,-40.915
-0.508,1.021,0.569,31.22,38.902,-34.817
-0.534,1.075,0.571,29.878,36.28,-28.476
-0.559,1.117,0.574,27.927,34.695,-21.951
-0.584,1.129,0.581,26.463,33.171,-16.28
-0.57,1.149,0.587,24.939,30.732,-11.037
-0.556,1.148,0.587,23.049,27.256,-6.829
-0.554,1.134,0.58,20.915,22.805,-3.232
-0.545,1.121,0.567,18.72,17.256,-0.549
-0.547,1.106,0.54,16.159,12.683,2.561
-0.556,1.088,0.512,13.78,8.841,5.0
-0.571,1.059,0.483,11.159,5.061,6.89
-0.586,1.029,0.453,8.537,2.256,8.354
-0.572,0.992,0.441,5.976,0.732,9.024
-0.557,0.955,0.432,3.537,-0.671,9.085
-0.543,0.922,0.422,1.037,-1.951,9.329
-0.516,0.891,0.412,-1.646,-3.659,10.061
-0.49,0.862,0.401,-3.963,-5.061,10.366
-0.488,0.839,0.386,-6.341,-5.854,9.939
-0.469,0.824,0.377,-7.744,-7.683,9.146
-0.432,0.803,0.377,-9.268,-9.756,8.537
