acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.101,0.573,0.479,-13.537,70.793,32.439
0.097,0.579,0.467,-12.5,74.085,24.695
0.087,0.581,0.441,-10.732,78.963,17.317
0.087,0.582,0.421,-9.146,85.793,9.207
0.091,0.577,0.395,-7.805,91.585,1.341
0.097,0.562,0.389,-6.037,93.232,-6.951
0.074,0.541,0.375,-4.085,90.549,-14.512
0.024,0.526,0.345,-0.549,84.512,-20.244
-0.018,0.517,0.336,3.049,77.927,-25.793
-0.056,0.488,0.345,8.049,76.037,-29.634
-0.095,0.474,0.338,13.293,78.841,-32.988
-0.044,0.478,0.352,19.085,80.427,-37.012
-0.02,0.47,0.396,27.012,80.61,-42.744
-0.104,0.442,0.441,39.39,96.341,-52.195
-0.126,0.44,0.483,51.768,122.561,-67.805
-0.069,0.43,0.568,55.305,131.646,-77.439
0.188,0.378,0.698,55.061,115.427,-81.463
0.252,0.394,0.666,55.427,91.098,-84.512
-0.031,0.451,0.5,55.061,74.329,-85.427
-0.207,0.497,0.367,53.841,68.659,-83.598
-0.243,0.55,0.342,53.415,70.122,-80.793
-0.27,0.612,0.357,53.11,74.634,-77.805
-0.306,0.692,0.367,52.866,78.902,-73.598
-0.348,0.791,0.382,52.012,80.854,-68.354
-0.398,0.877,0.409,49.695,77.622,-62.805
-0.438,0.958,0.443,46.951,68.476,-57.561
-0.478,1.037,0.475,45.488,58.841,-53.78
-0.507,1.097,0.501,44.268,54.756,-48.902
-0.501,1.131,0.533,43.476,53.902,-45.427
-0.497,1.152,0.556,42.317,52.866,-41.707
-0.487,1.158,0.592,40.793,50.793,-37.744
-0.485,1.177,0.602,39.329,46.585,-33.049
-0.504,1.193,0.579,37.012,40.671,-28.11
-0.524,1.202,0.533,34.207,33.72,-22.866
-0.54,1.2,0.497,30.793,27.256,-16.951
-0.564,1.184,0.478,27.378,21.768,-12.073
-0.582,1.171,0.472,23.963,17.622,-7.561
-0.581,1.159,0.476,20.122,13.415,-3.415
-0.584,1.133,0.475,16.646,10.0,0.732
-0.569,1.115,0.456,13.11,6.829,4.085
-0.548,1.1,0.435,9.878,2.988,7.5
-0.522,1.067,0.423,6.829,-0.915,10.183
-0.5,1.039,0.41,4.268,-4.39,12.439
-0.483,1.016,0.398,2.012,-6.951,14.207
-0.482,0.985,0.393,0.183,-8.049,15.305
-0.475,0.959,0.387,-1.159,-9.207,16.22
-0.459,0.938,0.372,-2.561,-11.28,16.524
-0.448,0.904,0.353,-3.78,-13.354,16.402
-0.434,0.875,0.331,-4.573,-15.122,15.549
-0.427,0.848,0.309,-4.756,-15.305,14.207
-0.414,0.809,0.297,-4.817,-13.902,12.561
-0.394,0.774,0.294,-4.634,-13.232,10.305
-0.373,0.75,0.283,-4.268,-14.024,7.805
-0.353,0.738,0.27,-4.207,-14.878,5.427
-0.358,0.723,0.266,-3.72,-15.671,2.866
-0.361,0.7,0.261,-3.11,-17.073,0.0
-0.351,0.684,0.263,-3.232,-19.451,-2.622
-0.359,0.671,0.269,-3.476,-22.378,-5.427
-0.386,0.662,0.281,-3.476,-24.512,-8.354
