acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.022,0.435,0.348,-15.183,90.488,-26.098
-0.001,0.416,0.331,-9.329,100.671,-30.976
-0.016,0.413,0.304,0.183,101.098,-37.134
-0.01,0.408,0.27,12.927,89.817,-44.329
-0.026,0.361,0.315,28.049,84.329,-48.293
-0.134,0.329,0.385,39.939,95.061,-55.854
-0.183,0.309,0.497,45.122,107.378,-68.232
-0.141,0.325,0.644,46.646,109.756,-78.902
-0.009,0.363,0.708,49.268,106.342,-87.805
-0.053,0.396,0.615,53.293,103.232,-92.439
-0.09,0.438,0.478,55.854,97.5,-94.207
-0.086,0.485,0.398,55.854,88.78,-93.598
-0.154,0.533,0.358,54.512,83.415,-91.951
-0.266,0.606,0.298,52.927,82.378,-89.268
-0.338,0.69,0.259,51.341,80.732,-85.366
-0.383,0.776,0.259,50.366,77.744,-80.61
-0.433,0.862,0.311,49.939,75.488,-74.268
-0.472,0.941,0.394,48.78,73.78,-67.744
-0.486,1.022,0.474,46.951,69.817,-60.61
-0.521,1.1,0.526,45.122,64.634,-53.232
-0.572,1.158,0.55,43.841,61.22,-46.341
-0.595,1.198,0.554,42.5,58.171,-39.451
-0.582,1.231,0.555,40.732,54.085,-33.902
-0.587,1.256,0.561,38.232,49.756,-29.024
-0.599,1.261,0.573,35.122,43.841,-24.451
-0.62,1.243,0.587,30.854,35.549,-19.451
-0.63,1.219,0.571,26.037,25.793,-14.695
-0.628,1.199,0.536,21.28,17.622,-10.549
-0.63,1.179,0.491,16.768,11.037,-7.012
-0.617,1.164,0.461,12.683,5.732,-3.171
-0.608,1.143,0.435,8.963,1.707,0.427
-0.612,1.124,0.412,5.61,-1.463,4.268
-0.605,1.102,0.398,2.561,-4.085,8.232
-0.585,1.071,0.377,0.061,-5.976,11.463
-0.579,1.038,0.362,-2.012,-7.256,14.085
-0.567,1.005,0.356,-3.659,-8.049,16.524
-0.551,0.972,0.348,-5.0,-9.268,18.11
-0.521,0.944,0.336,-6.524,-11.341,19.451
-0.493,0.919,0.324,-7.805,-13.78,20.549
-0.476,0.891,0.313,-8.537,-15.305,21.159
-0.463,0.866,0.298,-8.72,-15.793,21.037
-0.443,0.851,0.286,-8.049,-15.244,20.549
-0.422,0.826,0.274,-7.195,-13.963,19.695
-0.399,0.788,0.269,-5.793,-12.805,18.171
-0.379,0.758,0.264,-4.634,-12.256,16.829
-0.37,0.729,0.258,-3.659,-12.134,15.549
-0.377,0.705,0.25,-2.988,-12.195,13.78
-0.386,0.699,0.237,-2.134,-11.646,11.646
-0.396,0.698,0.229,-1.28,-10.0,9.329
-0.399,0.691,0.231,0.183,-8.598,7.134
-0.402,0.681,0.234,2.256,-8.232,4.695
-0.409,0.674,0.23,3.293,-7.439,2.622
-0.401,0.673,0.216,4.024,-6.22,0.427
-0.397,0.682,0.209,4.268,-5.366,-2.134
-0.404,0.686,0.218,5.244,-5.427,-4.756
-0.403,0.687,0.233,6.768,-5.549,-7.378
-0.408,0.696,0.236,7.134,-6.89,-10.244
-0.422,0.701,0.235,6.28,-8.659,-12.744
-0.429,0.71,0.245,5.244,-9.329,-15.671
-0.425,0.724,0.255,5.427,-9.207,-19.939
-0.423,0.732,0.248,5.366,-5.427,-23.659
-0.413,0.731,0.235,4.573,1.098,-27.866
-0.419,0.729,0.241,2.378,2.561,-32.195
-0.414,0.73,0.248,0.183,-0.122,-35.305
-0.419,0.738,0.259,-3.659,-2.439,-39.268
-0.426,0.74,0.257,-7.988,-6.341,-41.037
-0.437,0.765,0.279,-12.012,-11.524,-43.902
