acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.167,0.481,0.41,-8.232,54.512,-18.659
0.141,0.471,0.432,0.793,59.512,-26.524
0.194,0.458,0.45,10.854,60.0,-32.805
0.17,0.442,0.492,20.854,63.293,-39.024
0.083,0.435,0.535,30.305,73.902,-48.171
0.035,0.428,0.557,37.439,84.207,-58.537
0.034,0.415,0.584,41.768,88.841,-67.195
0.016,0.416,0.567,45.549,90.183,-75.061
-0.032,0.43,0.497,50.122,92.439,-80.854
-0.067,0.434,0.428,55.061,94.695,-85.854
-0.085,0.44,0.395,59.756,96.098,-89.573
-0.064,0.449,0.386,64.39,97.5,-91.89
-0.058,0.461,0.385,67.744,98.476,-95.061
-0.098,0.482,0.371,69.451,98.963,-97.927
-0.097,0.523,0.344,70.854,98.232,-100.122
-0.084,0.586,0.328,71.341,96.098,-101.037
-0.107,0.658,0.338,70.732,92.317,-100.488
-0.158,0.714,0.357,69.207,89.207,-98.902
-0.224,0.755,0.373,67.134,86.89,-97.073
-0.305,0.804,0.413,65.183,84.146,-93.902
-0.368,0.833,0.454,63.415,81.463,-90.488
-0.411,0.864,0.477,61.341,78.11,-86.707
-0.446,0.931,0.509,59.573,75.488,-83.232
-0.472,0.984,0.526,57.988,72.073,-78.598
-0.462,1.016,0.541,55.305,67.195,-74.085
-0.477,1.069,0.542,52.195,61.524,-69.634
-0.5,1.128,0.537,49.39,56.463,-64.146
-0.517,1.161,0.513,46.341,51.341,-58.72
-0.541,1.18,0.496,42.988,47.073,-52.622
-0.566,1.214,0.493,40.122,43.78,-46.22
-0.601,1.229,0.5,37.073,39.085,-40.549
-0.634,1.222,0.495,33.11,33.049,-34.451
-0.642,1.212,0.479,28.963,27.134,-28.537
-0.639,1.199,0.467,25.061,21.402,-22.805
-0.625,1.167,0.454,21.159,15.976,-17.439
-0.614,1.132,0.424,17.195,10.854,-12.744
-0.61,1.118,0.398,13.659,5.122,-8.659
-0.611,1.103,0.382,10.671,0.549,-4.939
-0.599,1.079,0.364,7.805,-1.89,-1.341
-0.581,1.059,0.364,5.427,-3.293,1.89
-0.563,1.03,0.356,2.927,-4.512,4.817
-0.548,0.999,0.339,0.366,-6.585,7.561
-0.547,0.963,0.324,-1.524,-9.085,9.817
-0.537,0.932,0.308,-3.049,-10.793,11.402
-0.52,0.908,0.292,-4.146,-12.439,12.439
-0.496,0.883,0.281,-4.817,-14.146,12.866
-0.47,0.852,0.271,-5.122,-15.122,12.927
-0.459,0.822,0.265,-4.817,-15.61,12.561
-0.449,0.799,0.259,-4.268,-15.244,11.89
-0.442,0.781,0.25,-3.354,-14.268,10.793
-0.435,0.757,0.248,-2.134,-13.415,9.329
-0.436,0.735,0.24,-1.037,-12.195,7.683
-0.424,0.723,0.226,-0.366,-11.402,6.159
-0.42,0.717,0.215,0.244,-11.22,4.756
-0.428,0.711,0.206,1.28,-11.524,3.293
-0.441,0.702,0.199,2.561,-11.341,1.646
-0.452,0.703,0.195,3.232,-11.28,-0.244
-0.46,0.708,0.204,2.744,-11.89,-2.317
-0.459,0.703,0.209,2.927,-12.744,-4.085
-0.458,0.709,0.225,3.171,-13.11,-5.671
-0.455,0.712,0.235,3.72,-12.988,-7.866
-0.445,0.711,0.236,4.024,-12.561,-10.183
-0.447,0.727,0.234,3.78,-11.646,-12.988
-0.457,0.75,0.226,3.78,-11.28,-15.488
-0.456,0.766,0.223,4.146,-10.854,-17.561
-0.461,0.771,0.229,4.329,-8.598,-20.427
-0.467,0.78,0.233,4.451,-5.305,-24.268
-0.466,0.789,0.249,4.39,-2.866,-27.5
-0.457,0.791,0.277,3.78,-2.561,-30.122
-0.437,0.787,0.293,2.622,-4.573,-32.744
-0.445,0.786,0.286,0.0,-7.744,-35.854
-0.456,0.781,0.275,-3.11,-11.098,-38.232
-0.459,0.768,0.285,-6.402,-14.329,-41.22
-0.46,0.75,0.303,-10.488,-18.049,-44.756
-0.472,0.734,0.314,-15.0,-22.378,-48.476
