acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.147,0.41,0.467,5.183,54.817,-17.927
0.083,0.398,0.497,11.28,59.512,-27.744
0.126,0.388,0.575,14.634,63.72,-37.012
0.114,0.386,0.576,17.622,68.902,-46.646
0.067,0.401,0.503,19.695,74.146,-53.72
0.045,0.421,0.417,22.866,80.305,-59.024
0.006,0.437,0.339,27.073,87.744,-62.988
-0.029,0.45,0.309,31.402,95.61,-66.098
-0.037,0.459,0.315,36.037,101.707,-69.146
-0.051,0.462,0.323,41.098,106.037,-73.476
-0.071,0.48,0.344,46.463,109.024,-77.256
-0.075,0.501,0.375,51.707,108.902,-81.22
-0.057,0.526,0.389,56.037,104.329,-85.793
-0.037,0.578,0.417,59.878,97.439,-89.207
-0.039,0.611,0.461,62.866,90.61,-92.256
-0.053,0.633,0.494,64.207,84.451,-95.122
-0.071,0.668,0.508,63.659,79.695,-96.159
-0.093,0.697,0.508,62.256,77.744,-95.427
-0.139,0.72,0.5,59.817,76.28,-93.171
-0.2,0.745,0.49,56.951,74.695,-88.537
-0.288,0.789,0.489,53.476,72.744,-82.744
-0.36,0.849,0.498,49.695,67.805,-75.549
-0.408,0.91,0.517,45.854,60.671,-68.415
-0.456,0.993,0.53,42.927,53.902,-61.89
-0.485,1.084,0.551,40.671,49.207,-55.61
-0.492,1.149,0.583,38.963,45.854,-50.183
-0.477,1.203,0.623,37.256,42.5,-44.634
-0.476,1.251,0.668,34.512,38.232,-38.72
-0.491,1.273,0.696,31.28,32.256,-33.049
-0.514,1.29,0.691,27.5,26.037,-27.256
-0.545,1.298,0.66,23.72,21.22,-21.707
-0.561,1.276,0.627,19.756,16.951,-17.134
-0.554,1.229,0.592,15.976,12.927,-12.622
-0.54,1.185,0.563,12.317,9.024,-9.024
-0.537,1.142,0.534,8.72,3.902,-5.854
-0.526,1.108,0.506,5.61,-1.524,-2.378
-0.539,1.074,0.478,2.378,-6.159,1.22
-0.536,1.037,0.448,-0.793,-8.78,4.695
-0.518,1.015,0.43,-2.988,-11.037,7.683
-0.503,0.994,0.419,-4.817,-12.805,10.549
-0.491,0.967,0.409,-6.28,-13.232,12.866
-0.477,0.949,0.401,-7.378,-14.268,14.39
-0.467,0.933,0.406,-7.927,-15.549,15.305
-0.449,0.904,0.408,-7.866,-17.378,15.549
-0.429,0.874,0.411,-7.744,-18.049,15.549
-0.404,0.839,0.408,-7.683,-18.537,14.878
-0.387,0.8,0.401,-7.561,-19.878,13.354
