acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.295,0.452,0.528,-5.854,51.402,109.207
0.3,0.456,0.515,-8.354,44.573,100.61
0.304,0.448,0.518,-11.159,35.976,91.89
0.303,0.439,0.511,-14.39,26.951,82.378
0.297,0.435,0.496,-17.073,20.427,72.988
0.308,0.432,0.479,-19.268,16.89,63.963
0.304,0.433,0.478,-20.488,18.354,55.183
0.296,0.428,0.481,-20.61,24.329,46.707
0.298,0.427,0.479,-20.061,32.317,38.72
0.305,0.441,0.476,-18.476,39.573,31.22
0.309,0.44,0.462,-17.073,47.012,23.902
0.316,0.425,0.438,-15.61,52.317,16.707
0.32,0.412,0.421,-14.024,52.683,9.329
0.307,0.391,0.404,-11.341,49.939,1.707
0.282,0.377,0.392,-7.012,45.854,-4.573
0.24,0.363,0.403,-2.988,43.415,-13.293
0.214,0.346,0.393,2.744,42.134,-18.78
0.182,0.335,0.415,10.61,45.0,-24.939
0.182,0.326,0.41,18.963,54.329,-34.329
0.17,0.324,0.423,23.841,65.427,-44.817
0.167,0.302,0.443,27.012,72.073,-55.122
0.215,0.289,0.443,31.098,75.244,-65.183
0.169,0.294,0.425,35.122,77.012,-74.512
0.107,0.302,0.391,39.939,78.537,-81.89
0.11,0.312,0.354,45.732,81.646,-88.293
0.105,0.326,0.346,51.829,87.439,-95.0
0.096,0.347,0.35,58.537,94.634,-102.561
0.101,0.377,0.353,64.39,100.915,-109.268
0.09,0.417,0.368,69.329,104.146,-114.878
0.054,0.447,0.377,72.927,103.11,-119.939
0.014,0.49,0.394,75.61,99.573,-123.049
-0.022,0.542,0.433,76.585,95.366,-124.024
-0.082,0.597,0.471,76.22,92.378,-123.659
-0.139,0.667,0.483,74.268,90.305,-122.561
-0.202,0.75,0.501,72.073,89.634,-119.756
-0.251,0.813,0.518,69.39,89.756,-115.305
-0.296,0.875,0.526,65.061,88.11,-109.024
-0.327,0.958,0.559,60.854,84.451,-100.854
-0.364,1.043,0.599,56.707,79.207,-92.256
-0.404,1.126,0.612,53.415,73.598,-83.72
-0.414,1.215,0.634,50.427,67.988,-74.756
-0.408,1.283,0.674,47.439,63.293,-67.195
-0.397,1.332,0.715,44.512,59.878,-59.939
-0.396,1.376,0.747,41.341,56.159,-52.256
-0.418,1.381,0.754,37.927,50.732,-44.756
-0.44,1.374,0.731,33.963,44.451,-38.049
-0.479,1.375,0.695,29.634,37.866,-31.707
-0.499,1.349,0.665,25.122,30.427,-26.159
-0.517,1.291,0.623,20.854,23.963,-20.61
-0.514,1.237,0.581,16.707,19.329,-15.305
-0.494,1.188,0.556,12.988,14.512,-10.305
-0.479,1.131,0.533,9.085,8.78,-5.671
-0.468,1.089,0.502,5.488,3.659,-1.402
-0.455,1.056,0.477,2.744,-0.366,2.195
-0.456,1.028,0.457,0.549,-3.171,5.183
-0.453,0.996,0.442,-1.037,-5.976,8.049
-0.438,0.969,0.441,-2.256,-8.232,10.488
-0.435,0.943,0.435,-3.049,-10.305,12.073
-0.436,0.926,0.421,-3.415,-12.683,13.11
-0.44,0.904,0.404,-3.293,-14.329,13.78
-0.424,0.882,0.385,-3.049,-15.549,13.354
-0.407,0.854,0.365,-3.171,-16.646,12.683
-0.386,0.817,0.346,-3.841,-17.012,11.89
-0.368,0.787,0.327,-4.268,-17.195,10.61
-0.363,0.762,0.311,-4.146,-16.707,9.39
-0.372,0.737,0.3,-3.841,-15.061,7.439
-0.385,0.726,0.295,-2.805,-13.476,5.244
-0.387,0.718,0.29,-1.829,-12.5,3.232
-0.381,0.701,0.272,-0.915,-11.89,1.463
-0.375,0.688,0.264,-0.671,-11.463,-0.732
-0.377,0.679,0.262,-0.549,-11.22,-3.537
-0.373,0.676,0.263,0.0,-10.915,-6.28
-0.371,0.679,0.258,0.732,-9.451,-9.085
-0.382,0.683,0.252,1.28,-7.927,-12.5
-0.377,0.688,0.252,1.402,-6.829,-15.488
-0.356,0.684,0.259,1.829,-6.098,-18.902
-0.371,0.687,0.272,1.524,-6.28,-23.72
-0.381,0.687,0.282,0.183,-7.5,-28.598
-0.365,0.677,0.289,-1.037,-7.988,-33.659
-0.342,0.676,0.299,-3.232,-8.598,-38.476
-0.32,0.669,0.321,-5.793,-10.122,-43.963
-0.314,0.666,0.321,-8.598,-12.134,-50.061
-0.316,0.66,0.311,-12.683,-13.598,-56.707
-0.325,0.641,0.306,-17.5,-14.817,-63.78
-0.332,0.62,0.328,-23.232,-16.463,-71.341
-0.335,0.609,0.345,-29.939,-20.183,-79.451
-0.339,0.599,0.358,-36.524,-26.159,-87.866
-0.352,0.593,0.357,-42.988,-32.927,-95.976
-0.363,0.588,0.359,-49.268,-39.695,-103.171
-0.365,0.574,0.383,-55.366,-46.585,-109.878
