acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.619,-0.135,0.592,-18.476,-9.939,-8.902
0.657,-0.221,0.653,-17.866,-1.098,-12.378
0.655,-0.205,0.723,-16.463,5.976,-16.524
0.624,-0.115,0.827,-11.646,10.976,-20.671
0.594,-0.016,0.903,-4.024,16.524,-23.293
0.643,0.052,0.932,0.732,20.244,-23.293
0.641,0.067,0.904,0.915,17.622,-21.463
0.592,0.055,0.849,-1.463,11.951,-18.598
0.579,0.074,0.813,-2.927,5.976,-16.159
0.61,0.126,0.769,-4.268,0.793,-14.268
0.656,0.17,0.729,-4.085,-2.622,-11.22
0.737,0.191,0.701,-5.61,-4.451,-11.159
0.732,0.169,0.685,-6.098,-6.28,-10.122
0.746,0.167,0.688,-5.488,-5.305,-8.415
0.709,0.125,0.726,-5.549,-3.11,-7.561
0.67,0.09,0.754,-5.549,-1.22,-6.098
0.62,0.049,0.807,-5.976,0.793,-4.695
0.559,0.03,0.857,-5.0,0.61,-3.72
0.567,0.038,0.861,-3.354,-2.256,-3.171
0.561,0.053,0.828,-2.683,-4.451,-3.049
0.567,0.059,0.779,-2.134,-4.756,-3.598
0.614,0.054,0.727,-1.22,-5.122,-4.39
0.638,0.043,0.674,0.366,-7.134,-5.366
0.652,0.023,0.655,1.585,-7.5,-5.976
0.651,0.008,0.673,2.988,-5.61,-7.317
0.666,-0.016,0.694,4.329,-2.439,-9.146
0.669,-0.022,0.726,5.061,1.159,-10.305
0.642,-0.019,0.77,5.854,3.11,-10.976
0.629,0.006,0.784,6.402,2.012,-10.854
0.615,0.041,0.779,5.427,-0.732,-9.512
0.58,0.067,0.765,4.268,-3.902,-8.78
0.588,0.083,0.733,3.476,-5.732,-8.78
0.62,0.095,0.707,2.683,-5.671,-8.963
0.64,0.086,0.697,2.561,-5.915,-9.634
0.647,0.071,0.694,1.951,-5.915,-9.817
0.641,0.054,0.709,0.793,-4.939,-10.061
0.637,0.044,0.714,0.854,-3.841,-10.732
0.638,0.057,0.722,1.951,-2.866,-10.976
0.618,0.086,0.729,2.744,-2.317,-11.159
0.62,0.103,0.731,2.561,-1.768,-11.22
0.631,0.102,0.728,2.195,-1.159,-10.915
0.64,0.089,0.724,1.159,0.0,-10.732
0.643,0.086,0.721,0.61,0.183,-10.976
0.656,0.098,0.714,0.061,0.244,-10.549
0.66,0.106,0.716,-0.427,0.61,-9.329
0.642,0.108,0.718,-0.488,0.244,-8.415
0.626,0.116,0.723,-0.549,-0.793,-7.927
0.619,0.118,0.733,-1.098,-1.524,-7.744
0.626,0.106,0.741,-1.402,-1.768,-7.805
0.633,0.092,0.745,-1.463,-1.585,-7.561
0.639,0.084,0.747,-1.707,-1.524,-7.805
0.646,0.079,0.744,-2.134,-1.402,-8.78
0.653,0.075,0.733,-2.378,-0.671,-9.451
0.658,0.071,0.73,-2.866,0.061,-10.183
0.673,0.078,0.734,-3.841,-0.183,-12.195
0.684,0.085,0.729,-4.268,-0.976,-14.329
0.682,0.077,0.716,-5.061,-1.098,-16.098
