acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.504,0.342,0.596,-22.805,-20.671,-19.146
0.505,0.325,0.586,-25.488,-15.732,-16.646
0.55,0.295,0.61,-26.646,-6.646,-15.61
0.591,0.262,0.666,-26.341,3.537,-15.427
0.603,0.255,0.715,-25.488,11.28,-15.61
0.599,0.265,0.759,-23.415,15.488,-15.061
0.564,0.281,0.789,-19.878,15.549,-13.78
0.533,0.309,0.804,-15.976,13.963,-12.012
0.523,0.33,0.803,-12.439,12.012,-11.159
0.542,0.314,0.782,-9.878,10.305,-11.159
0.568,0.299,0.766,-7.439,8.841,-10.732
0.58,0.285,0.756,-5.427,6.89,-9.329
0.573,0.278,0.759,-4.39,5.61,-7.561
0.562,0.269,0.769,-3.659,4.634,-5.854
0.563,0.258,0.789,-3.11,3.171,-5.122
0.579,0.263,0.798,-2.683,1.159,-4.817
0.576,0.264,0.801,-2.012,-0.549,-4.39
0.556,0.261,0.801,-0.671,-0.854,-3.963
0.558,0.253,0.797,0.793,-1.098,-4.268
0.576,0.249,0.793,1.28,-0.122,-4.146
0.555,0.24,0.786,1.037,1.037,-3.537
0.538,0.23,0.777,0.793,0.854,-3.598
0.531,0.242,0.757,1.098,0.122,-3.72
0.544,0.26,0.751,1.768,-0.732,-3.659
0.549,0.27,0.739,2.256,-1.524,-3.659
0.539,0.273,0.729,2.5,-2.195,-4.085
0.544,0.264,0.722,1.768,-2.5,-4.756
0.549,0.25,0.719,1.037,-2.256,-5.549
0.554,0.24,0.717,1.037,-0.915,-6.037
0.557,0.237,0.718,0.732,0.976,-6.28
0.559,0.241,0.719,-0.183,2.073,-6.524
0.562,0.25,0.714,-1.037,1.646,-6.829
0.56,0.268,0.714,-2.256,0.976,-7.073
0.563,0.281,0.722,-3.11,0.854,-7.561
0.576,0.285,0.726,-3.476,1.22,-7.988
0.579,0.285,0.73,-3.72,1.402,-7.988
0.577,0.276,0.73,-4.207,1.707,-7.5
0.568,0.261,0.744,-4.878,0.854,-7.805
0.562,0.262,0.748,-5.244,-0.061,-8.476
0.573,0.26,0.753,-5.244,0.244,-9.573
0.583,0.247,0.758,-5.976,0.793,-10.793
0.589,0.237,0.759,-6.463,0.549,-11.951
0.597,0.24,0.759,-6.768,-0.976,-13.293
0.603,0.245,0.761,-7.256,-2.988,-16.037
0.62,0.24,0.76,-7.622,-4.39,-19.573
0.648,0.229,0.755,-7.683,-4.512,-23.598
0.683,0.207,0.75,-7.561,-3.902,-28.171
