acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.646,0.303,0.757,-15.183,2.561,-15.427
0.67,0.301,0.766,-9.939,8.232,-16.037
0.657,0.277,0.775,-5.915,10.0,-15.549
0.624,0.268,0.782,-3.659,6.341,-14.085
0.612,0.275,0.749,-2.195,1.707,-12.927
0.634,0.279,0.718,-0.549,-0.122,-12.317
0.673,0.283,0.697,0.915,1.402,-12.378
0.708,0.288,0.676,2.317,3.293,-12.439
0.734,0.3,0.657,2.561,3.537,-12.073
0.734,0.321,0.646,1.585,1.341,-11.28
0.72,0.323,0.637,-0.366,-2.195,-9.634
0.688,0.318,0.635,-2.683,-4.756,-7.561
0.657,0.318,0.637,-4.573,-5.976,-5.488
0.669,0.318,0.644,-6.28,-5.915,-3.72
0.669,0.31,0.648,-7.866,-4.634,-2.622
0.666,0.302,0.64,-8.171,-2.866,-2.439
0.682,0.3,0.625,-7.866,-0.61,-2.622
0.684,0.29,0.624,-8.171,0.976,-2.805
0.667,0.27,0.623,-9.207,1.159,-2.134
0.647,0.268,0.616,-9.512,0.122,-1.28
0.643,0.274,0.624,-8.841,-1.585,-0.793
0.647,0.276,0.625,-7.744,-2.378,-0.61
0.644,0.274,0.635,-6.22,-2.256,-1.28
0.651,0.267,0.638,-4.695,-1.341,-2.378
0.661,0.257,0.643,-3.659,0.671,-3.902
0.66,0.25,0.647,-2.5,2.683,-5.732
0.673,0.249,0.643,-1.768,4.878,-7.439
0.686,0.244,0.645,-1.524,6.463,-7.805
0.677,0.243,0.647,-1.098,6.098,-7.439
0.672,0.259,0.646,-1.341,4.451,-7.012
0.66,0.273,0.645,-2.439,2.805,-6.463
0.654,0.277,0.652,-3.415,1.768,-5.976
0.662,0.275,0.658,-3.963,0.549,-6.463
0.67,0.268,0.657,-5.0,-0.488,-7.805
0.691,0.265,0.653,-6.524,-1.159,-9.695
0.72,0.25,0.651,-7.988,-1.829,-11.829
