acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.145,0.612,0.592,-26.646,71.707,62.5
-0.102,0.582,0.585,-27.134,69.756,55.915
-0.03,0.611,0.553,-27.744,63.78,47.988
0.006,0.661,0.496,-24.39,53.963,40.366
-0.024,0.683,0.493,-19.695,40.061,34.634
-0.101,0.696,0.47,-19.451,34.451,30.244
-0.14,0.689,0.456,-16.098,35.61,26.098
-0.163,0.695,0.473,-12.439,39.634,25.854
-0.188,0.694,0.514,-8.415,41.768,25.488
-0.207,0.67,0.542,-5.305,40.183,25.183
-0.204,0.663,0.534,-1.89,35.732,26.28
-0.214,0.692,0.53,-0.427,34.329,26.89
-0.195,0.722,0.531,1.585,31.28,22.683
-0.144,0.741,0.534,3.72,25.183,18.72
-0.118,0.755,0.528,6.341,21.159,15.488
-0.12,0.752,0.521,8.78,19.451,14.085
-0.142,0.744,0.521,9.939,18.171,14.817
-0.148,0.754,0.499,10.122,16.159,13.659
-0.128,0.774,0.495,11.707,14.878,12.378
-0.119,0.796,0.504,12.561,13.049,10.488
-0.115,0.805,0.514,12.683,9.085,7.439
-0.113,0.79,0.515,13.354,5.671,3.963
-0.125,0.758,0.529,14.817,3.659,1.646
-0.141,0.741,0.539,14.512,1.585,0.549
-0.131,0.748,0.529,14.451,1.463,-1.646
-0.103,0.77,0.524,15.305,2.805,-5.0
-0.064,0.785,0.513,17.134,1.28,-6.707
-0.05,0.789,0.499,19.634,-1.463,-7.927
-0.073,0.789,0.494,20.61,-4.878,-9.573
-0.104,0.79,0.48,20.305,-10.61,-10.915
-0.115,0.791,0.482,19.939,-16.159,-12.988
-0.12,0.787,0.493,19.878,-19.512,-15.122
-0.116,0.783,0.49,20.61,-19.451,-16.707
-0.1,0.785,0.48,22.5,-17.317,-17.378
-0.095,0.794,0.468,26.22,-15.732,-16.22
-0.102,0.812,0.458,29.39,-14.207,-14.451
-0.11,0.83,0.434,30.854,-14.146,-14.268
-0.131,0.848,0.41,30.915,-15.854,-15.183
-0.152,0.858,0.4,30.122,-17.683,-16.646
-0.158,0.854,0.387,29.024,-17.805,-16.951
-0.148,0.854,0.383,28.232,-14.39,-17.012
-0.129,0.866,0.395,27.317,-9.146,-16.28
