acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.049,0.404,0.75,-77.073,16.28,63.72
-0.003,0.39,0.767,-68.11,9.817,54.024
0.085,0.367,0.82,-54.695,1.463,45.488
0.099,0.382,0.848,-42.256,2.5,43.476
0.061,0.343,0.948,-31.768,10.549,41.524
0.013,0.287,1.036,-21.037,11.707,40.732
-0.15,0.355,0.996,-19.634,-2.073,36.463
-0.187,0.413,0.908,-22.866,-16.89,31.707
-0.109,0.429,0.811,-25.427,-24.573,28.598
-0.071,0.459,0.743,-27.317,-28.171,26.951
-0.044,0.479,0.712,-27.378,-29.756,25.732
-0.01,0.498,0.718,-26.159,-27.561,25.793
0.0,0.523,0.746,-27.256,-21.402,25.244
-0.013,0.522,0.78,-28.659,-17.622,23.598
-0.043,0.489,0.835,-26.89,-16.22,22.378
-0.049,0.475,0.899,-26.037,-17.195,20.0
-0.075,0.479,0.943,-26.341,-20.549,16.951
-0.083,0.473,0.933,-24.573,-22.073,14.939
-0.063,0.481,0.894,-22.927,-20.549,13.293
-0.055,0.499,0.858,-22.927,-19.939,12.622
-0.049,0.504,0.829,-23.415,-20.61,12.988
-0.023,0.513,0.818,-24.329,-20.732,13.598
-0.001,0.506,0.819,-24.756,-21.707,14.329
0.002,0.509,0.814,-25.671,-24.024,14.634
-0.003,0.516,0.821,-26.22,-26.463,15.305
0.006,0.512,0.836,-26.22,-27.439,16.037
0.023,0.498,0.856,-25.366,-25.061,16.159
0.042,0.485,0.874,-23.72,-21.89,15.854
0.026,0.483,0.876,-22.561,-20.366,15.488
0.016,0.484,0.875,-22.5,-20.122,15.366
0.024,0.479,0.865,-22.988,-20.61,15.122
0.019,0.471,0.853,-23.598,-22.744,15.0
0.029,0.468,0.851,-24.878,-25.122,15.0
0.049,0.452,0.852,-24.756,-27.256,14.512
0.066,0.451,0.854,-24.268,-28.72,14.085
0.076,0.455,0.858,-24.024,-30.061,13.537
0.073,0.443,0.864,-23.049,-30.793,12.744
0.073,0.426,0.863,-21.28,-29.512,12.012
0.074,0.421,0.85,-20.183,-27.683,11.098
0.066,0.425,0.85,-20.183,-26.402,10.427
0.059,0.422,0.847,-19.634,-26.341,9.878
0.066,0.417,0.841,-18.232,-25.915,9.39
0.087,0.418,0.841,-17.256,-24.39,9.024
0.105,0.418,0.841,-16.524,-22.927,8.841
0.113,0.409,0.838,-15.427,-21.402,8.78
0.122,0.399,0.84,-14.634,-19.573,8.72
0.115,0.401,0.849,-14.329,-18.841,8.598
0.116,0.404,0.852,-13.354,-19.207,8.171
0.119,0.4,0.853,-12.439,-18.963,7.622
0.132,0.393,0.842,-11.646,-17.866,7.195
0.14,0.387,0.846,-10.61,-17.378,6.829
0.138,0.387,0.846,-9.39,-17.256,6.341
0.136,0.389,0.843,-8.537,-16.098,5.732
0.14,0.386,0.845,-7.439,-13.963,5.122
0.141,0.392,0.839,-6.585,-11.707,5.0
0.145,0.397,0.832,-5.854,-9.207,4.939
0.146,0.395,0.829,-5.183,-6.829,4.756
0.145,0.384,0.825,-4.39,-5.976,4.817
0.15,0.38,0.822,-4.024,-5.61,4.207
0.161,0.375,0.843,-3.963,-5.549,3.415
0.166,0.365,0.868,-2.927,-5.0,2.622
0.171,0.37,0.876,-1.585,-4.024,1.646
0.17,0.379,0.873,-0.915,-3.537,1.037
0.156,0.392,0.86,-0.732,-3.232,0.732
0.162,0.394,0.845,-0.061,-2.134,0.61
0.172,0.399,0.839,-0.183,-0.61,0.549
0.171,0.401,0.849,-0.488,-0.183,0.488
0.178,0.389,0.856,0.793,-0.244,0.0
0.183,0.39,0.869,1.341,-0.366,-0.366
0.181,0.4,0.878,1.463,-0.732,-0.793
0.176,0.403,0.88,2.195,-0.915,-1.159
0.169,0.398,0.873,3.293,-0.732,-1.098
0.164,0.401,0.867,4.024,0.427,-0.671
0.173,0.397,0.859,4.512,1.524,-0.61
0.176,0.387,0.85,5.488,1.402,-0.854
0.186,0.385,0.844,6.829,2.561,-1.402
0.199,0.372,0.847,8.049,4.329,-2.317
0.193,0.355,0.841,10.183,4.695,-3.354
0.187,0.356,0.823,12.744,5.732,-4.268
0.185,0.368,0.819,15.366,7.683,-5.61
0.185,0.373,0.811,17.866,10.305,-6.951
0.191,0.353,0.798,20.976,13.415,-8.659
0.2,0.337,0.768,24.085,15.915,-10.671
0.195,0.333,0.733,26.159,18.476,-12.256
0.179,0.326,0.722,27.805,22.134,-13.11
0.166,0.332,0.726,29.39,25.854,-14.329
0.145,0.338,0.729,31.646,29.329,-15.427
0.137,0.338,0.74,34.695,32.439,-16.646
0.126,0.343,0.751,36.402,35.0,-17.866
0.114,0.329,0.754,38.415,36.585,-19.695
0.12,0.306,0.751,41.768,37.622,-22.683
0.133,0.277,0.727,45.854,38.659,-26.707
0.138,0.253,0.689,50.61,40.061,-31.951
0.136,0.225,0.638,55.61,42.378,-37.805
0.128,0.208,0.57,61.707,46.707,-44.329
0.124,0.233,0.474,67.439,54.451,-50.854
0.097,0.302,0.385,70.915,68.11,-53.902
0.043,0.381,0.408,70.244,87.073,-53.293
-0.055,0.403,0.421,72.317,101.159,-53.415
-0.156,0.391,0.442,78.049,110.427,-52.5
-0.184,0.419,0.509,81.585,114.939,-51.341
-0.172,0.454,0.586,84.024,115.671,-52.134
-0.125,0.447,0.671,89.39,113.963,-55.061
-0.06,0.449,0.742,95.305,110.61,-61.098
-0.02,0.481,0.778,98.293,107.622,-68.11
-0.056,0.506,0.753,98.78,104.512,-73.598
-0.121,0.523,0.696,99.146,101.281,-77.744
-0.163,0.564,0.643,96.829,100.366,-80.427
-0.184,0.599,0.631,93.232,99.39,-83.659
-0.197,0.61,0.652,87.256,95.488,-89.085
-0.233,0.619,0.707,78.049,90.061,-94.634
-0.305,0.636,0.767,66.585,84.695,-98.659
-0.396,0.682,0.79,55.488,85.793,-98.293
-0.441,0.75,0.798,50.549,92.073,-97.378
-0.51,0.838,0.756,49.39,90.549,-90.305
-0.503,0.894,0.759,52.561,88.902,-82.134
-0.462,0.934,0.786,52.683,82.927,-74.451
-0.409,0.923,0.815,50.122,72.256,-68.598
-0.411,0.866,0.817,48.902,54.878,-63.293
-0.411,0.79,0.792,41.098,44.573,-61.768
-0.373,0.749,0.791,32.866,37.073,-66.524
-0.417,0.699,0.755,22.561,22.134,-68.841
-0.404,0.674,0.753,12.256,8.232,-74.329
-0.412,0.677,0.748,6.098,-15.671,-78.476
-0.382,0.684,0.738,2.317,-44.634,-81.28
-0.453,0.674,0.732,-2.073,-52.073,-79.939
-0.58,0.671,0.694,-0.183,-53.415,-80.793
-0.657,0.67,0.707,5.671,-51.89,-81.829
-0.691,0.669,0.744,10.427,-50.061,-82.5
-0.666,0.677,0.8,10.244,-52.5,-84.756
-0.641,0.642,0.888,7.927,-57.866,-87.561
-0.577,0.564,0.947,9.939,-67.439,-91.098
-0.493,0.474,0.942,18.78,-79.878,-95.61
-0.415,0.397,0.881,29.207,-93.415,-104.573
-0.346,0.376,0.818,36.951,-106.463,-115.976
-0.305,0.399,0.768,42.317,-120.061,-128.598
-0.295,0.43,0.722,46.402,-133.476,-144.329
-0.292,0.466,0.705,48.293,-141.585,-161.402
-0.395,0.47,0.722,54.085,-136.463,-176.524
-0.54,0.446,0.716,57.5,-119.817,-187.5
-0.621,0.455,0.719,56.159,-100.122,-194.207
-0.656,0.452,0.74,54.329,-82.195,-197.195
-0.649,0.448,0.763,53.11,-65.427,-198.963
-0.617,0.445,0.772,54.634,-52.134,-200.793
-0.581,0.449,0.75,58.537,-42.988,-199.634
-0.512,0.438,0.705,65.671,-38.171,-193.72
-0.429,0.404,0.675,73.171,-43.963,-190.0
-0.412,0.366,0.688,80.549,-58.354,-191.281
-0.502,0.332,0.735,84.085,-80.793,-193.842
-0.659,0.316,0.805,83.902,-106.281,-195.427
-0.776,0.3,0.851,86.951,-125.671,-197.622
-0.802,0.299,0.856,87.561,-139.207,-201.524
-0.776,0.355,0.857,76.22,-151.585,-208.415
-0.743,0.382,0.856,63.659,-159.817,-216.281
-0.698,0.355,0.817,54.268,-160.976,-220.976
-0.633,0.357,0.757,44.512,-158.293,-225.427
-0.586,0.399,0.696,31.524,-153.171,-230.549
-0.562,0.411,0.686,16.098,-144.146,-233.72
-0.567,0.386,0.737,-7.683,-141.463,-235.732
-0.725,0.372,0.782,-26.28,-132.622,-235.854
-0.773,0.223,0.77,-27.439,-107.134,-228.963
-0.734,0.108,0.899,-23.72,-88.841,-222.561
-0.86,0.077,0.91,-21.646,-80.183,-221.585
-0.962,0.035,0.861,-15.976,-75.366,-215.732
-0.867,0.0,0.779,-5.854,-69.695,-209.512
-0.753,0.043,0.708,-0.427,-61.098,-205.366
-0.689,0.106,0.588,-3.963,-49.817,-198.11
-0.6,0.151,0.491,-18.659,-35.793,-191.159
-0.523,0.176,0.48,-39.329,-24.024,-190.671
-0.512,0.134,0.492,-55.427,-17.195,-189.024
-0.519,0.026,0.528,-63.78,-17.622,-186.098
-0.664,-0.099,0.546,-66.89,-29.085,-182.866
-0.769,-0.219,0.571,-62.988,-45.061,-179.207
-0.836,-0.301,0.588,-51.829,-62.134,-172.988
-0.821,-0.331,0.551,-36.28,-77.195,-165.305
-0.68,-0.314,0.55,-20.488,-80.366,-155.427
-0.515,-0.256,0.559,-12.744,-71.585,-142.5
-0.413,-0.197,0.56,-13.415,-52.927,-130.671
