acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.037,0.49,0.941,-15.183,-7.561,20.915
0.063,0.49,0.973,-16.951,-7.073,18.354
0.041,0.497,0.976,-18.232,-8.902,15.427
0.011,0.506,0.954,-17.012,-10.366,13.659
-0.002,0.527,0.912,-16.463,-9.817,13.11
-0.011,0.538,0.888,-16.402,-9.756,12.5
-0.032,0.544,0.88,-17.5,-10.915,11.951
-0.042,0.533,0.871,-18.72,-13.293,12.317
-0.029,0.522,0.864,-19.695,-15.488,12.988
-0.014,0.518,0.861,-21.28,-18.171,13.78
-0.001,0.512,0.861,-23.11,-20.976,14.39
0.023,0.504,0.865,-24.39,-23.293,14.878
0.038,0.5,0.87,-25.671,-23.659,15.305
0.054,0.493,0.876,-25.183,-22.012,14.756
0.062,0.497,0.876,-24.573,-20.061,14.39
0.042,0.495,0.864,-24.939,-19.024,14.207
0.03,0.481,0.842,-24.817,-19.39,14.207
0.029,0.477,0.832,-24.634,-19.573,14.024
0.051,0.463,0.827,-24.695,-19.512,13.78
0.063,0.447,0.833,-24.817,-20.793,13.415
0.065,0.444,0.836,-25.427,-22.805,13.354
0.06,0.43,0.84,-25.671,-23.415,13.11
0.075,0.425,0.844,-25.122,-22.927,12.622
0.086,0.437,0.849,-24.695,-21.28,12.683
0.093,0.446,0.853,-24.39,-19.634,13.11
0.089,0.439,0.848,-24.024,-17.561,13.11
0.098,0.423,0.854,-23.78,-14.939,12.256
0.115,0.404,0.857,-23.11,-12.5,11.159
0.131,0.4,0.869,-22.378,-11.098,10.366
0.127,0.41,0.867,-22.256,-10.366,10.122
0.109,0.414,0.855,-21.28,-9.756,10.0
0.099,0.419,0.854,-19.878,-9.573,10.061
0.101,0.414,0.861,-18.902,-9.268,9.878
0.122,0.405,0.859,-18.476,-8.415,9.634
0.128,0.395,0.859,-18.963,-7.866,9.329
0.122,0.387,0.855,-18.659,-6.646,9.573
0.108,0.388,0.842,-17.744,-4.268,10.061
0.1,0.386,0.862,-16.585,-4.756,10.0
0.107,0.372,0.883,-15.183,-6.646,9.451
0.125,0.355,0.897,-14.573,-9.451,7.561
0.148,0.349,0.908,-14.634,-11.524,5.671
0.148,0.36,0.895,-14.512,-11.951,4.451
0.136,0.385,0.875,-13.537,-12.012,4.146
0.119,0.408,0.855,-12.012,-10.305,5.122
0.116,0.406,0.853,-10.732,-7.805,6.098
0.118,0.382,0.859,-10.0,-6.768,6.585
0.123,0.364,0.874,-9.634,-6.585,6.098
0.142,0.356,0.893,-9.573,-7.012,5.0
0.16,0.358,0.9,-9.817,-7.195,4.207
0.157,0.368,0.9,-9.634,-8.11,4.268
0.148,0.382,0.894,-8.902,-9.024,4.817
0.134,0.394,0.888,-8.476,-9.146,5.793
0.127,0.392,0.886,-7.988,-8.171,6.28
0.132,0.381,0.891,-7.378,-6.768,6.22
0.149,0.363,0.897,-7.073,-5.366,6.28
0.16,0.354,0.9,-6.829,-4.695,6.159
0.166,0.357,0.896,-6.585,-4.451,5.976
0.169,0.362,0.887,-6.22,-4.512,6.159
0.175,0.368,0.876,-5.549,-4.451,6.402
0.176,0.37,0.876,-4.695,-4.024,6.402
0.177,0.368,0.88,-3.902,-4.024,5.976
0.168,0.357,0.885,-3.78,-3.902,5.427
0.163,0.341,0.89,-3.72,-3.11,5.061
0.156,0.342,0.896,-3.72,-3.171,5.366
0.146,0.348,0.894,-3.415,-3.171,5.793
0.144,0.36,0.882,-3.049,-2.988,6.707
0.156,0.367,0.875,-2.622,-2.256,7.012
0.17,0.373,0.867,-2.317,-2.256,6.707
0.183,0.373,0.865,-2.195,-1.646,5.854
0.193,0.359,0.884,-2.073,-0.366,4.756
0.189,0.344,0.906,-1.524,0.488,3.902
0.181,0.338,0.913,-1.159,0.488,3.659
0.167,0.335,0.91,-0.793,0.122,3.841
0.159,0.344,0.904,-0.427,-0.305,4.085
0.159,0.356,0.894,-0.366,-0.488,4.024
0.16,0.367,0.884,-0.549,-0.671,3.841
0.163,0.374,0.878,-1.28,-0.427,3.354
0.164,0.369,0.887,-1.89,0.122,2.744
0.165,0.36,0.897,-2.073,0.366,2.317
0.158,0.351,0.908,-2.012,0.366,2.134
0.155,0.345,0.914,-1.829,0.488,2.012
0.158,0.346,0.906,-2.073,0.427,1.89
0.166,0.352,0.9,-2.561,0.244,1.463
0.167,0.364,0.891,-3.171,-0.061,1.037
0.157,0.367,0.892,-3.537,-0.671,0.793
0.151,0.366,0.9,-3.598,-1.098,1.098
0.152,0.362,0.915,-3.598,-0.732,2.073
0.164,0.351,0.921,-2.988,-0.488,2.927
0.179,0.351,0.918,-2.317,-0.61,3.049
0.186,0.354,0.899,-1.951,-0.976,2.561
0.185,0.362,0.886,-2.195,-1.524,2.195
0.178,0.354,0.886,-2.378,-1.159,1.585
0.179,0.339,0.895,-2.256,-0.671,1.037
0.181,0.333,0.898,-1.951,-0.122,0.976
0.174,0.333,0.892,-1.341,0.488,1.341
0.171,0.332,0.885,-0.671,0.244,1.28
0.173,0.333,0.878,-0.122,0.061,1.22
0.181,0.339,0.869,0.549,0.427,0.793
0.188,0.338,0.875,1.037,1.341,0.366
0.185,0.331,0.887,1.951,2.439,-0.061
0.18,0.319,0.896,2.866,3.049,-0.366
0.178,0.316,0.89,4.024,3.78,-0.366
0.183,0.319,0.88,5.427,4.268,-0.549
0.186,0.325,0.884,6.585,4.39,-1.037
0.191,0.328,0.884,7.744,5.061,-1.646
0.202,0.329,0.885,9.268,6.341,-2.378
0.193,0.332,0.886,10.366,6.89,-2.805
0.179,0.331,0.878,11.341,7.256,-2.805
0.167,0.333,0.869,12.012,8.476,-2.317
0.2,0.342,0.836,11.89,17.622,-1.707
0.165,0.343,0.785,13.293,20.244,-0.915
0.191,0.329,0.847,17.134,18.72,-1.463
0.208,0.328,0.873,20.427,18.659,-1.341
0.178,0.321,0.875,22.866,17.317,-1.768
0.157,0.315,0.875,24.268,15.976,-2.744
0.159,0.295,0.888,26.098,14.634,-4.817
0.185,0.28,0.872,27.134,15.854,-6.707
0.195,0.267,0.836,28.72,16.524,-8.659
0.192,0.252,0.805,31.951,16.829,-10.732
0.188,0.247,0.779,35.854,18.841,-13.232
0.188,0.237,0.754,39.817,22.683,-16.341
0.183,0.216,0.727,44.207,28.293,-19.756
0.188,0.187,0.704,48.476,35.305,-23.841
0.197,0.147,0.681,52.5,41.951,-28.598
0.208,0.105,0.655,56.707,47.988,-34.451
0.217,0.078,0.606,61.28,52.805,-41.463
0.197,0.089,0.553,66.585,56.402,-48.049
0.159,0.102,0.525,72.012,61.707,-54.817
0.137,0.1,0.5,76.951,68.476,-62.317
0.125,0.103,0.465,81.098,76.463,-69.939
0.114,0.102,0.426,85.732,86.037,-77.744
0.108,0.088,0.378,91.646,98.293,-86.22
0.104,0.072,0.322,97.5,113.72,-95.854
0.088,0.063,0.251,103.72,130.671,-105.244
0.015,0.11,0.201,109.451,147.744,-112.683
-0.127,0.239,0.176,113.171,161.281,-116.22
-0.271,0.329,0.24,118.963,171.951,-116.585
