acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.051,0.734,0.592,7.988,11.037,23.72
0.055,0.752,0.609,7.866,15.244,22.195
0.084,0.769,0.616,6.585,20.061,21.28
0.086,0.773,0.624,4.939,25.427,20.732
0.046,0.755,0.629,3.293,29.756,19.695
0.052,0.747,0.612,1.037,36.646,18.78
0.083,0.744,0.585,-1.463,43.902,16.829
0.105,0.744,0.545,-3.354,47.744,14.451
0.096,0.736,0.507,-4.634,46.524,10.366
0.067,0.717,0.466,-4.939,42.317,3.902
0.047,0.695,0.437,-5.122,42.561,-1.22
0.072,0.68,0.454,-6.646,49.817,-4.939
0.126,0.667,0.474,-8.659,58.598,-7.988
0.136,0.668,0.488,-10.244,66.707,-11.341
0.083,0.666,0.504,-11.341,74.207,-15.366
0.034,0.66,0.489,-8.659,75.671,-17.378
0.01,0.643,0.46,0.732,63.902,-17.317
-0.087,0.612,0.454,6.037,51.829,-20.366
-0.21,0.617,0.544,6.341,48.171,-26.341
-0.159,0.641,0.614,9.207,54.695,-32.378
-0.04,0.64,0.634,16.829,59.817,-42.927
-0.021,0.582,0.621,23.902,59.817,-46.707
0.0,0.541,0.59,24.878,60.854,-45.976
0.089,0.561,0.562,22.683,61.524,-47.744
0.086,0.608,0.499,21.524,56.707,-47.5
-0.062,0.597,0.449,19.146,48.232,-48.293
-0.202,0.602,0.458,15.244,40.915,-48.171
-0.249,0.639,0.506,11.341,37.866,-49.329
-0.277,0.696,0.542,8.72,36.585,-53.902
-0.255,0.757,0.576,8.415,37.195,-55.427
-0.181,0.84,0.634,10.305,38.72,-55.854
-0.107,0.916,0.703,12.378,37.256,-53.537
-0.055,0.966,0.757,13.72,33.902,-46.585
-0.045,1.0,0.766,14.573,27.744,-39.817
-0.091,1.015,0.732,15.549,22.134,-32.317
-0.139,1.021,0.711,16.951,18.11,-25.244
-0.188,1.031,0.694,18.11,15.244,-18.537
-0.259,1.023,0.672,18.354,15.976,-13.171
-0.32,1.009,0.658,17.988,16.22,-8.963
-0.351,0.997,0.646,16.159,12.744,-5.915
-0.37,0.979,0.636,12.195,8.293,-3.598
-0.363,0.957,0.627,8.11,4.695,-2.378
-0.327,0.943,0.633,4.817,2.378,-0.976
-0.292,0.923,0.629,2.378,0.976,-0.122
-0.268,0.907,0.614,0.793,-1.402,1.646
-0.257,0.905,0.597,0.0,-3.72,3.049
-0.274,0.905,0.588,-0.61,-6.22,3.354
-0.281,0.893,0.58,-0.793,-8.598,4.329
-0.278,0.884,0.571,-0.305,-10.854,5.732
-0.281,0.867,0.558,0.427,-13.537,6.951
-0.281,0.85,0.542,0.915,-15.244,7.988
-0.272,0.832,0.537,1.402,-16.402,8.72
-0.257,0.818,0.525,2.378,-16.524,9.146
-0.251,0.805,0.51,3.11,-16.22,9.329
-0.238,0.794,0.504,3.598,-16.098,9.756
-0.227,0.786,0.496,4.268,-15.549,9.634
-0.234,0.773,0.488,4.695,-15.671,9.085
-0.244,0.767,0.481,4.939,-17.012,8.841
-0.249,0.767,0.473,4.939,-18.415,8.598
-0.246,0.756,0.473,4.878,-18.232,8.049
-0.239,0.747,0.463,4.756,-16.768,7.805
-0.227,0.74,0.449,4.085,-14.39,7.439
-0.214,0.735,0.445,3.476,-12.012,7.195
-0.202,0.732,0.449,3.293,-9.085,6.707
-0.197,0.729,0.455,3.11,-5.732,5.122
-0.179,0.727,0.463,2.988,-4.756,3.232
-0.172,0.725,0.469,3.171,-6.89,0.976
-0.176,0.722,0.466,2.561,-10.122,-0.549
-0.173,0.73,0.466,2.012,-12.683,-2.012
-0.171,0.742,0.467,1.707,-13.902,-3.537
-0.166,0.75,0.479,1.646,-12.805,-4.39
-0.153,0.764,0.494,2.134,-10.488,-5.244
-0.16,0.781,0.5,2.866,-9.085,-5.671
-0.174,0.79,0.513,3.537,-7.744,-5.854
-0.189,0.802,0.518,3.841,-5.854,-6.402
