acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.094,0.693,0.571,-1.22,43.476,69.39
0.079,0.676,0.543,-3.232,43.476,67.134
0.036,0.672,0.547,-5.427,39.512,63.72
-0.01,0.675,0.563,-7.927,31.768,59.146
-0.013,0.685,0.566,-10.488,27.134,56.098
-0.008,0.687,0.57,-11.707,24.024,51.463
-0.017,0.685,0.529,-11.037,23.293,44.024
-0.034,0.705,0.519,-8.902,25.549,36.037
0.031,0.701,0.554,-6.707,26.951,34.085
0.16,0.674,0.583,-7.073,27.317,38.171
0.198,0.671,0.591,-8.659,21.341,39.756
0.117,0.691,0.581,-10.244,11.402,37.256
0.012,0.706,0.589,-10.488,0.793,32.195
-0.027,0.714,0.594,-8.537,-4.268,30.488
0.031,0.726,0.612,-4.634,1.463,32.622
0.099,0.715,0.628,0.305,9.756,33.049
0.132,0.703,0.613,1.951,19.695,33.537
0.11,0.72,0.603,2.012,27.622,31.463
0.076,0.735,0.592,1.89,30.793,29.634
0.084,0.715,0.579,0.671,32.866,30.0
0.095,0.69,0.563,-0.488,33.902,29.512
0.065,0.694,0.534,-0.427,33.232,25.671
0.031,0.709,0.491,0.122,32.805,22.012
0.063,0.716,0.483,0.122,36.341,20.366
0.083,0.711,0.511,-0.793,39.756,16.89
0.076,0.699,0.527,-2.561,41.402,14.878
0.079,0.693,0.534,-2.5,41.951,12.622
0.074,0.684,0.548,-1.341,38.293,7.805
0.067,0.678,0.575,-0.061,34.451,5.854
0.059,0.688,0.631,1.89,27.5,1.037
0.044,0.702,0.695,5.915,7.561,1.89
-0.007,0.679,0.76,8.537,-12.317,1.463
-0.087,0.664,0.835,7.927,-12.988,0.366
-0.021,0.687,0.871,5.793,-2.134,1.89
0.14,0.708,0.84,4.329,3.902,0.854
0.149,0.709,0.752,4.146,5.488,-2.5
0.093,0.701,0.68,3.841,9.39,-6.707
