acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.124,0.719,0.551,-0.244,15.915,38.78
0.155,0.723,0.551,-0.305,15.488,37.256
0.187,0.724,0.551,-1.159,16.28,36.829
0.202,0.725,0.545,-2.561,18.841,36.707
0.188,0.724,0.547,-2.744,18.72,34.573
0.171,0.723,0.537,-2.927,15.976,32.317
0.166,0.726,0.535,-4.268,16.159,31.646
0.158,0.721,0.541,-5.427,16.341,29.573
0.178,0.714,0.542,-6.463,16.341,27.683
0.203,0.711,0.544,-8.415,15.976,26.341
0.203,0.709,0.547,-8.537,13.78,24.695
0.196,0.7,0.55,-7.744,12.073,23.72
0.203,0.697,0.554,-7.134,11.707,22.683
0.21,0.705,0.563,-6.28,12.439,20.976
0.208,0.717,0.569,-6.037,14.939,19.573
0.209,0.728,0.58,-5.854,17.5,17.927
0.217,0.732,0.579,-5.305,21.463,16.402
0.218,0.722,0.565,-5.244,26.098,15.122
0.22,0.717,0.552,-6.341,27.622,14.207
0.205,0.726,0.544,-7.744,25.0,12.195
0.173,0.728,0.551,-8.902,18.902,8.963
0.161,0.715,0.567,-9.451,15.122,6.585
0.16,0.695,0.585,-9.024,13.598,5.183
0.164,0.68,0.585,-8.171,14.573,5.122
0.176,0.678,0.587,-7.317,16.098,5.732
0.179,0.666,0.585,-6.037,13.415,4.939
0.148,0.663,0.58,-4.573,7.988,3.293
0.118,0.664,0.566,-3.171,5.183,2.073
0.133,0.664,0.568,-2.378,5.915,1.037
0.167,0.663,0.577,-2.134,6.829,-0.305
0.17,0.668,0.577,-2.134,6.524,-2.012
0.146,0.685,0.583,-2.378,8.171,-3.476
0.123,0.687,0.594,-3.11,11.463,-5.488
0.121,0.691,0.605,-4.878,15.976,-6.646
0.127,0.699,0.612,-5.976,20.305,-7.317
0.137,0.703,0.605,-5.488,22.073,-7.744
0.146,0.695,0.583,-4.573,22.561,-7.012
0.14,0.683,0.568,-2.866,21.098,-7.073
0.122,0.676,0.539,-0.793,18.354,-8.72
0.103,0.683,0.5,0.305,18.049,-9.146
0.095,0.685,0.476,0.427,22.561,-8.659
0.079,0.681,0.475,-1.037,31.159,-8.902
0.072,0.68,0.465,-4.756,41.951,-8.841
0.071,0.683,0.442,-9.451,54.817,-8.902
0.042,0.664,0.412,-14.695,65.305,-11.89
0.017,0.635,0.386,-20.305,72.134,-14.207
0.01,0.608,0.352,-21.585,83.476,-17.561
-0.018,0.578,0.298,-17.439,104.085,-26.463
0.012,0.528,0.294,-9.085,127.988,-31.585
0.098,0.472,0.351,5.793,145.061,-37.195
0.118,0.405,0.395,18.232,149.695,-45.488
0.082,0.376,0.446,23.841,153.11,-52.5
0.037,0.386,0.482,27.805,158.598,-59.634
0.0,0.397,0.509,30.671,161.402,-68.232
-0.058,0.414,0.523,36.646,155.061,-82.256
-0.164,0.44,0.54,45.61,144.451,-88.72
-0.281,0.443,0.598,55.854,136.768,-96.707
-0.358,0.433,0.708,57.073,137.561,-102.805
-0.288,0.506,0.792,50.0,136.951,-98.902
-0.162,0.515,0.726,41.89,135.61,-102.195
-0.069,0.567,0.597,31.402,136.829,-105.366
0.029,0.631,0.606,25.427,129.085,-102.805
-0.081,0.749,0.703,26.159,111.524,-98.72
-0.339,0.892,0.775,28.537,89.512,-93.72
-0.467,1.034,0.813,32.012,69.939,-85.854
-0.488,1.145,0.811,34.756,57.317,-77.195
-0.512,1.212,0.813,37.561,57.195,-66.524
-0.494,1.249,0.844,39.817,56.646,-59.878
-0.483,1.227,0.823,39.817,54.268,-48.841
-0.522,1.189,0.786,36.098,51.22,-38.598
-0.563,1.138,0.747,31.341,46.89,-30.671
-0.625,1.082,0.718,25.61,39.207,-22.073
-0.662,1.031,0.715,18.78,30.549,-15.915
-0.658,0.995,0.695,11.829,22.805,-11.768
-0.633,0.967,0.662,6.646,15.732,-7.683
-0.618,0.947,0.636,4.024,8.72,-3.963
-0.636,0.94,0.623,2.5,2.927,-1.28
-0.636,0.932,0.604,1.402,-0.244,0.671
-0.612,0.924,0.58,0.915,-0.915,2.5
-0.593,0.907,0.556,0.549,-1.951,4.329
-0.588,0.891,0.533,0.427,-4.878,6.402
-0.571,0.879,0.526,0.305,-7.561,8.537
-0.541,0.867,0.528,0.488,-10.305,10.61
-0.512,0.856,0.535,1.037,-13.476,12.439
-0.499,0.833,0.528,1.037,-16.22,13.78
-0.492,0.811,0.522,1.037,-18.659,15.0
-0.479,0.793,0.512,0.854,-21.28,16.098
-0.468,0.773,0.494,0.549,-23.72,17.012
-0.471,0.758,0.474,0.122,-24.268,17.988
-0.462,0.756,0.455,-0.122,-23.232,18.72
-0.442,0.744,0.445,-0.366,-23.293,19.146
-0.445,0.737,0.441,-0.854,-24.512,20.0
-0.446,0.73,0.438,-0.915,-23.78,20.305
-0.431,0.72,0.439,-0.915,-23.598,20.488
-0.424,0.705,0.429,-1.037,-24.756,19.756
-0.432,0.692,0.414,-0.732,-23.78,18.354
-0.424,0.687,0.407,-0.732,-22.134,17.561
-0.403,0.677,0.4,-0.854,-22.012,16.646
-0.386,0.67,0.4,-0.793,-20.61,14.573
-0.372,0.667,0.401,-0.366,-18.963,12.439
-0.364,0.662,0.409,-0.427,-20.732,11.28
-0.362,0.662,0.414,-0.671,-23.902,10.61
-0.362,0.673,0.419,-0.244,-26.89,10.366
-0.379,0.688,0.429,0.366,-30.854,9.695
-0.389,0.705,0.445,0.793,-34.207,8.78
-0.377,0.718,0.465,1.89,-36.402,8.598
-0.355,0.724,0.48,2.927,-38.232,8.11
-0.356,0.728,0.473,3.049,-39.817,7.5
-0.358,0.738,0.471,2.683,-42.073,5.976
-0.358,0.749,0.469,1.463,-46.646,6.28
-0.367,0.76,0.481,0.061,-51.037,5.061
-0.365,0.782,0.503,-1.037,-55.915,2.866
-0.331,0.788,0.528,-2.378,-62.195,2.317
-0.313,0.793,0.562,-4.207,-64.817,4.085
-0.305,0.796,0.601,-5.671,-64.634,3.659
-0.294,0.788,0.634,-6.28,-65.061,2.622
-0.289,0.771,0.658,-7.927,-69.451,0.061
-0.286,0.762,0.671,-9.207,-80.122,-3.598
-0.288,0.744,0.706,-11.646,-90.61,-6.28
-0.282,0.735,0.742,-10.854,-97.622,-10.061
