acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.002,0.712,0.544,26.159,48.11,103.476
-0.013,0.726,0.542,21.951,43.293,100.061
-0.03,0.729,0.527,18.72,38.171,98.171
-0.041,0.725,0.53,17.256,36.951,97.378
-0.042,0.707,0.528,17.317,33.354,95.976
-0.007,0.709,0.525,17.195,30.427,95.549
0.0,0.729,0.527,17.134,30.122,94.024
-0.01,0.741,0.525,17.073,29.573,90.671
0.016,0.741,0.521,16.159,26.585,87.439
0.051,0.741,0.519,14.695,24.939,85.366
0.051,0.741,0.522,13.11,24.207,81.829
0.053,0.735,0.537,9.573,21.402,78.171
0.082,0.735,0.562,6.037,16.28,74.024
0.071,0.734,0.575,4.756,9.756,69.146
0.073,0.726,0.57,3.171,7.744,66.89
0.112,0.725,0.57,2.683,9.512,66.463
0.135,0.729,0.572,2.073,11.463,64.146
0.137,0.736,0.574,0.305,18.11,60.061
0.14,0.735,0.573,-2.012,23.11,55.0
0.167,0.742,0.574,-3.902,26.89,53.659
0.148,0.734,0.577,-4.207,27.256,50.854
0.1,0.716,0.567,-4.512,24.024,46.463
0.086,0.72,0.558,-5.671,21.768,43.476
0.103,0.734,0.567,-6.585,21.768,42.744
0.134,0.73,0.587,-8.232,21.646,41.829
0.145,0.726,0.601,-8.72,19.878,40.183
0.116,0.732,0.602,-8.11,19.207,38.598
0.093,0.731,0.602,-6.829,18.293,36.768
0.109,0.724,0.6,-5.915,18.232,35.488
0.136,0.723,0.587,-6.159,17.5,34.39
0.145,0.727,0.583,-6.707,14.451,33.537
0.129,0.725,0.586,-6.524,10.0,31.28
0.099,0.716,0.584,-6.768,5.488,29.329
0.103,0.718,0.585,-8.049,4.756,28.78
0.117,0.724,0.594,-8.537,4.939,27.073
0.134,0.723,0.602,-8.232,6.402,26.098
0.152,0.721,0.601,-8.232,8.415,25.732
0.162,0.717,0.596,-7.439,10.488,25.305
0.152,0.708,0.59,-6.159,10.732,23.659
0.141,0.7,0.583,-4.207,6.89,21.037
0.14,0.694,0.569,-2.195,3.841,19.878
0.143,0.686,0.558,-0.244,2.317,18.476
0.158,0.675,0.554,0.305,2.195,16.951
0.17,0.676,0.545,-0.244,1.707,15.732
0.169,0.681,0.551,-0.183,1.524,14.024
0.148,0.679,0.561,0.183,-0.061,10.854
0.15,0.684,0.564,-0.061,-1.646,8.293
0.169,0.686,0.564,-0.366,-2.073,6.707
0.17,0.678,0.547,-0.488,-1.402,5.854
0.15,0.685,0.521,-0.61,0.732,4.573
0.128,0.699,0.509,-0.854,3.598,2.378
0.128,0.703,0.509,-1.22,6.098,1.098
0.14,0.696,0.519,-1.951,6.707,0.061
0.139,0.698,0.522,-3.293,8.598,-0.732
0.131,0.702,0.53,-4.329,11.829,-2.012
0.142,0.702,0.527,-5.732,13.963,-2.561
0.14,0.71,0.523,-6.89,16.768,-3.171
0.131,0.711,0.524,-8.171,19.207,-5.244
0.137,0.708,0.524,-9.146,20.305,-6.159
0.136,0.706,0.523,-9.817,22.378,-6.28
0.118,0.708,0.524,-10.488,25.183,-7.317
0.106,0.719,0.529,-11.585,28.72,-8.232
0.104,0.718,0.529,-11.707,33.171,-9.024
0.102,0.711,0.53,-9.329,40.061,-8.598
0.104,0.695,0.543,-6.829,46.037,-7.866
0.112,0.696,0.566,-6.585,48.659,-7.317
0.092,0.716,0.586,-6.768,47.866,-8.78
0.063,0.719,0.603,-6.098,44.024,-10.854
0.049,0.712,0.613,-5.488,39.451,-11.341
0.043,0.7,0.601,-3.902,36.037,-11.098
0.035,0.685,0.574,-2.5,32.866,-11.463
0.034,0.675,0.541,-1.28,31.646,-11.585
0.036,0.677,0.52,-0.671,35.915,-12.5
0.046,0.674,0.493,-0.366,47.134,-14.329
0.067,0.666,0.475,0.488,58.476,-17.195
0.064,0.648,0.454,2.683,64.695,-20.61
-0.009,0.631,0.433,7.195,70.305,-24.878
-0.084,0.622,0.458,11.28,80.427,-29.268
-0.051,0.617,0.504,12.805,95.793,-31.646
0.013,0.615,0.557,13.354,111.402,-32.927
0.023,0.596,0.596,16.28,125.732,-35.122
-0.035,0.542,0.598,21.463,134.634,-40.427
-0.078,0.491,0.555,25.976,137.927,-47.744
-0.094,0.464,0.495,28.902,139.146,-55.061
-0.088,0.486,0.456,30.427,140.0,-61.707
-0.049,0.53,0.441,32.439,139.146,-68.537
-0.045,0.564,0.441,33.902,137.317,-73.598
-0.108,0.545,0.445,33.598,129.817,-76.768
-0.227,0.549,0.483,32.378,114.939,-75.488
-0.371,0.573,0.544,28.11,105.427,-78.415
-0.397,0.59,0.663,24.878,105.0,-82.195
-0.297,0.723,0.763,20.793,102.927,-81.159
-0.184,0.813,0.785,20.122,91.22,-80.793
-0.232,0.86,0.781,22.5,81.707,-79.695
-0.27,0.951,0.789,22.195,73.598,-76.829
-0.274,1.021,0.783,20.732,62.805,-70.122
-0.358,1.058,0.738,20.61,54.695,-63.11
-0.441,1.088,0.709,21.89,48.415,-53.963
-0.442,1.085,0.705,21.159,42.927,-44.146
-0.469,1.094,0.701,20.305,39.634,-35.244
-0.515,1.081,0.682,20.0,38.598,-26.951
-0.538,1.046,0.667,17.988,35.061,-20.793
-0.566,1.01,0.663,14.817,28.415,-15.488
-0.62,0.987,0.66,11.585,20.427,-10.732
-0.624,0.958,0.646,8.415,12.134,-6.707
-0.609,0.949,0.635,5.488,6.159,-4.085
-0.597,0.94,0.621,4.451,2.073,-2.134
-0.574,0.922,0.612,3.963,-1.28,-1.585
-0.563,0.915,0.604,3.476,-4.512,-0.061
-0.546,0.911,0.596,3.11,-7.683,2.622
-0.539,0.905,0.591,3.171,-10.183,5.122
-0.53,0.889,0.583,3.598,-11.829,7.561
-0.516,0.875,0.57,3.841,-12.988,10.0
-0.495,0.858,0.548,3.72,-14.207,11.829
-0.483,0.842,0.524,3.171,-15.427,13.78
-0.475,0.828,0.506,2.744,-16.707,15.61
-0.472,0.813,0.495,2.683,-17.744,17.073
-0.471,0.8,0.49,2.134,-18.598,18.354
-0.462,0.784,0.486,1.159,-19.207,19.329
-0.442,0.769,0.479,0.488,-18.963,19.817
-0.426,0.753,0.474,0.183,-18.354,20.061
-0.411,0.744,0.468,-0.122,-18.11,19.573
-0.406,0.735,0.459,-0.427,-19.146,19.695
-0.399,0.724,0.45,-0.732,-20.427,19.207
-0.386,0.718,0.445,-1.098,-22.012,18.72
-0.38,0.713,0.443,-1.22,-23.354,18.293
-0.371,0.709,0.436,-1.646,-23.963,18.171
-0.347,0.7,0.436,-1.829,-24.024,17.683
-0.338,0.696,0.438,-1.89,-24.207,16.524
-0.342,0.695,0.441,-1.829,-25.915,15.61
-0.329,0.697,0.444,-1.341,-28.415,14.451
-0.321,0.703,0.451,-1.22,-30.61,12.927
-0.314,0.708,0.458,-0.854,-32.012,11.402
-0.311,0.714,0.469,-0.305,-33.659,10.61
-0.316,0.719,0.479,0.366,-35.61,9.939
-0.313,0.729,0.486,1.463,-36.707,8.841
-0.319,0.737,0.484,2.073,-36.037,8.049
-0.316,0.739,0.483,2.378,-33.902,6.89
-0.312,0.742,0.49,2.683,-31.22,4.878
-0.307,0.75,0.497,2.622,-28.841,2.683
-0.296,0.76,0.512,2.134,-27.134,1.829
-0.284,0.764,0.519,1.585,-28.293,0.732
-0.296,0.768,0.52,0.488,-30.915,-0.732
-0.316,0.782,0.529,-0.305,-34.695,-1.402
-0.324,0.798,0.538,-1.22,-37.134,-1.159
-0.322,0.812,0.544,-2.439,-37.988,-1.951
-0.317,0.814,0.555,-2.439,-37.988,-2.378
-0.313,0.817,0.566,-3.171,-38.78,-1.585
-0.285,0.821,0.587,-3.659,-40.122,-0.427
-0.257,0.813,0.604,-4.329,-43.72,0.549
-0.246,0.811,0.614,-5.732,-50.488,0.244
-0.238,0.798,0.63,-9.329,-52.256,-0.915
-0.231,0.784,0.646,-7.561,-52.012,-0.061
-0.215,0.771,0.658,-8.902,-57.134,-2.988
-0.228,0.795,0.641,-11.524,-61.037,-4.085
-0.202,0.746,0.632,-12.927,-67.012,-4.146
-0.163,0.738,0.607,-15.549,-73.841,-5.305
-0.147,0.74,0.559,-18.841,-81.646,-8.963
-0.14,0.716,0.499,-23.171,-86.463,-13.72
-0.146,0.747,0.505,-26.585,-88.963,-16.524
