acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.072,0.728,0.571,9.146,55.854,63.598
0.076,0.737,0.545,7.927,49.817,60.976
0.048,0.728,0.521,5.549,40.915,58.537
0.016,0.715,0.504,1.768,30.793,55.244
0.01,0.725,0.506,-1.951,24.756,53.841
0.046,0.737,0.532,-4.817,24.512,52.317
0.075,0.731,0.575,-7.439,24.451,50.244
0.091,0.726,0.594,-9.024,26.037,48.659
0.07,0.73,0.608,-8.293,27.927,45.305
0.043,0.727,0.596,-6.768,28.476,42.317
0.046,0.729,0.581,-6.037,29.756,40.61
0.055,0.731,0.575,-4.817,29.756,38.049
0.056,0.729,0.56,-3.171,29.268,34.329
0.061,0.719,0.559,-2.317,25.732,31.28
0.067,0.714,0.557,-2.866,20.366,29.695
0.064,0.726,0.553,-4.268,17.195,27.378
0.051,0.732,0.546,-6.829,17.317,24.329
0.05,0.733,0.548,-10.366,18.537,21.098
0.053,0.737,0.564,-12.805,19.817,19.329
0.039,0.73,0.578,-12.866,18.415,17.988
0.028,0.721,0.595,-11.768,13.232,16.829
0.028,0.718,0.61,-7.927,9.085,16.037
0.022,0.708,0.623,-2.866,7.622,14.817
0.045,0.705,0.63,1.159,7.073,13.171
0.077,0.704,0.649,2.683,6.707,11.585
0.091,0.694,0.664,2.439,7.439,10.549
0.082,0.701,0.668,1.829,7.805,8.963
0.069,0.726,0.663,1.524,10.061,8.232
0.063,0.74,0.658,1.037,13.11,7.561
0.056,0.757,0.649,0.122,14.329,7.622
0.044,0.771,0.645,-0.305,15.122,7.439
0.027,0.761,0.647,-0.305,16.951,7.5
0.025,0.745,0.646,-0.732,16.768,7.866
0.041,0.741,0.624,-1.524,15.244,8.354
0.061,0.744,0.593,-1.89,14.939,7.439
0.059,0.748,0.579,-1.646,15.549,4.756
0.071,0.741,0.56,-1.159,15.488,4.024
0.077,0.731,0.546,-0.244,17.866,3.537
0.047,0.715,0.537,0.488,20.183,2.317
0.037,0.7,0.531,1.707,22.988,3.11
0.033,0.695,0.513,3.841,26.707,3.049
0.021,0.72,0.49,5.854,31.768,2.622
0.021,0.731,0.482,8.841,36.707,1.89
0.016,0.722,0.487,12.5,40.061,-2.927
-0.02,0.703,0.515,16.28,36.524,-10.122
-0.046,0.681,0.55,19.146,27.744,-10.61
-0.038,0.663,0.604,20.671,21.524,-9.268
-0.001,0.659,0.646,20.671,22.378,-13.72
0.042,0.674,0.664,19.512,26.098,-14.695
0.047,0.663,0.64,18.841,30.61,-17.134
0.019,0.652,0.573,18.659,36.463,-20.976
-0.021,0.628,0.505,18.354,39.756,-25.061
-0.058,0.612,0.449,17.561,38.293,-28.902
-0.078,0.608,0.421,17.073,35.732,-33.537
-0.082,0.602,0.433,17.378,35.976,-37.5
-0.059,0.596,0.458,17.073,38.415,-40.671
-0.011,0.592,0.472,15.793,40.915,-43.476
0.003,0.593,0.472,15.244,44.146,-47.378
-0.013,0.609,0.455,15.427,50.122,-53.171
-0.02,0.62,0.438,15.305,56.524,-60.366
-0.036,0.622,0.429,17.195,63.476,-64.756
-0.083,0.645,0.41,18.963,65.549,-70.061
-0.127,0.626,0.391,17.439,66.159,-74.085
-0.199,0.646,0.389,14.268,65.793,-74.268
-0.238,0.651,0.375,12.988,64.451,-74.451
-0.276,0.653,0.374,12.561,64.39,-73.659
-0.305,0.701,0.434,11.524,63.171,-71.402
-0.32,0.772,0.509,13.72,59.756,-70.061
-0.345,0.824,0.593,15.0,55.305,-68.902
-0.309,0.898,0.674,16.89,46.89,-65.854
-0.252,0.991,0.732,19.024,38.049,-61.646
-0.225,1.04,0.75,20.305,30.976,-57.744
-0.211,1.104,0.756,20.549,25.793,-52.561
-0.23,1.104,0.73,20.427,21.402,-46.768
-0.29,1.094,0.682,19.085,19.573,-40.488
-0.328,1.064,0.648,16.646,18.537,-33.78
-0.369,1.05,0.618,13.963,16.22,-26.768
-0.435,1.022,0.593,11.037,13.232,-21.037
-0.46,1.001,0.582,7.927,9.817,-15.671
-0.459,0.98,0.574,5.061,7.622,-11.524
-0.473,0.958,0.57,2.256,5.427,-9.085
-0.469,0.95,0.567,0.671,4.024,-6.707
-0.456,0.936,0.564,0.183,3.415,-5.0
-0.438,0.922,0.563,0.122,2.561,-3.293
-0.417,0.92,0.56,-0.061,1.646,-2.012
-0.418,0.909,0.558,0.305,-0.305,-0.854
-0.41,0.904,0.555,0.488,-3.171,0.915
-0.385,0.898,0.549,1.098,-6.829,2.927
-0.365,0.896,0.546,1.829,-9.573,5.305
-0.356,0.888,0.549,2.744,-11.463,7.5
-0.341,0.885,0.545,3.415,-12.866,9.268
-0.333,0.874,0.533,3.72,-13.354,10.915
-0.337,0.863,0.515,4.085,-13.72,12.195
-0.338,0.85,0.501,4.268,-13.841,13.11
-0.332,0.838,0.494,4.451,-13.902,14.207
-0.331,0.826,0.49,4.207,-14.024,15.305
-0.327,0.81,0.481,3.537,-13.841,16.341
-0.318,0.797,0.474,2.866,-13.232,16.951
-0.317,0.79,0.473,2.134,-12.622,17.5
-0.313,0.773,0.479,1.585,-11.951,17.744
-0.31,0.762,0.476,1.22,-12.927,18.354
-0.3,0.757,0.465,0.793,-12.744,18.11
-0.292,0.749,0.46,0.244,-12.256,17.561
-0.277,0.737,0.451,0.183,-12.622,16.768
-0.266,0.733,0.441,0.488,-12.927,15.488
-0.256,0.733,0.441,0.427,-12.378,14.39
-0.238,0.729,0.451,0.244,-12.744,13.049
-0.228,0.725,0.457,0.244,-15.732,11.951
-0.227,0.729,0.467,-0.305,-19.817,11.037
-0.235,0.733,0.479,-0.366,-24.207,9.573
-0.245,0.737,0.493,0.0,-27.5,8.11
-0.242,0.747,0.489,-0.427,-29.878,6.646
-0.236,0.754,0.479,-1.28,-32.012,3.415
-0.236,0.751,0.477,-2.012,-34.146,-0.305
-0.24,0.752,0.475,-2.439,-36.707,-3.293
-0.232,0.758,0.479,-3.78,-39.207,-5.915
-0.226,0.76,0.501,-5.427,-41.524,-9.146
-0.237,0.765,0.531,-7.5,-43.78,-11.646
-0.221,0.772,0.547,-10.0,-46.159,-14.695
-0.17,0.782,0.569,-12.866,-46.524,-16.646
-0.146,0.776,0.578,-14.451,-48.293,-20.427
-0.13,0.765,0.581,-19.817,-56.28,-22.622
-0.132,0.757,0.532,-28.659,-64.085,-24.512
