acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.049,0.685,0.584,-23.354,-0.61,71.524
-0.037,0.66,0.577,-21.951,0.366,65.488
-0.01,0.634,0.551,-18.78,7.256,57.805
0.064,0.626,0.522,-16.707,17.561,50.61
0.174,0.621,0.502,-15.671,21.098,47.866
0.229,0.63,0.487,-13.902,15.671,44.024
0.107,0.652,0.525,-8.963,11.341,36.463
0.004,0.62,0.625,-2.134,13.171,29.939
0.032,0.562,0.68,1.707,16.829,23.476
0.053,0.544,0.714,4.207,17.805,16.463
0.097,0.571,0.729,4.268,13.902,11.89
0.126,0.605,0.69,1.951,8.476,10.732
0.071,0.649,0.586,-1.524,6.28,10.549
-0.026,0.699,0.508,-5.488,7.744,9.695
-0.049,0.727,0.457,-6.768,12.256,8.537
-0.046,0.738,0.422,-5.305,22.256,7.927
-0.055,0.713,0.413,-2.622,29.695,5.488
-0.057,0.669,0.446,-1.585,27.561,1.28
-0.039,0.633,0.464,-2.317,18.232,-0.976
-0.045,0.629,0.451,-3.537,6.28,-2.073
-0.11,0.648,0.46,-2.439,-3.598,-5.061
-0.116,0.655,0.493,-0.183,-8.11,-8.537
-0.085,0.633,0.54,2.134,-9.207,-12.073
-0.099,0.619,0.586,6.098,-1.951,-14.39
-0.092,0.608,0.571,9.329,15.061,-17.073
-0.093,0.606,0.529,11.037,31.463,-20.488
-0.092,0.63,0.503,12.134,37.134,-22.744
-0.08,0.644,0.463,12.256,35.366,-23.841
-0.117,0.653,0.421,10.732,32.134,-25.427
-0.168,0.671,0.414,10.793,30.366,-27.378
-0.166,0.682,0.42,13.476,28.598,-30.488
-0.148,0.658,0.423,15.305,26.28,-34.512
-0.134,0.638,0.406,14.695,26.463,-38.354
-0.121,0.661,0.378,15.793,33.598,-42.012
-0.124,0.681,0.365,21.159,45.549,-47.317
-0.12,0.656,0.371,30.366,57.073,-52.317
-0.098,0.604,0.368,36.585,65.244,-55.061
-0.088,0.589,0.358,35.244,67.988,-55.427
-0.138,0.658,0.347,32.439,65.305,-54.451
-0.197,0.764,0.36,31.829,60.0,-54.329
-0.208,0.808,0.383,30.915,55.244,-54.207
-0.213,0.799,0.415,30.732,51.829,-53.232
-0.233,0.812,0.476,28.841,55.0,-51.159
-0.22,0.838,0.535,27.195,62.439,-49.329
-0.213,0.877,0.608,28.049,67.988,-47.805
-0.195,0.897,0.673,30.183,65.488,-45.671
-0.149,0.901,0.727,30.61,53.598,-40.854
-0.124,0.914,0.78,27.622,37.5,-34.146
-0.163,0.972,0.822,23.902,24.146,-27.134
-0.218,1.066,0.82,19.451,16.341,-20.061
-0.278,1.154,0.788,14.024,12.744,-13.72
-0.324,1.215,0.767,10.549,11.159,-7.744
-0.343,1.226,0.755,10.0,9.817,-2.927
-0.347,1.158,0.749,10.061,6.524,0.366
-0.352,1.061,0.732,8.659,1.707,3.902
-0.367,1.0,0.704,7.927,-3.598,8.171
-0.408,0.98,0.672,6.951,-9.085,11.829
-0.448,0.983,0.635,3.476,-12.927,15.061
-0.46,1.016,0.589,0.61,-16.402,18.354
-0.461,1.055,0.547,-1.402,-19.634,21.098
-0.465,1.042,0.519,-3.598,-20.915,23.293
-0.443,0.994,0.503,-5.61,-21.707,24.207
-0.425,0.952,0.496,-6.524,-20.976,24.878
-0.398,0.906,0.486,-7.073,-20.549,25.0
-0.392,0.857,0.474,-7.195,-19.695,24.695
-0.378,0.824,0.475,-7.256,-17.622,23.659
-0.332,0.805,0.477,-7.439,-16.341,22.5
-0.284,0.786,0.469,-7.805,-16.89,21.098
-0.259,0.775,0.464,-8.476,-19.085,20.244
-0.25,0.768,0.461,-9.451,-22.012,20.305
-0.243,0.765,0.452,-10.427,-24.695,20.366
-0.25,0.758,0.43,-11.341,-26.22,19.695
-0.241,0.757,0.408,-11.951,-25.976,18.415
-0.218,0.763,0.393,-11.89,-23.78,16.829
-0.211,0.773,0.389,-10.549,-21.22,14.756
-0.194,0.763,0.398,-8.537,-19.207,12.195
-0.179,0.727,0.412,-5.488,-16.89,9.756
-0.18,0.692,0.433,-2.683,-15.305,7.439
-0.187,0.666,0.442,-2.134,-14.268,5.427
-0.2,0.665,0.427,-2.073,-13.171,4.268
-0.209,0.697,0.406,-0.732,-10.915,3.049
-0.216,0.711,0.384,0.976,-7.744,0.854
-0.201,0.703,0.382,2.5,-5.122,-1.463
-0.181,0.689,0.401,5.183,-4.207,-3.293
-0.187,0.676,0.438,7.866,-2.622,-4.634
-0.206,0.67,0.471,9.451,-0.427,-6.402
-0.216,0.687,0.478,10.183,1.159,-8.11
-0.222,0.724,0.463,9.695,2.378,-8.78
-0.214,0.769,0.441,7.622,2.805,-9.024
-0.209,0.805,0.413,5.915,-0.732,-9.329
-0.226,0.822,0.399,5.183,-3.841,-9.573
-0.239,0.808,0.432,5.793,-4.39,-10.915
-0.246,0.788,0.499,6.646,-3.293,-12.683
-0.23,0.776,0.543,7.927,1.28,-14.024
-0.205,0.774,0.55,9.573,4.573,-14.939
-0.195,0.773,0.536,9.39,4.756,-15.549
-0.176,0.773,0.488,7.561,2.012,-16.037
-0.179,0.792,0.447,5.427,-1.646,-16.951
-0.197,0.81,0.419,3.476,-4.573,-18.72
-0.201,0.803,0.418,0.793,-7.622,-21.341
-0.18,0.786,0.439,-3.11,-8.537,-24.695
-0.17,0.774,0.453,-3.841,-8.293,-29.146
-0.174,0.77,0.466,-3.902,-7.256,-34.939
-0.134,0.728,0.485,-1.585,-5.061,-41.28
-0.091,0.672,0.48,2.012,-6.159,-47.805
-0.078,0.63,0.455,0.488,-7.988,-53.78
-0.086,0.663,0.441,-2.988,-9.207,-56.646
-0.144,0.753,0.495,-1.89,-7.256,-58.963
-0.168,0.757,0.527,-0.61,-5.854,-63.78
-0.222,0.708,0.56,-2.256,-3.11,-66.89
-0.249,0.702,0.573,-4.268,0.183,-69.939
-0.22,0.732,0.55,-5.0,2.195,-72.256
-0.229,0.728,0.522,-3.232,3.11,-75.549
-0.225,0.684,0.488,-0.061,1.768,-79.085
-0.195,0.648,0.457,1.524,-2.073,-79.817
-0.194,0.669,0.432,-0.427,-8.78,-80.305
-0.247,0.756,0.448,-3.537,-16.768,-81.829
