acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.065,0.509,0.374,8.78,30.671,-42.012
-0.088,0.559,0.319,10.366,36.829,-43.415
-0.14,0.639,0.274,11.159,34.146,-45.305
-0.198,0.707,0.24,12.256,24.451,-47.195
-0.239,0.756,0.235,15.244,19.207,-46.402
-0.298,0.787,0.275,18.963,24.573,-45.732
-0.34,0.792,0.369,25.366,41.159,-47.988
-0.288,0.778,0.46,35.183,60.488,-51.707
-0.202,0.75,0.551,42.988,75.061,-54.695
-0.124,0.717,0.609,45.244,78.171,-55.671
-0.119,0.741,0.611,43.841,66.22,-54.39
-0.176,0.811,0.595,39.39,46.89,-52.256
-0.214,0.87,0.608,34.024,31.28,-50.183
-0.213,0.92,0.649,30.793,23.72,-46.768
-0.229,0.954,0.693,28.841,22.561,-42.5
-0.286,0.965,0.741,24.695,27.195,-36.463
-0.316,0.976,0.784,21.22,33.415,-29.329
-0.359,1.001,0.801,19.329,32.073,-22.866
-0.421,1.003,0.791,14.695,23.72,-18.171
-0.392,0.996,0.73,6.22,11.768,-14.146
-0.333,1.045,0.66,-1.22,-2.134,-9.695
-0.302,1.1,0.62,-4.695,-13.171,-5.366
-0.307,1.084,0.579,-5.305,-18.415,-2.012
-0.324,1.043,0.558,-4.573,-19.085,0.671
-0.35,1.022,0.55,-3.415,-15.61,3.354
-0.374,1.007,0.538,-0.793,-12.378,5.915
-0.407,1.0,0.542,0.183,-10.915,8.963
-0.428,0.995,0.53,-0.183,-10.427,12.256
-0.46,1.005,0.525,0.854,-9.695,15.061
-0.486,0.995,0.529,3.171,-10.915,16.463
-0.498,0.935,0.536,4.451,-11.707,17.317
-0.471,0.864,0.524,4.207,-11.22,16.89
-0.409,0.821,0.498,4.085,-11.098,16.524
-0.348,0.787,0.447,3.598,-12.683,16.707
-0.31,0.759,0.374,0.915,-16.159,16.22
-0.312,0.767,0.338,-3.537,-20.427,16.768
-0.296,0.816,0.344,-6.402,-22.683,17.622
-0.291,0.845,0.386,-6.098,-22.439,16.28
-0.314,0.819,0.436,-5.0,-19.695,14.451
-0.306,0.778,0.474,-3.841,-16.646,12.744
-0.29,0.763,0.519,-1.89,-10.671,10.61
-0.276,0.747,0.54,-0.671,-6.22,8.415
-0.262,0.718,0.502,-0.976,-7.927,6.585
-0.256,0.707,0.434,-1.768,-12.378,5.61
-0.258,0.715,0.386,-3.049,-15.915,4.878
-0.26,0.73,0.348,-5.305,-16.951,3.537
-0.258,0.756,0.327,-5.671,-16.829,2.439
-0.246,0.792,0.333,-3.598,-16.524,1.951
-0.268,0.778,0.363,-1.768,-15.976,1.037
-0.283,0.739,0.424,0.0,-13.049,-0.793
-0.27,0.718,0.492,4.329,-8.293,-3.293
-0.279,0.699,0.559,8.963,-1.707,-5.549
-0.267,0.661,0.574,11.22,4.329,-7.378
-0.238,0.66,0.528,11.89,8.902,-8.049
-0.228,0.699,0.463,12.317,8.963,-7.988
-0.241,0.733,0.401,11.463,4.207,-7.5
-0.284,0.762,0.347,7.378,-3.11,-6.646
-0.304,0.803,0.305,2.622,-9.878,-6.037
-0.308,0.856,0.295,1.159,-15.183,-6.402
-0.299,0.883,0.35,0.183,-15.122,-7.927
-0.255,0.863,0.407,0.793,-11.28,-9.268
-0.235,0.847,0.446,1.829,-5.427,-10.122
-0.261,0.825,0.467,2.866,4.878,-9.878
-0.246,0.796,0.469,3.476,12.561,-10.305
-0.263,0.795,0.475,3.476,13.415,-11.098
-0.261,0.799,0.485,2.683,11.768,-12.561
-0.267,0.785,0.479,1.707,9.573,-14.512
-0.29,0.781,0.505,1.402,7.927,-16.341
-0.222,0.79,0.509,-0.488,4.146,-19.085
-0.173,0.81,0.506,-2.744,-0.122,-21.098
-0.174,0.822,0.483,-3.476,-1.89,-22.683
-0.226,0.813,0.461,-4.329,2.744,-25.061
-0.231,0.787,0.458,-3.476,11.829,-27.927
-0.181,0.767,0.459,-1.951,16.22,-32.073
-0.175,0.742,0.461,-0.488,13.72,-35.549
-0.196,0.727,0.444,0.0,8.293,-37.5
-0.208,0.722,0.425,-0.183,4.329,-36.89
-0.23,0.735,0.436,-2.805,1.402,-42.378
-0.225,0.737,0.49,-3.78,-6.159,-48.476
-0.256,0.721,0.521,-3.354,-12.744,-51.524
-0.311,0.672,0.512,-3.963,-14.634,-55.305
-0.257,0.641,0.512,-1.951,-14.756,-58.598
-0.252,0.649,0.5,0.0,-14.695,-61.768
-0.25,0.674,0.465,-0.183,-13.354,-64.573
-0.238,0.719,0.426,0.061,-9.817,-66.159
