acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.303,0.629,0.644,-20.244,44.024,53.537
0.299,0.65,0.627,-19.146,62.073,49.39
0.284,0.67,0.576,-16.89,80.793,47.317
0.229,0.686,0.517,-14.939,97.561,47.256
0.167,0.679,0.44,-15.183,109.817,47.439
0.154,0.671,0.363,-17.988,112.927,46.707
0.122,0.649,0.365,-21.341,100.61,41.89
0.063,0.641,0.455,-23.537,77.134,35.854
0.111,0.635,0.535,-26.646,56.89,31.829
0.185,0.634,0.591,-28.11,45.0,30.0
0.162,0.634,0.642,-28.171,36.829,28.049
0.169,0.632,0.665,-27.073,32.866,25.61
0.242,0.636,0.706,-24.573,40.366,24.268
0.215,0.637,0.773,-22.317,51.28,22.927
0.172,0.624,0.788,-20.061,62.805,21.402
0.156,0.639,0.758,-15.976,76.28,18.841
0.225,0.635,0.722,-9.39,85.366,14.39
-0.063,0.705,0.678,-9.146,59.268,18.049
0.067,0.686,0.69,-4.634,42.256,12.134
0.15,0.699,0.688,-1.768,31.585,10.976
0.057,0.74,0.686,-1.524,18.659,9.268
0.068,0.692,0.69,-1.28,15.183,6.707
0.068,0.678,0.682,-2.561,16.768,5.61
0.068,0.681,0.647,-5.183,22.866,3.963
0.097,0.661,0.625,-7.317,35.732,-0.061
0.134,0.644,0.6,-8.171,52.012,-4.817
0.21,0.64,0.617,-5.305,66.646,-10.915
0.183,0.593,0.688,-2.256,69.695,-14.634
0.037,0.569,0.73,0.061,60.793,-17.5
-0.001,0.584,0.726,3.476,47.927,-20.488
-0.002,0.567,0.733,7.378,33.11,-23.049
-0.017,0.559,0.729,8.598,18.902,-25.0
-0.036,0.561,0.672,8.049,8.78,-29.268
-0.017,0.532,0.637,8.963,9.573,-34.085
0.043,0.501,0.657,9.878,18.354,-38.11
0.05,0.482,0.672,11.951,28.049,-42.256
0.012,0.528,0.645,15.061,33.049,-46.768
-0.031,0.563,0.623,19.085,31.28,-51.768
-0.067,0.574,0.601,22.683,27.256,-54.634
-0.123,0.574,0.566,24.817,28.476,-57.683
-0.142,0.574,0.541,26.951,30.732,-59.207
-0.13,0.632,0.538,28.902,29.695,-58.293
-0.103,0.66,0.563,29.573,27.073,-56.463
-0.126,0.684,0.547,29.695,26.829,-54.146
-0.105,0.71,0.551,30.61,32.927,-52.439
-0.079,0.752,0.574,31.524,41.463,-50.671
-0.115,0.783,0.591,32.073,48.537,-49.024
-0.148,0.82,0.594,33.171,52.927,-48.049
-0.176,0.837,0.597,34.939,51.524,-45.854
-0.266,0.825,0.616,36.159,45.244,-42.195
-0.381,0.807,0.607,36.89,36.037,-40.122
-0.455,0.813,0.575,35.915,24.146,-37.866
