acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.476,0.682,0.646,-15.976,22.195,74.878
0.514,0.714,0.611,-15.61,28.537,67.622
0.5,0.722,0.585,-15.0,35.671,61.341
0.445,0.728,0.561,-14.817,40.671,56.524
0.401,0.724,0.573,-14.024,42.622,53.171
0.354,0.693,0.613,-13.841,41.159,49.573
0.324,0.679,0.609,-15.122,35.61,46.159
0.317,0.683,0.577,-15.427,28.415,43.598
0.325,0.678,0.563,-14.146,22.927,41.341
0.34,0.667,0.559,-13.902,20.061,38.476
0.371,0.669,0.536,-13.11,20.305,36.402
0.371,0.675,0.519,-10.976,22.256,34.512
0.329,0.682,0.529,-9.451,24.268,32.073
0.317,0.671,0.543,-7.317,28.598,29.268
0.289,0.666,0.561,-6.463,30.0,28.78
0.258,0.663,0.566,-6.646,28.598,28.537
0.273,0.677,0.553,-6.768,28.476,27.5
0.25,0.708,0.531,-8.902,26.037,26.951
0.262,0.695,0.528,-10.915,23.415,25.366
0.293,0.652,0.557,-11.402,20.976,22.378
0.314,0.636,0.59,-10.915,18.841,18.841
0.351,0.633,0.615,-10.366,17.927,15.549
0.359,0.631,0.632,-8.72,17.5,11.89
0.344,0.654,0.646,-7.134,18.841,7.561
0.32,0.65,0.655,-6.159,21.951,3.171
0.303,0.632,0.655,-4.634,24.207,-0.061
0.279,0.622,0.657,-3.537,23.72,-3.11
0.258,0.606,0.656,-3.232,21.768,-6.646
0.254,0.598,0.635,-3.049,19.085,-10.732
0.248,0.592,0.614,-2.988,16.646,-14.695
0.245,0.603,0.601,-3.537,15.854,-18.293
0.238,0.619,0.569,-3.293,17.012,-21.524
0.225,0.629,0.565,-1.829,18.354,-24.146
0.222,0.632,0.591,0.244,19.451,-25.793
0.209,0.629,0.607,2.195,19.878,-27.134
0.186,0.618,0.609,3.72,18.72,-28.293
0.188,0.62,0.592,4.878,17.073,-29.451
0.211,0.624,0.578,5.183,16.646,-30.732
0.236,0.616,0.569,5.427,17.622,-32.622
0.254,0.624,0.56,5.366,20.366,-35.122
0.264,0.648,0.545,5.793,23.171,-37.683
0.258,0.659,0.537,6.646,25.0,-41.098
0.256,0.642,0.539,7.988,24.512,-44.878
0.239,0.616,0.562,9.756,23.354,-48.232
0.201,0.604,0.587,10.244,23.049,-50.427
0.151,0.616,0.595,9.939,23.415,-51.28
0.123,0.642,0.588,8.841,25.122,-52.134
0.106,0.666,0.579,8.171,28.537,-52.805
0.106,0.678,0.577,8.537,32.256,-52.927
0.117,0.681,0.582,9.634,34.512,-52.988
0.112,0.672,0.587,10.732,35.061,-53.476
