acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.652,0.738,1.101,-24.451,136.707,-2.744
0.666,0.821,0.999,-25.549,101.037,-3.659
0.377,0.917,0.819,-24.756,67.805,3.415
0.104,0.996,0.645,-22.744,44.512,6.037
0.037,1.057,0.483,-19.024,15.671,7.5
-0.04,1.018,0.543,-15.488,-18.476,17.5
-0.245,0.962,0.68,-14.512,-42.744,25.549
-0.37,0.884,0.678,-13.11,-47.378,28.78
-0.342,0.771,0.644,-10.854,-36.098,27.439
-0.239,0.728,0.624,-8.354,-23.354,17.683
-0.163,0.665,0.64,-3.476,-13.476,6.463
-0.076,0.581,0.631,-1.585,9.573,5.366
0.084,0.502,0.635,-0.366,33.11,6.098
0.25,0.411,0.705,2.805,41.341,8.11
0.304,0.353,0.763,4.39,42.988,12.439
0.262,0.305,0.737,5.122,40.732,18.232
0.14,0.291,0.664,4.451,35.793,19.329
-0.064,0.331,0.635,3.049,32.5,14.268
-0.16,0.366,0.632,1.463,32.439,4.817
-0.135,0.414,0.661,-0.488,28.11,-7.195
-0.085,0.453,0.736,-3.537,8.171,-15.0
-0.025,0.481,0.821,-6.524,-17.927,-15.0
0.06,0.506,0.845,-3.78,-33.841,-15.0
0.152,0.547,0.8,5.671,-42.927,-17.195
0.083,0.596,0.765,12.622,-40.305,-14.756
-0.134,0.634,0.763,15.244,-16.646,-4.939
-0.171,0.717,0.75,16.951,12.988,5.183
-0.062,0.883,0.774,17.195,40.427,7.012
-0.006,1.098,0.81,13.72,65.366,4.085
0.049,1.315,0.813,8.598,78.11,3.415
0.103,1.481,0.808,5.366,76.829,5.854
0.162,1.526,0.776,3.841,59.207,11.463
0.263,1.418,0.698,2.256,23.415,11.585
0.249,1.189,0.647,2.805,-10.671,4.573
0.129,0.975,0.603,1.341,-37.866,2.256
0.049,0.866,0.584,-3.72,-62.134,2.683
0.003,0.77,0.687,-8.11,-73.476,-2.439
0.012,0.707,0.635,-12.561,-73.78,-2.866
0.063,0.715,0.544,-16.28,-63.049,-3.537
0.095,0.697,0.542,-14.634,-48.841,-6.646
0.16,0.643,0.491,-9.268,-40.915,-8.354
0.112,0.562,0.48,-3.415,-30.793,-8.354
-0.042,0.439,0.538,3.293,-14.756,-5.732
-0.129,0.339,0.587,10.915,-0.671,-1.037
-0.144,0.283,0.642,15.671,8.537,3.293
-0.158,0.247,0.697,15.915,14.329,5.244
-0.147,0.244,0.695,14.39,16.951,0.793
-0.09,0.307,0.65,12.073,14.634,-11.707
-0.033,0.394,0.622,8.902,10.0,-23.963
-0.01,0.451,0.608,6.951,8.78,-27.317
0.043,0.509,0.59,5.305,14.024,-23.049
0.152,0.561,0.551,7.561,15.122,-20.122
0.229,0.594,0.55,15.549,8.354,-17.744
0.155,0.647,0.596,23.841,7.5,-10.549
-0.029,0.752,0.625,26.707,17.744,-0.427
-0.109,0.887,0.622,23.902,33.78,5.854
-0.075,1.049,0.635,17.988,42.561,5.0
0.012,1.265,0.677,10.427,37.866,1.829
0.087,1.478,0.694,7.317,22.988,3.78
0.135,1.57,0.66,6.402,1.402,8.354
0.133,1.493,0.626,5.732,-18.963,12.805
0.077,1.267,0.611,3.841,-29.817,9.939
0.056,1.076,0.579,2.439,-32.683,1.768
0.069,0.962,0.583,-0.244,-32.988,-0.671
0.09,0.886,0.598,-4.878,-27.256,4.024
0.078,0.806,0.676,-9.573,-14.512,7.622
0.072,0.734,0.635,-13.902,2.866,3.902
0.102,0.701,0.546,-15.366,20.61,-0.122
0.189,0.661,0.56,-14.329,32.683,0.671
0.197,0.599,0.59,-10.0,33.354,2.805
0.099,0.498,0.625,-4.146,24.451,2.988
-0.033,0.393,0.634,0.671,12.866,1.707
-0.144,0.319,0.643,5.0,2.561,0.854
-0.202,0.292,0.662,8.293,0.0,0.366
-0.212,0.32,0.662,10.549,7.134,-2.378
-0.169,0.366,0.64,13.232,20.0,-8.476
-0.105,0.419,0.636,14.756,35.427,-16.524
-0.036,0.474,0.638,14.817,48.171,-22.256
0.041,0.523,0.636,15.549,58.963,-22.622
0.09,0.574,0.604,18.415,73.72,-16.646
0.163,0.616,0.536,23.293,80.366,-11.707
0.217,0.647,0.553,31.646,70.366,-9.085
0.143,0.666,0.606,40.427,61.341,-4.451
-0.018,0.737,0.591,45.488,62.744,6.098
-0.108,0.848,0.574,42.683,66.646,16.707
-0.139,0.979,0.563,32.073,67.805,18.049
-0.098,1.142,0.542,18.537,58.78,14.756
-0.015,1.342,0.513,4.817,39.085,10.366
0.027,1.504,0.476,-3.537,11.402,9.207
0.039,1.529,0.451,-5.244,-19.268,10.976
-0.026,1.4,0.472,-6.22,-40.427,11.463
-0.125,1.173,0.471,-10.244,-54.39,10.061
-0.148,0.998,0.47,-12.378,-66.707,7.561
-0.125,0.917,0.522,-14.024,-65.427,8.476
-0.066,0.862,0.58,-17.927,-56.463,9.634
-0.067,0.784,0.635,-21.707,-43.72,7.561
-0.131,0.714,0.587,-24.024,-33.171,1.341
-0.057,0.688,0.516,-22.805,-33.476,-4.695
0.043,0.656,0.53,-19.207,-37.805,-7.012
0.01,0.592,0.577,-14.268,-36.463,-7.5
-0.073,0.509,0.607,-7.256,-26.707,-8.902
-0.115,0.431,0.638,1.22,-12.744,-10.671
-0.11,0.368,0.706,9.329,-1.28,-10.671
-0.063,0.331,0.77,15.732,6.28,-9.024
-0.03,0.325,0.776,18.78,16.463,-9.634
-0.042,0.364,0.708,20.244,27.805,-14.634
-0.049,0.457,0.645,23.354,33.841,-18.659
-0.04,0.561,0.614,25.671,32.317,-18.72
-0.021,0.634,0.583,25.671,27.988,-15.427
0.0,0.681,0.51,24.085,29.085,-11.037
0.053,0.755,0.425,22.134,22.622,-10.122
0.122,0.854,0.435,23.78,8.902,-6.585
0.05,0.931,0.481,27.561,4.268,2.134
-0.043,1.007,0.488,28.415,6.646,11.524
-0.045,1.057,0.481,21.829,9.268,18.049
-0.031,1.118,0.48,7.378,10.61,17.378
0.024,1.246,0.46,-4.695,2.927,11.707
0.095,1.4,0.412,-10.427,-15.671,9.085
0.147,1.48,0.393,-15.244,-43.963,10.671
0.119,1.375,0.444,-20.0,-69.756,11.89
0.002,1.152,0.468,-25.122,-83.841,9.817
-0.094,1.001,0.473,-27.988,-86.646,7.683
-0.141,0.94,0.477,-29.817,-89.146,7.805
-0.121,0.892,0.503,-30.305,-93.72,5.61
-0.069,0.794,0.585,-28.354,-87.439,1.707
-0.003,0.69,0.587,-23.293,-71.829,-2.073
-0.006,0.626,0.603,-15.122,-46.524,-6.585
-0.063,0.55,0.659,-7.561,-18.598,-6.585
-0.029,0.451,0.707,-1.768,-3.963,-2.805
0.063,0.359,0.816,3.293,-3.354,0.732
0.107,0.299,0.891,6.159,-9.695,1.037
0.036,0.308,0.815,7.073,-14.39,-1.524
-0.095,0.374,0.694,8.841,-13.841,-6.829
-0.133,0.462,0.616,10.549,-8.476,-12.805
-0.084,0.54,0.572,11.585,-4.451,-18.537
-0.016,0.589,0.56,13.963,-7.073,-22.378
0.012,0.624,0.556,15.61,-6.159,-21.098
0.03,0.652,0.519,16.646,4.451,-13.902
0.117,0.688,0.447,19.146,13.354,-8.963
0.215,0.748,0.404,22.5,10.0,-7.073
0.205,0.806,0.434,22.683,5.427,-4.39
0.093,0.871,0.428,21.28,5.976,0.427
0.029,0.964,0.403,18.476,8.963,4.329
0.023,1.063,0.418,12.561,10.122,7.5
0.054,1.141,0.426,5.0,8.963,14.756
0.096,1.203,0.418,-2.561,2.927,20.61
0.117,1.255,0.406,-8.171,-11.22,20.183
0.133,1.263,0.404,-11.768,-34.695,18.354
0.119,1.234,0.419,-13.963,-58.293,16.585
0.039,1.174,0.448,-14.146,-73.11,13.171
-0.041,1.099,0.468,-15.305,-76.402,12.683
-0.073,1.031,0.498,-18.293,-68.659,15.793
-0.084,0.962,0.556,-23.049,-56.524,18.598
-0.035,0.904,0.555,-27.317,-50.244,19.695
0.051,0.849,0.587,-29.39,-50.183,17.439
0.075,0.795,0.555,-28.598,-48.049,11.89
