acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.146,0.461,0.117,-29.634,125.61,-12.5
-0.199,0.371,0.105,-27.378,100.305,-28.476
-0.284,0.329,0.192,-22.683,86.585,-49.695
-0.187,0.309,0.36,-23.598,87.195,-65.854
-0.262,0.388,0.505,-5.793,130.854,-83.659
-0.11,0.387,0.927,28.293,184.817,-118.902
0.443,0.417,1.242,47.561,195.793,-132.744
0.226,0.447,1.207,51.037,184.085,-126.098
-0.273,0.498,1.091,44.268,166.037,-116.951
-0.351,0.551,0.952,37.317,146.159,-107.073
-0.384,0.643,0.808,31.646,128.537,-97.683
-0.382,0.729,0.718,27.073,113.232,-89.329
-0.347,0.801,0.737,22.988,93.598,-78.659
-0.285,0.892,0.821,18.354,72.622,-65.671
-0.266,0.963,0.909,16.524,52.866,-54.512
-0.212,1.063,0.956,15.549,33.049,-43.476
-0.215,1.15,0.946,15.305,12.927,-32.5
-0.251,1.212,0.92,14.695,-6.89,-21.829
-0.326,1.243,0.855,13.963,-22.5,-12.988
-0.413,1.232,0.782,13.537,-32.439,-4.451
-0.477,1.217,0.733,12.439,-40.976,6.22
-0.562,1.194,0.703,11.28,-51.341,16.768
-0.634,1.172,0.702,10.915,-62.256,26.524
-0.677,1.132,0.716,10.0,-70.122,36.524
-0.713,1.062,0.723,9.878,-74.634,44.878
-0.704,0.985,0.714,9.39,-77.378,50.549
-0.661,0.914,0.68,7.439,-76.463,53.598
-0.618,0.834,0.627,5.366,-69.451,52.256
-0.554,0.757,0.555,1.829,-59.878,48.049
-0.508,0.68,0.462,-3.963,-52.744,42.927
-0.491,0.619,0.373,-10.61,-48.902,37.744
-0.466,0.58,0.324,-17.317,-45.427,34.085
-0.478,0.548,0.308,-23.659,-40.854,31.341
-0.501,0.541,0.319,-28.232,-31.037,29.146
-0.527,0.542,0.331,-31.037,-14.329,26.341
-0.515,0.534,0.303,-32.134,4.817,22.012
-0.467,0.528,0.274,-33.049,19.207,17.195
-0.42,0.535,0.268,-36.037,26.524,13.415
-0.35,0.542,0.309,-40.427,29.39,10.671
-0.234,0.573,0.442,-40.61,28.659,6.951
-0.021,0.644,0.664,-35.854,17.805,1.28
0.168,0.708,0.867,-26.829,2.073,-5.305
0.262,0.778,1.019,-11.28,-5.61,-12.927
