acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.236,0.84,0.712,-8.354,-75.793,23.476
-0.215,0.809,0.693,-7.622,-81.951,24.085
-0.237,0.782,0.677,-7.012,-85.0,24.512
-0.292,0.752,0.652,-7.073,-85.488,25.244
-0.365,0.724,0.638,-6.829,-82.805,25.488
-0.409,0.694,0.607,-6.463,-77.195,25.305
-0.438,0.659,0.544,-6.585,-70.122,25.244
-0.458,0.622,0.46,-7.134,-62.622,25.0
-0.468,0.602,0.387,-8.11,-54.512,24.695
-0.474,0.584,0.349,-8.841,-44.817,24.634
-0.471,0.569,0.337,-9.329,-36.28,24.39
-0.457,0.562,0.341,-10.305,-29.939,23.415
-0.447,0.558,0.353,-11.159,-24.085,22.134
-0.437,0.557,0.373,-11.585,-16.707,19.451
-0.399,0.566,0.396,-11.89,-7.073,16.28
-0.336,0.573,0.436,-12.927,1.585,13.841
-0.269,0.591,0.484,-14.451,6.341,11.951
-0.166,0.629,0.573,-13.78,9.695,9.695
-0.026,0.686,0.691,-11.646,10.854,6.646
0.139,0.729,0.814,-8.232,4.817,1.951
0.25,0.772,0.91,-2.988,-4.573,-4.329
0.312,0.806,0.942,3.354,-12.805,-11.402
0.322,0.811,0.916,9.756,-16.22,-18.049
0.223,0.8,0.854,15.061,-16.524,-21.829
0.012,0.774,0.73,18.598,-17.317,-22.317
-0.219,0.726,0.571,18.415,-19.207,-19.329
-0.437,0.685,0.458,15.61,-22.317,-12.5
-0.596,0.667,0.378,10.915,-29.024,-2.683
-0.726,0.629,0.324,4.146,-36.159,7.744
-0.795,0.615,0.291,-2.439,-37.195,16.646
-0.729,0.606,0.291,-6.951,-29.634,22.805
-0.546,0.613,0.358,-9.878,-17.622,25.244
-0.36,0.622,0.442,-11.463,-7.439,23.537
-0.201,0.639,0.531,-12.134,0.854,17.622
-0.046,0.687,0.64,-13.415,7.744,13.415
0.147,0.713,0.76,-11.768,9.451,6.646
0.216,0.775,0.857,-11.585,4.207,0.671
0.26,0.807,0.921,-8.11,-1.28,-6.829
0.342,0.854,0.964,-2.805,-5.0,-13.049
0.358,0.858,0.968,1.707,-8.841,-17.317
0.276,0.837,0.937,4.756,-9.817,-19.817
0.081,0.817,0.879,7.195,-5.915,-20.183
-0.146,0.797,0.772,8.415,-3.78,-17.012
-0.358,0.76,0.598,5.61,-6.159,-9.329
-0.592,0.727,0.426,1.098,-12.256,1.098
-0.677,0.711,0.355,-1.951,-20.976,13.354
-0.683,0.687,0.354,-5.854,-27.683,24.939
-0.659,0.655,0.375,-10.122,-27.5,32.073
-0.506,0.655,0.429,-12.012,-24.207,34.939
-0.319,0.649,0.494,-12.622,-21.646,33.232
-0.17,0.636,0.564,-12.744,-18.537,27.622
-0.056,0.646,0.624,-11.951,-15.976,20.671
0.027,0.654,0.671,-12.195,-12.073,14.085
0.043,0.657,0.704,-14.146,-5.488,8.232
0.06,0.665,0.739,-16.098,2.5,4.085
0.107,0.7,0.796,-19.146,5.671,0.488
0.124,0.714,0.839,-19.268,7.5,-3.841
0.156,0.775,0.878,-16.402,10.305,-7.805
0.215,0.783,0.886,-11.829,10.0,-10.732
0.168,0.786,0.851,-7.866,4.573,-13.049
0.091,0.796,0.815,-3.659,-0.427,-14.39
-0.01,0.802,0.799,2.683,3.537,-15.732
-0.131,0.801,0.779,10.061,10.0,-15.549
-0.26,0.777,0.652,12.378,6.22,-12.073
-0.459,0.739,0.463,9.207,-7.256,-5.305
-0.622,0.705,0.355,4.329,-22.988,4.39
-0.677,0.673,0.344,-1.28,-40.488,17.866
-0.684,0.608,0.352,-6.707,-53.841,30.244
-0.636,0.564,0.375,-10.854,-57.744,36.646
-0.472,0.571,0.44,-13.841,-54.878,36.524
-0.289,0.579,0.533,-15.976,-45.183,29.39
-0.102,0.596,0.637,-16.89,-34.634,17.988
