acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.442,0.921,1.116,20.671,-18.537,-51.768
-0.017,1.014,0.784,2.378,-53.11,-45.427
-0.434,1.085,0.474,-15.0,-77.317,-30.061
-0.816,1.144,0.233,-28.049,-90.793,-8.11
-0.996,1.164,0.103,-38.049,-98.415,13.963
-1.045,1.132,0.06,-45.183,-103.415,36.768
-1.084,1.08,0.15,-46.951,-97.927,54.817
-0.885,1.024,0.333,-41.829,-63.598,62.988
-0.519,0.948,0.583,-32.622,-20.183,61.768
-0.043,0.843,0.84,-13.171,15.671,38.841
0.394,0.965,1.0,-2.683,43.171,21.037
0.5,0.892,0.989,0.671,50.549,0.793
0.465,0.857,0.894,1.402,40.793,-13.963
0.242,0.872,0.81,-4.817,18.476,-17.744
-0.265,0.821,0.669,-16.524,-8.659,-9.207
-0.732,0.748,0.464,-26.037,-28.963,4.878
-0.878,0.688,0.278,-34.024,-41.402,23.293
-0.966,0.611,0.156,-39.634,-43.354,39.146
-0.937,0.583,0.13,-41.28,-37.195,48.171
-0.687,0.61,0.195,-38.78,-26.341,51.341
-0.213,0.619,0.308,-28.354,-6.402,36.951
0.419,0.664,0.453,-18.049,9.146,12.256
0.728,0.738,0.568,-13.902,12.073,-10.976
0.637,0.822,0.743,-15.427,5.427,-26.159
0.13,0.873,0.97,-18.354,-12.439,-28.415
-0.479,0.841,0.963,-19.329,-27.073,-24.085
-0.691,0.795,0.644,-18.11,-27.927,-13.293
-0.768,0.695,0.36,-16.402,-22.866,1.768
-0.852,0.597,0.239,-14.512,-15.61,14.512
-0.768,0.585,0.263,-11.707,-9.329,21.22
-0.427,0.614,0.31,-6.098,2.317,20.244
0.063,0.667,0.405,-1.829,15.549,11.707
0.315,0.734,0.615,-1.037,26.707,-2.439
0.143,0.832,0.829,-0.915,23.049,-14.939
-0.123,0.89,0.936,-0.854,6.159,-18.232
-0.408,0.869,0.785,0.0,-3.171,-11.585
-0.651,0.8,0.549,3.232,-5.915,-1.098
-0.67,0.719,0.356,4.695,-4.39,10.0
-0.645,0.682,0.299,4.39,-3.171,18.232
-0.546,0.681,0.314,3.659,0.793,19.146
-0.117,0.685,0.322,4.512,9.695,14.146
0.286,0.715,0.425,1.951,16.463,5.427
0.26,0.755,0.613,-2.683,22.5,-7.439
0.022,0.863,0.878,-5.793,14.329,-13.902
-0.403,0.91,1.033,-7.073,-2.988,-12.866
-0.673,0.876,0.858,-2.988,-9.878,-4.268
-0.661,0.794,0.554,2.073,-13.049,4.939
-0.454,0.711,0.325,0.854,-17.622,10.671
-0.293,0.674,0.271,-0.793,-18.841,10.122
-0.006,0.691,0.296,0.061,-11.098,5.488
0.286,0.721,0.414,-2.012,2.683,-0.854
0.155,0.787,0.687,-5.366,12.134,-6.098
-0.291,0.857,0.964,-5.0,5.549,-9.451
-0.468,0.871,0.917,-4.939,-7.134,-8.11
-0.472,0.818,0.684,-5.549,-15.061,-1.707
-0.453,0.727,0.484,-5.549,-17.622,4.329
-0.339,0.669,0.373,-4.329,-17.012,6.768
-0.266,0.677,0.397,-3.11,-11.646,7.439
-0.243,0.698,0.515,-1.341,-4.878,6.768
-0.243,0.719,0.604,-0.366,-1.463,5.183
-0.253,0.725,0.62,0.427,-1.585,3.232
-0.244,0.723,0.609,0.976,-4.451,0.976
-0.212,0.711,0.583,1.646,-8.841,-1.646
