acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.11,1.058,2.055,83.72,40.915,-23.171
-0.356,1.057,1.485,75.732,29.512,-8.963
-0.624,1.029,0.904,51.89,3.598,12.683
-0.733,0.926,0.461,23.049,-25.366,28.72
-0.702,0.905,0.195,-9.146,-46.037,36.341
-0.442,0.932,0.087,-36.707,-49.695,38.841
-0.265,0.886,0.094,-51.28,-34.329,33.232
-0.14,0.85,0.247,-58.537,-11.037,24.695
0.028,0.783,0.501,-55.0,13.049,11.402
0.163,0.762,0.806,-38.11,25.366,-15.915
0.313,0.847,1.071,-21.402,22.5,-33.232
0.108,0.852,1.205,-8.659,11.463,-38.537
-0.315,0.776,1.103,1.768,0.915,-36.829
-0.489,0.726,0.889,4.817,-7.561,-26.585
-0.645,0.709,0.625,-2.073,-14.939,-13.11
-0.812,0.727,0.379,-16.524,-23.841,3.354
-0.889,0.733,0.209,-33.049,-34.695,20.793
-0.858,0.707,0.094,-45.305,-39.024,31.768
-0.709,0.683,0.078,-47.073,-38.171,30.244
-0.373,0.676,0.219,-43.72,-33.049,26.646
-0.118,0.692,0.416,-43.659,-22.378,27.744
0.003,0.605,0.624,-23.537,-8.902,0.732
0.086,0.777,0.82,-10.793,2.683,-16.037
0.114,0.786,0.93,0.549,9.939,-21.159
-0.055,0.773,0.865,10.122,9.085,-20.366
-0.257,0.729,0.61,11.707,1.22,-12.317
-0.45,0.7,0.385,5.915,-9.695,0.244
-0.565,0.7,0.278,-4.146,-17.256,11.707
-0.614,0.733,0.263,-15.061,-17.622,22.378
-0.599,0.744,0.334,-19.085,-11.341,28.354
-0.496,0.712,0.489,-8.598,-3.902,23.232
-0.168,0.738,0.68,5.61,-2.805,12.073
0.013,0.73,0.804,17.561,-5.427,-2.439
0.106,0.749,0.869,24.878,-9.512,-16.707
0.11,0.761,0.829,27.622,-11.646,-21.585
-0.151,0.748,0.685,27.622,-12.866,-18.171
-0.429,0.702,0.507,23.72,-12.439,-7.805
-0.682,0.676,0.33,15.061,-11.098,8.293
-0.807,0.676,0.225,1.402,-9.878,23.171
-0.691,0.682,0.206,-11.159,-4.573,31.159
-0.44,0.703,0.273,-18.72,1.098,30.0
-0.113,0.676,0.377,-17.805,4.573,15.366
0.148,0.681,0.535,-15.305,7.439,-6.402
0.246,0.703,0.74,-13.232,11.159,-25.305
0.1,0.745,0.93,-5.061,14.634,-32.927
-0.245,0.78,1.03,7.805,13.476,-26.585
-0.591,0.778,0.931,19.024,3.78,-10.976
-0.832,0.775,0.729,23.415,-10.488,10.183
-0.935,0.791,0.557,18.171,-20.305,29.024
-0.828,0.813,0.424,6.707,-26.159,40.061
-0.6,0.812,0.314,-4.207,-28.11,43.841
-0.323,0.767,0.242,-12.622,-19.939,40.488
-0.044,0.711,0.259,-17.256,-11.341,24.512
0.189,0.708,0.355,-22.866,-9.268,3.476
0.332,0.751,0.525,-27.683,-7.561,-13.78
0.224,0.795,0.728,-23.232,-6.341,-22.378
-0.063,0.795,0.872,-11.037,-9.268,-22.012
-0.278,0.774,0.91,3.11,-14.573,-13.354
-0.459,0.761,0.884,15.122,-21.037,-1.098
-0.547,0.765,0.802,20.854,-27.073,10.305
-0.541,0.775,0.676,19.939,-30.427,17.5
-0.466,0.773,0.545,14.939,-29.085,19.451
-0.352,0.749,0.423,8.476,-24.024,16.89
-0.238,0.723,0.358,0.366,-16.341,13.293
-0.174,0.7,0.347,-8.049,-9.939,7.927
-0.142,0.686,0.37,-13.902,-7.134,2.744
-0.136,0.704,0.427,-17.134,-3.78,-1.28
-0.171,0.71,0.486,-17.317,-0.122,-4.146
-0.206,0.712,0.554,-14.085,6.463,-4.817
-0.228,0.713,0.635,-8.354,8.78,-4.268
-0.227,0.707,0.68,-3.049,1.951,-1.768
-0.283,0.714,0.694,-0.061,-9.146,1.22
-0.354,0.73,0.697,1.28,-19.39,3.963
-0.317,0.738,0.678,2.5,-25.61,5.061
-0.255,0.729,0.636,3.415,-26.22,4.085
-0.208,0.726,0.599,3.293,-21.768,1.646
-0.177,0.726,0.584,1.768,-17.317,-2.622
-0.158,0.729,0.592,-0.366,-16.098,-5.671
-0.235,0.74,0.608,-1.768,-18.354,-5.488
-0.313,0.743,0.618,-0.61,-20.183,-4.39
-0.288,0.739,0.625,2.622,-19.817,-3.415
-0.237,0.73,0.622,5.732,-18.354,-2.561
-0.209,0.729,0.612,9.451,-15.305,-2.439
