acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.34,0.77,1.631,13.841,117.683,-49.695
0.114,0.784,1.823,41.646,63.963,-51.951
0.182,0.824,1.946,64.329,40.427,-44.268
0.113,0.877,1.887,75.61,44.512,-41.524
-0.061,0.943,1.575,79.207,53.171,-35.549
-0.373,0.978,1.149,71.28,47.195,-18.902
-0.795,0.934,0.577,48.049,32.073,1.159
-0.987,0.875,0.172,14.939,23.476,26.22
-0.852,0.883,0.001,-23.171,18.659,48.841
-0.407,0.905,0.016,-55.0,0.671,58.598
-0.258,0.827,0.083,-65.793,0.488,54.329
0.002,0.808,0.316,-54.024,20.122,36.037
0.288,0.724,0.671,-38.171,31.037,12.134
0.5,0.679,1.043,-22.805,29.268,-6.951
0.424,0.747,1.36,-3.902,18.11,-16.89
0.165,0.794,1.482,13.659,-2.073,-22.805
-0.148,0.762,1.402,23.476,-20.061,-20.183
-0.418,0.74,1.088,24.512,-26.89,-7.012
-0.63,0.75,0.727,15.671,-25.427,11.646
-0.75,0.747,0.443,-1.463,-19.146,26.463
-0.691,0.74,0.26,-18.354,-8.72,37.561
-0.587,0.729,0.209,-30.183,1.768,40.0
-0.435,0.678,0.223,-36.463,16.646,37.134
-0.207,0.673,0.302,-41.829,24.146,34.268
-0.038,0.573,0.436,-35.366,22.317,16.707
0.178,0.665,0.616,-30.183,17.561,-0.366
0.305,0.663,0.771,-21.768,9.329,-13.232
0.199,0.696,0.853,-11.585,1.28,-19.512
-0.017,0.714,0.829,-2.988,-2.256,-18.841
-0.238,0.7,0.704,1.098,-3.171,-11.89
-0.437,0.707,0.561,-1.159,-2.622,0.488
-0.604,0.719,0.475,-5.976,-0.671,12.134
-0.596,0.732,0.426,-10.61,1.768,20.488
-0.48,0.717,0.402,-13.354,1.768,24.817
-0.328,0.672,0.437,-13.415,1.585,21.28
-0.063,0.66,0.544,-10.549,1.585,9.634
0.166,0.668,0.688,-4.817,0.61,-7.866
0.293,0.695,0.817,2.256,0.183,-24.634
0.25,0.737,0.929,12.195,0.671,-34.39
0.012,0.748,0.955,22.378,3.598,-33.354
-0.293,0.729,0.819,27.073,9.39,-22.988
-0.534,0.717,0.624,25.732,12.012,-9.146
-0.653,0.728,0.468,18.902,11.768,5.122
-0.67,0.736,0.358,9.146,10.854,18.537
-0.624,0.736,0.319,0.061,8.78,27.134
-0.483,0.72,0.326,-7.439,4.207,31.22
-0.313,0.695,0.396,-10.671,-0.793,28.11
-0.072,0.686,0.571,-8.963,-4.939,17.012
0.161,0.699,0.744,-5.671,-11.89,1.524
0.274,0.73,0.886,-1.768,-19.573,-11.951
0.186,0.768,0.998,5.366,-21.28,-18.963
-0.068,0.789,1.02,12.866,-17.5,-15.427
-0.352,0.768,0.866,17.073,-15.061,-1.402
-0.579,0.759,0.685,15.305,-19.512,14.817
-0.692,0.766,0.531,6.951,-23.598,30.549
-0.691,0.775,0.418,-4.451,-25.244,41.89
-0.524,0.759,0.351,-12.683,-21.159,42.744
-0.242,0.716,0.325,-19.939,-9.756,33.537
0.14,0.687,0.389,-26.524,-2.317,14.939
0.404,0.666,0.567,-29.268,0.366,-6.951
0.456,0.729,0.77,-28.963,-2.561,-22.927
0.282,0.749,0.953,-21.402,-13.049,-27.378
-0.139,0.749,1.044,-7.866,-18.11,-19.512
-0.563,0.749,1.017,5.183,-20.671,-1.159
-0.842,0.728,0.891,14.634,-25.671,20.0
-0.917,0.74,0.702,16.829,-29.207,37.5
-0.774,0.744,0.505,12.012,-28.841,46.646
-0.459,0.717,0.318,3.049,-19.207,40.854
0.013,0.687,0.192,-9.085,-6.098,23.049
0.533,0.619,0.173,-23.72,-0.122,-4.695
0.795,0.649,0.281,-38.049,4.146,-29.085
0.639,0.701,0.567,-38.78,-0.366,-42.439
0.204,0.708,0.864,-25.854,-10.793,-40.0
-0.34,0.723,1.037,-4.329,-13.354,-24.878
-0.724,0.739,1.053,15.488,-11.341,-3.72
-0.838,0.749,0.938,26.951,-10.0,16.524
-0.788,0.779,0.765,28.232,-7.805,31.707
-0.622,0.79,0.563,20.915,-2.805,36.646
-0.281,0.755,0.352,8.171,7.195,27.683
0.211,0.708,0.232,-5.122,13.841,6.768
0.636,0.674,0.264,-20.305,9.207,-18.537
0.744,0.657,0.42,-28.049,1.951,-36.463
0.337,0.712,0.701,-25.305,-2.805,-41.28
-0.184,0.724,0.972,-9.329,-3.11,-30.61
-0.639,0.739,1.075,11.585,-1.524,-8.537
-0.829,0.732,0.969,27.683,-3.232,15.549
-0.809,0.736,0.79,31.829,-8.902,35.915
-0.754,0.746,0.596,23.78,-13.476,47.683
-0.568,0.768,0.414,11.159,-11.524,50.427
-0.246,0.739,0.275,-1.707,2.012,40.183
0.139,0.677,0.232,-13.171,17.622,15.732
0.521,0.651,0.351,-22.073,18.659,-7.744
0.56,0.671,0.61,-25.0,7.927,-21.585
0.354,0.694,0.831,-18.232,-5.427,-27.622
0.009,0.711,0.978,-4.146,-13.963,-22.012
-0.395,0.713,1.052,11.829,-16.28,-7.927
-0.555,0.721,0.971,23.72,-17.073,9.329
-0.535,0.745,0.783,25.183,-17.744,25.061
-0.457,0.753,0.587,17.744,-19.268,33.72
