acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.048,0.596,0.194,-32.927,58.963,-42.622
-0.071,0.59,0.088,-22.195,72.927,-60.488
-0.154,0.511,0.203,1.707,116.89,-77.744
0.017,0.378,0.391,22.195,161.463,-100.305
0.121,0.394,0.539,30.732,190.183,-113.72
-0.136,0.438,0.645,28.902,200.427,-114.756
-0.376,0.55,0.625,18.841,196.524,-111.037
-0.52,0.662,0.559,3.415,186.707,-100.915
-0.631,0.707,0.548,-9.146,174.634,-86.89
-0.618,0.754,0.596,-21.098,155.671,-73.963
-0.49,0.83,0.728,-39.146,125.976,-49.817
-0.505,0.859,0.834,-40.976,101.037,-39.451
-0.566,1.018,1.073,-39.634,79.451,-25.915
-0.256,1.074,1.338,-27.134,63.293,-15.183
-0.176,1.099,1.548,-8.476,54.756,-10.244
0.008,1.197,1.745,6.524,49.024,-2.561
0.185,1.096,1.881,30.061,36.524,-5.305
0.188,1.172,1.857,45.0,17.988,-3.659
0.151,1.091,1.71,55.549,-4.268,-2.683
0.125,1.059,1.544,61.28,-26.28,-0.427
0.035,1.01,1.354,64.512,-41.037,1.402
-0.119,0.969,1.119,62.561,-47.012,4.756
-0.287,0.91,0.876,54.817,-44.146,11.341
-0.493,0.864,0.658,40.488,-36.28,19.39
-0.632,0.811,0.422,21.037,-22.256,29.817
-0.798,0.75,0.198,-4.024,-8.171,39.756
-0.9,0.707,0.034,-24.146,2.805,48.598
-0.923,0.631,-0.136,-44.451,17.866,56.037
-0.873,0.535,-0.145,-60.061,35.366,59.634
-0.712,0.542,-0.014,-70.427,50.732,57.744
-0.506,0.561,0.174,-76.28,62.073,53.963
-0.326,0.566,0.344,-77.195,65.488,45.732
-0.179,0.59,0.545,-73.598,57.5,34.695
-0.034,0.651,0.747,-64.451,42.439,21.89
0.07,0.722,0.907,-51.89,23.354,13.598
0.084,0.755,1.027,-35.732,2.805,6.22
0.119,0.78,1.078,-18.902,-13.476,-0.305
0.129,0.789,1.033,-3.171,-25.122,-7.134
0.122,0.776,0.943,10.976,-29.878,-13.78
0.04,0.751,0.845,22.561,-24.207,-16.524
-0.143,0.703,0.684,30.793,-15.427,-18.537
-0.263,0.657,0.487,30.305,-7.073,-15.305
-0.462,0.615,0.279,20.061,-1.28,-5.793
-0.664,0.584,0.117,7.012,3.049,2.744
-0.726,0.574,0.029,-4.817,11.22,10.732
-0.701,0.56,0.045,-12.439,21.585,14.329
-0.58,0.559,0.125,-14.878,33.049,12.622
-0.415,0.589,0.254,-14.146,42.073,6.402
-0.252,0.642,0.404,-11.707,45.61,-1.463
-0.158,0.699,0.547,-8.963,40.915,-7.134
-0.124,0.744,0.669,-5.549,26.89,-10.305
-0.094,0.797,0.786,-1.585,9.268,-11.22
-0.068,0.84,0.874,3.11,-6.951,-11.829
-0.046,0.868,0.928,9.451,-20.305,-12.927
-0.065,0.886,0.963,16.22,-31.89,-14.329
-0.096,0.883,0.958,21.037,-41.829,-14.024
-0.142,0.865,0.933,26.829,-49.024,-13.476
-0.199,0.847,0.901,34.695,-49.329,-13.902
-0.25,0.83,0.841,39.756,-39.512,-11.707
-0.388,0.791,0.708,37.927,-27.195,-5.305
-0.556,0.742,0.534,31.402,-16.28,1.646
-0.638,0.734,0.387,20.671,-8.232,9.207
-0.673,0.711,0.276,8.476,-1.28,17.256
-0.702,0.683,0.207,-3.598,6.098,22.317
-0.64,0.658,0.188,-12.866,15.549,22.744
-0.517,0.664,0.235,-20.0,24.451,20.0
-0.401,0.682,0.328,-24.146,30.854,15.549
-0.288,0.704,0.445,-25.427,30.976,10.732
-0.198,0.73,0.58,-24.634,24.695,5.854
-0.14,0.756,0.695,-22.134,14.39,1.89
-0.094,0.787,0.793,-18.049,2.622,-0.427
-0.1,0.8,0.872,-12.805,-9.146,-2.317
