acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.558,1.253,0.732,3.476,147.622,-119.878
-0.583,1.195,0.656,2.317,139.39,-110.061
-0.609,1.136,0.617,2.439,124.573,-98.232
-0.635,1.09,0.596,3.598,108.171,-85.183
-0.653,1.043,0.592,5.061,88.963,-70.122
-0.66,1.012,0.569,8.415,63.598,-53.963
-0.67,0.959,0.538,8.78,35.305,-39.024
-0.651,0.896,0.479,8.841,7.744,-23.232
-0.616,0.832,0.419,9.451,-18.11,-8.598
-0.56,0.761,0.361,8.476,-40.122,4.146
-0.505,0.701,0.299,6.463,-57.256,15.793
-0.479,0.661,0.263,4.329,-69.085,27.012
-0.435,0.642,0.257,3.11,-75.183,37.317
-0.389,0.625,0.259,2.317,-75.915,46.28
-0.361,0.635,0.263,1.098,-71.646,52.805
-0.358,0.649,0.28,-0.122,-63.293,56.159
-0.383,0.644,0.304,-1.585,-55.366,56.524
-0.384,0.64,0.315,-2.622,-50.244,55.061
-0.36,0.644,0.32,-2.622,-47.622,52.317
-0.347,0.634,0.328,-2.378,-48.598,49.695
-0.323,0.632,0.324,-3.415,-50.183,47.439
-0.311,0.643,0.333,-4.634,-47.927,43.598
-0.301,0.654,0.341,-4.756,-42.866,39.695
-0.265,0.674,0.359,-4.817,-37.134,36.585
-0.271,0.683,0.389,-4.756,-29.878,33.11
-0.277,0.686,0.414,-4.695,-22.378,29.878
-0.279,0.706,0.426,-3.963,-15.488,26.341
-0.287,0.721,0.442,-3.11,-8.049,22.561
-0.3,0.739,0.437,-1.951,-0.915,19.329
-0.31,0.747,0.436,-1.037,5.366,16.768
-0.304,0.752,0.44,-0.244,8.963,14.756
-0.283,0.75,0.447,0.183,10.549,12.866
-0.294,0.752,0.455,0.793,12.5,10.0
-0.303,0.754,0.458,1.037,14.329,7.683
-0.329,0.765,0.46,1.159,15.976,5.976
-0.334,0.767,0.457,1.159,17.561,3.902
-0.355,0.777,0.459,1.159,19.817,2.378
-0.385,0.786,0.464,1.646,23.171,0.122
-0.385,0.786,0.459,1.768,25.61,-2.195
-0.391,0.789,0.457,2.622,26.463,-4.634
-0.391,0.8,0.449,3.537,25.427,-6.463
-0.404,0.813,0.438,4.024,22.134,-8.11
-0.404,0.831,0.429,3.902,15.915,-10.0
-0.372,0.836,0.426,3.72,8.963,-12.683
-0.345,0.835,0.423,3.841,3.354,-14.695
-0.342,0.831,0.427,2.927,-0.305,-15.976
-0.333,0.832,0.444,1.22,-2.195,-17.134
-0.321,0.822,0.467,-0.244,-2.073,-17.561
-0.316,0.813,0.485,-2.256,-0.366,-17.012
-0.314,0.812,0.484,-3.72,1.768,-15.854
-0.314,0.798,0.488,-5.732,1.159,-14.39
-0.315,0.788,0.498,-6.829,-1.28,-13.171
-0.322,0.773,0.509,-6.829,-2.805,-12.012
-0.32,0.751,0.516,-7.073,-4.756,-10.427
-0.298,0.717,0.506,-7.683,-8.72,-9.329
-0.276,0.683,0.49,-8.293,-12.866,-9.085
-0.263,0.676,0.476,-8.415,-14.939,-9.39
-0.269,0.701,0.494,-8.841,-17.256,-9.39
-0.279,0.729,0.524,-9.39,-21.22,-9.39
-0.309,0.747,0.553,-10.244,-25.793,-9.146
-0.33,0.757,0.541,-11.098,-32.073,-8.537
-0.361,0.781,0.512,-12.805,-40.976,-8.841
-0.38,0.79,0.511,-14.329,-50.366,-9.451
-0.383,0.777,0.523,-15.61,-59.207,-9.878
-0.376,0.76,0.528,-17.378,-66.707,-11.524
-0.367,0.758,0.535,-18.415,-72.561,-13.11
-0.354,0.745,0.54,-19.268,-75.854,-14.451
-0.341,0.743,0.538,-19.451,-73.78,-15.793
-0.361,0.753,0.538,-18.902,-64.756,-16.585
-0.369,0.74,0.535,-18.78,-53.415,-16.402
-0.361,0.738,0.541,-18.476,-43.963,-15.732
-0.344,0.739,0.547,-17.927,-36.28,-14.756
-0.351,0.727,0.558,-15.61,-30.427,-13.171
-0.323,0.727,0.566,-14.207,-28.049,-12.195
-0.308,0.714,0.562,-14.634,-26.402,-11.463
