acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.078,0.527,0.648,-22.988,9.878,10.793
-0.077,0.555,0.644,-27.073,-14.146,3.963
0.011,0.561,0.651,-22.866,-22.744,-2.317
-0.022,0.571,0.631,-14.512,-16.037,-10.183
-0.11,0.588,0.607,-14.634,-3.354,-20.0
-0.154,0.598,0.59,-14.085,24.634,-29.878
-0.189,0.647,0.548,-7.012,70.732,-45.61
-0.23,0.719,0.557,2.378,120.671,-62.5
-0.234,0.748,0.597,11.585,152.622,-79.573
-0.226,0.779,0.624,19.451,155.732,-95.0
-0.237,0.791,0.651,25.732,152.012,-103.78
-0.232,0.778,0.663,30.488,151.585,-111.463
-0.212,0.762,0.638,31.829,145.549,-117.927
-0.205,0.76,0.618,31.037,132.134,-120.0
-0.229,0.771,0.617,29.329,120.0,-121.28
-0.244,0.797,0.646,28.11,113.537,-122.927
-0.234,0.854,0.716,29.329,113.476,-125.0
-0.283,0.906,0.813,29.573,117.561,-128.232
-0.285,0.995,0.92,28.841,122.622,-133.354
-0.192,1.078,0.974,27.439,128.049,-137.622
-0.243,1.131,0.938,23.476,131.707,-140.061
-0.311,1.27,1.002,17.561,131.707,-141.159
-0.306,1.43,1.082,10.61,128.293,-141.707
-0.458,1.394,1.131,3.293,125.671,-141.524
-0.541,1.385,1.154,-1.646,120.0,-142.683
-0.545,1.367,1.145,-6.28,108.049,-139.817
-0.559,1.326,1.129,-13.537,89.756,-132.012
-0.527,1.261,1.108,-21.341,66.707,-121.707
-0.547,1.207,1.083,-30.244,42.683,-103.72
-0.528,1.135,1.038,-39.939,13.963,-86.646
-0.496,1.057,0.993,-45.122,-13.902,-74.024
-0.468,0.982,0.958,-46.585,-40.854,-63.293
-0.405,0.908,0.909,-54.024,-65.122,-36.646
