acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.123,0.474,1.392,-29.695,95.854,-66.28
0.289,0.535,1.459,-24.695,85.427,-84.024
0.293,0.584,1.492,-17.439,77.561,-93.902
0.252,0.686,1.446,-13.963,64.756,-96.037
0.122,0.785,1.327,-14.695,47.683,-91.28
0.019,0.856,1.177,-17.134,36.768,-86.463
-0.035,0.896,1.037,-15.976,32.683,-81.707
-0.096,0.898,0.939,-12.683,28.963,-73.11
-0.126,0.91,0.889,-10.061,23.049,-60.061
-0.131,0.935,0.888,-8.659,15.122,-44.512
-0.127,0.923,0.909,-8.232,7.927,-28.049
-0.14,0.909,0.926,-8.415,0.793,-13.11
-0.147,0.898,0.94,-7.866,-5.0,-0.793
-0.127,0.885,0.957,-6.829,-7.866,10.488
-0.105,0.858,0.978,-6.037,-10.915,19.695
-0.103,0.853,1.006,-5.183,-16.89,25.976
-0.128,0.825,1.025,-4.39,-26.463,31.707
-0.111,0.801,1.047,-1.585,-35.854,33.902
-0.078,0.772,1.054,1.829,-44.634,35.549
-0.051,0.75,1.038,3.537,-52.744,36.402
-0.02,0.73,1.01,4.695,-59.451,37.195
-0.005,0.699,0.971,5.366,-65.122,38.293
0.004,0.671,0.93,5.854,-70.0,39.085
-0.01,0.637,0.894,6.89,-73.598,40.488
-0.018,0.613,0.849,7.256,-75.61,42.622
-0.031,0.592,0.798,6.768,-76.768,44.756
-0.055,0.574,0.75,6.768,-77.378,46.098
-0.055,0.56,0.705,7.378,-76.28,47.134
-0.035,0.552,0.668,7.988,-71.707,46.89
-0.023,0.541,0.641,7.988,-66.28,46.159
-0.027,0.527,0.625,7.561,-61.646,45.671
-0.014,0.518,0.614,7.622,-57.439,44.695
-0.004,0.506,0.604,7.561,-52.988,43.598
0.003,0.492,0.608,7.5,-49.39,42.927
0.027,0.493,0.615,7.317,-46.463,41.89
0.063,0.494,0.625,7.988,-43.171,39.878
0.091,0.481,0.641,8.72,-38.293,37.439
0.121,0.476,0.655,8.902,-31.646,34.451
0.151,0.481,0.662,8.415,-24.085,31.28
0.175,0.485,0.662,7.317,-16.829,27.988
0.195,0.478,0.661,7.317,-10.61,24.939
0.21,0.473,0.666,6.951,-6.402,21.768
0.228,0.477,0.665,6.829,-5.427,18.72
0.235,0.467,0.671,6.829,-6.646,15.915
0.254,0.472,0.68,6.768,-7.988,12.988
