acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.146,0.799,0.872,5.122,152.683,-99.695
-0.007,0.848,0.836,6.098,135.061,-106.585
-0.148,0.885,0.877,5.122,105.061,-113.902
-0.154,0.922,0.954,1.098,74.634,-112.5
-0.156,0.93,1.046,-1.22,49.268,-107.012
-0.139,0.924,1.094,-1.524,31.037,-96.89
-0.12,0.98,1.112,-1.463,20.183,-84.024
-0.162,1.02,1.125,-1.28,13.232,-68.293
-0.23,1.034,1.117,-1.159,7.256,-49.146
-0.27,1.038,1.075,-1.159,2.561,-30.122
-0.284,1.055,1.023,-1.829,-1.768,-12.439
-0.325,1.049,0.984,-3.659,-6.89,4.756
-0.319,1.026,0.959,-7.195,-13.78,21.22
-0.303,0.991,0.94,-11.951,-22.988,35.244
-0.291,0.937,0.917,-15.488,-33.841,45.671
-0.25,0.886,0.896,-17.622,-46.829,52.622
-0.225,0.828,0.862,-18.232,-60.976,58.659
-0.13,0.772,0.851,-14.939,-68.72,56.707
-0.066,0.747,0.826,-12.5,-73.963,51.098
-0.078,0.71,0.789,-12.073,-80.122,49.939
-0.06,0.627,0.757,-10.488,-84.939,50.793
-0.052,0.576,0.729,-7.866,-87.378,50.427
-0.063,0.563,0.7,-6.22,-88.049,50.976
-0.077,0.547,0.683,-5.244,-85.549,51.585
-0.075,0.53,0.683,-3.78,-79.878,51.524
-0.094,0.515,0.68,-3.293,-70.915,51.341
-0.087,0.515,0.681,-3.415,-61.524,51.159
-0.086,0.501,0.666,-2.866,-53.963,50.183
-0.089,0.488,0.655,-2.439,-48.841,48.537
-0.081,0.469,0.651,-0.732,-44.939,46.646
-0.045,0.458,0.65,1.037,-42.5,44.207
-0.002,0.453,0.667,4.024,-40.915,41.28
