acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.103,0.276,0.802,-35.305,66.524,-68.659
0.097,0.345,0.784,-46.402,66.89,-71.768
0.104,0.412,0.761,-54.573,66.159,-74.207
0.111,0.486,0.822,-61.768,69.39,-75.549
0.114,0.563,0.932,-65.305,70.671,-82.683
0.194,0.66,1.065,-59.268,67.805,-94.756
0.334,0.731,1.196,-45.366,66.89,-108.659
0.373,0.847,1.306,-27.927,65.427,-121.037
0.32,0.894,1.327,-17.866,59.085,-125.61
0.264,0.917,1.294,-10.915,52.866,-122.378
0.277,0.934,1.225,-12.195,55.0,-107.927
0.168,0.97,1.095,-17.561,57.683,-90.61
0.009,1.019,0.992,-20.854,53.415,-74.146
-0.111,1.032,0.935,-23.537,42.195,-56.159
-0.172,1.028,0.915,-26.524,27.012,-35.732
-0.202,1.024,0.922,-26.341,10.915,-15.366
-0.211,1.04,0.954,-17.5,-4.817,-1.768
-0.209,1.022,0.971,-12.378,-19.268,14.573
-0.197,0.985,0.987,-10.244,-30.793,29.512
-0.167,0.948,1.0,-7.5,-38.171,41.524
-0.118,0.896,0.997,-2.5,-41.28,48.78
-0.06,0.85,0.975,4.634,-40.915,51.402
-0.014,0.8,0.94,9.939,-40.061,52.622
-0.002,0.744,0.909,14.573,-41.28,53.232
0.013,0.691,0.878,18.232,-43.72,53.11
0.024,0.646,0.846,20.427,-47.561,53.11
0.011,0.598,0.821,21.707,-52.256,53.537
0.008,0.558,0.795,22.5,-56.524,53.11
0.011,0.524,0.79,24.634,-56.829,52.622
-0.011,0.494,0.798,26.28,-53.354,51.829
-0.02,0.477,0.788,26.341,-49.39,49.756
-0.025,0.468,0.767,24.329,-46.037,47.317
-0.019,0.47,0.748,21.159,-42.805,44.573
-0.021,0.473,0.727,17.622,-39.695,41.402
-0.017,0.476,0.685,14.146,-36.951,38.354
-0.001,0.476,0.651,10.244,-34.695,35.549
0.013,0.479,0.622,6.707,-32.866,33.049
0.038,0.481,0.6,3.171,-31.585,30.915
0.055,0.485,0.589,-0.305,-31.22,28.537
0.073,0.485,0.592,-2.805,-30.732,26.341
0.102,0.492,0.602,-4.085,-28.598,23.598
0.125,0.499,0.614,-5.305,-25.244,20.61
0.135,0.51,0.626,-6.28,-21.951,17.805
0.157,0.511,0.646,-6.22,-19.695,15.488
