acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.146,0.457,0.394,-59.146,253.232,-45.671
0.069,0.214,0.585,-28.78,338.537,-46.89
-0.07,0.056,0.658,7.073,373.171,-55.0
-0.758,0.264,0.834,27.927,335.732,-59.207
-1.28,0.542,1.05,35.671,262.439,-56.037
-1.333,0.576,1.239,46.341,198.78,-55.976
-1.363,0.512,1.319,47.622,161.28,-71.585
-1.533,0.475,1.125,45.061,128.171,-65.305
-1.497,0.598,0.838,48.963,98.902,-49.451
-1.321,0.741,0.582,56.037,73.049,-42.317
-1.265,0.769,0.375,60.061,39.878,-37.134
-1.262,0.816,0.268,57.195,2.561,-33.476
-1.245,0.888,0.269,49.451,-32.561,-29.573
-1.178,0.895,0.322,41.037,-60.122,-26.037
-1.065,0.898,0.38,32.5,-78.78,-20.0
-0.939,0.903,0.418,23.72,-87.866,-13.232
-0.838,0.906,0.426,13.11,-87.073,-8.232
-0.784,0.862,0.387,3.476,-79.146,-0.427
-0.793,0.82,0.325,-4.634,-70.0,8.415
-0.828,0.788,0.29,-10.671,-66.341,13.049
-0.867,0.746,0.275,-14.451,-66.098,16.524
-0.879,0.727,0.259,-18.963,-71.22,18.841
-0.864,0.705,0.276,-22.744,-79.573,20.793
-0.843,0.66,0.315,-25.488,-86.951,23.11
-0.782,0.613,0.351,-27.439,-91.707,24.695
-0.7,0.589,0.385,-28.476,-92.378,24.573
-0.617,0.576,0.413,-28.841,-89.024,23.72
-0.556,0.566,0.416,-28.841,-81.402,22.561
-0.503,0.554,0.398,-29.146,-71.402,21.768
-0.478,0.551,0.365,-30.122,-62.378,21.037
-0.486,0.551,0.322,-30.549,-55.488,20.854
-0.507,0.532,0.271,-30.488,-50.915,20.976
-0.53,0.523,0.24,-30.549,-48.537,21.098
-0.53,0.521,0.223,-31.098,-46.646,22.195
-0.513,0.52,0.229,-31.463,-44.756,22.866
-0.498,0.506,0.258,-31.037,-41.463,23.171
-0.478,0.494,0.296,-29.695,-34.024,23.415
-0.462,0.477,0.339,-27.622,-24.39,22.866
-0.447,0.472,0.379,-25.61,-15.488,21.22
-0.438,0.476,0.422,-23.293,-8.354,19.39
-0.434,0.471,0.455,-21.402,-3.963,17.378
-0.434,0.461,0.47,-18.537,-1.951,15.122
-0.437,0.445,0.466,-14.939,-2.195,14.329
-0.443,0.442,0.466,-12.805,-5.671,12.744
-0.441,0.456,0.481,-10.854,-10.183,10.244
-0.431,0.454,0.513,-7.744,-14.024,7.988
-0.425,0.45,0.542,-4.756,-15.61,5.244
-0.44,0.452,0.58,-2.195,-14.878,2.622
-0.454,0.459,0.617,-1.159,-13.232,0.305
