acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.564,0.423,0.591,16.22,112.927,-25.244
-0.57,0.462,0.624,26.89,112.5,-25.061
-0.581,0.512,0.68,36.585,117.866,-18.659
-0.643,0.585,0.705,43.354,128.293,-16.159
-0.625,0.606,0.653,56.159,136.768,-16.585
-0.648,0.649,0.551,71.28,135.671,-13.659
-0.741,0.768,0.462,79.268,120.122,-16.28
-0.853,0.847,0.404,83.72,94.085,-19.085
-0.942,0.941,0.363,82.012,61.037,-22.012
-0.98,0.997,0.355,77.805,31.89,-23.78
-0.946,1.016,0.347,72.683,11.463,-20.671
-0.896,1.029,0.325,67.988,-0.671,-17.805
-0.856,1.099,0.307,58.841,-5.183,-15.793
-0.833,1.124,0.272,47.744,-7.134,-12.561
-0.809,1.12,0.246,35.427,-8.415,-9.634
-0.779,1.107,0.235,22.195,-9.207,-7.5
-0.739,1.054,0.206,13.354,-9.451,-1.341
-0.732,1.071,0.172,1.707,-13.659,1.463
-0.763,1.052,0.172,-8.537,-20.061,4.817
-0.771,1.002,0.196,-16.28,-27.256,7.012
-0.779,0.965,0.24,-23.049,-34.878,9.268
-0.782,0.92,0.276,-28.049,-40.549,12.805
-0.751,0.91,0.319,-33.537,-42.744,17.012
-0.707,0.889,0.356,-37.622,-43.11,20.244
-0.71,0.851,0.361,-39.939,-43.11,22.988
-0.722,0.825,0.35,-41.22,-44.878,24.756
-0.721,0.818,0.336,-42.805,-47.378,25.61
-0.713,0.813,0.31,-44.329,-51.037,26.707
-0.695,0.792,0.283,-45.549,-56.037,27.622
-0.661,0.786,0.27,-47.744,-60.488,28.537
-0.607,0.784,0.259,-50.366,-61.951,29.146
-0.568,0.768,0.252,-52.439,-61.22,29.573
-0.541,0.745,0.256,-53.659,-59.451,29.39
-0.513,0.727,0.265,-53.841,-56.098,29.329
-0.478,0.713,0.271,-53.72,-52.683,28.415
-0.457,0.708,0.295,-52.988,-49.085,27.195
-0.445,0.698,0.309,-52.073,-44.695,26.28
-0.43,0.681,0.323,-50.061,-40.671,25.366
-0.428,0.67,0.333,-47.866,-38.171,23.841
-0.435,0.661,0.343,-45.305,-37.195,22.317
-0.436,0.643,0.351,-42.195,-35.854,21.098
-0.432,0.634,0.347,-39.817,-32.256,20.427
-0.434,0.633,0.351,-37.5,-29.207,19.207
-0.439,0.634,0.374,-35.488,-27.439,17.134
-0.438,0.631,0.409,-33.72,-25.976,15.427
-0.431,0.614,0.439,-31.646,-23.963,14.207
-0.417,0.6,0.46,-28.841,-22.317,12.439
