acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.293,0.845,0.253,55.183,28.415,-42.5
-0.381,0.856,0.232,58.354,54.39,-53.72
-0.436,0.872,0.215,27.927,78.537,-93.72
-0.461,0.885,0.217,9.146,71.524,-77.073
-0.447,0.899,0.234,-0.183,66.951,-57.439
-0.419,0.915,0.255,3.232,70.915,-65.244
-0.398,0.925,0.267,6.22,74.39,-76.585
-0.411,0.931,0.269,4.207,70.183,-79.146
-0.442,0.931,0.256,3.049,60.976,-75.671
-0.464,0.92,0.241,2.988,51.28,-70.305
-0.481,0.921,0.23,2.683,41.829,-68.415
-0.512,0.929,0.222,2.622,33.963,-68.11
-0.533,0.934,0.223,2.561,28.78,-66.951
-0.551,0.942,0.23,2.439,27.439,-64.817
-0.579,0.952,0.236,3.659,29.39,-62.256
-0.598,0.959,0.236,5.671,32.866,-59.512
-0.608,0.968,0.237,7.134,36.28,-56.585
-0.601,0.977,0.235,8.232,38.72,-54.268
-0.591,0.983,0.235,9.939,39.207,-52.073
-0.584,0.989,0.24,11.463,37.012,-49.024
-0.583,0.992,0.244,12.073,33.841,-44.939
-0.582,0.984,0.235,12.317,30.732,-40.915
-0.583,0.978,0.227,11.829,27.439,-36.951
-0.601,0.965,0.22,10.976,24.512,-33.171
-0.615,0.952,0.205,10.61,21.22,-29.756
-0.612,0.937,0.196,10.488,18.049,-26.463
-0.596,0.926,0.196,9.878,15.854,-23.659
-0.584,0.919,0.191,9.573,13.476,-20.549
-0.572,0.915,0.186,8.72,11.341,-17.195
-0.562,0.911,0.206,8.171,10.305,-14.268
-0.563,0.91,0.232,7.622,9.146,-11.402
-0.554,0.916,0.247,6.585,7.561,-8.415
-0.544,0.914,0.265,5.061,5.793,-5.732
-0.528,0.914,0.271,3.476,3.171,-3.476
-0.51,0.916,0.273,1.829,0.366,-1.341
-0.504,0.912,0.264,0.183,-2.134,0.915
-0.503,0.897,0.263,-1.524,-4.573,3.476
-0.496,0.878,0.272,-2.927,-7.744,6.402
-0.475,0.881,0.292,-4.573,-11.402,10.0
-0.445,0.895,0.317,-6.524,-14.634,13.902
-0.403,0.905,0.331,-8.354,-18.537,17.805
-0.375,0.907,0.314,-8.659,-23.232,21.951
-0.364,0.897,0.281,-8.293,-28.232,25.671
-0.333,0.884,0.271,-7.866,-34.39,28.171
-0.269,0.873,0.263,-7.256,-41.463,30.488
