acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.198,0.961,0.342,51.951,84.573,-55.732
-0.269,0.981,0.306,68.476,54.817,-47.927
-0.299,1.007,0.305,53.11,40.671,-51.951
-0.324,1.021,0.314,32.134,29.512,-66.098
-0.34,1.023,0.328,23.293,9.329,-69.695
-0.351,1.033,0.341,28.537,13.354,-53.049
-0.374,1.046,0.345,26.098,35.244,-43.963
-0.394,1.054,0.342,20.488,53.598,-44.085
-0.411,1.049,0.324,18.963,58.232,-42.744
-0.425,1.043,0.307,17.866,51.646,-39.695
-0.426,1.042,0.294,17.256,39.39,-38.415
-0.428,1.037,0.293,16.768,27.012,-37.256
-0.427,1.029,0.29,14.878,18.598,-34.573
-0.421,1.012,0.285,12.866,13.841,-30.793
-0.423,0.997,0.282,10.915,11.89,-26.463
-0.429,0.989,0.279,8.598,12.073,-21.951
-0.423,0.986,0.28,6.646,13.049,-17.622
-0.413,0.983,0.291,5.122,13.171,-13.78
-0.403,0.98,0.295,3.598,11.585,-9.756
-0.388,0.976,0.302,1.89,8.78,-5.793
-0.362,0.972,0.308,-0.427,5.976,-1.951
-0.334,0.967,0.325,-2.256,3.11,1.341
-0.316,0.965,0.336,-3.354,0.854,4.39
-0.303,0.965,0.343,-4.756,-0.061,7.5
-0.299,0.956,0.348,-6.646,-0.183,9.146
-0.282,0.947,0.354,-8.232,-0.671,10.915
-0.25,0.947,0.358,-10.0,-2.073,13.354
-0.234,0.941,0.349,-12.012,-4.939,16.037
-0.222,0.929,0.322,-14.268,-9.207,18.963
-0.219,0.901,0.322,-16.28,-14.878,21.768
-0.234,0.868,0.302,-18.11,-21.402,24.451
-0.269,0.877,0.284,-20.183,-27.744,27.012
-0.299,0.885,0.292,-22.195,-35.183,29.329
-0.292,0.873,0.299,-23.415,-44.207,31.829
-0.258,0.842,0.313,-23.537,-54.817,34.695
-0.197,0.816,0.336,-23.476,-65.671,37.195
-0.121,0.787,0.354,-22.927,-74.39,39.39
-0.028,0.771,0.386,-22.256,-80.244,40.488
0.029,0.765,0.422,-18.537,-86.402,40.671
