acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.426,0.449,0.641,-93.11,50.183,20.793
-0.394,0.437,0.605,-75.061,54.817,13.354
-0.444,0.435,0.549,-57.988,58.659,7.866
-0.479,0.443,0.495,-42.561,62.5,4.512
-0.496,0.462,0.423,-30.793,63.78,1.707
-0.537,0.508,0.337,-23.293,60.122,-0.305
-0.571,0.549,0.26,-19.146,53.232,-2.012
-0.591,0.587,0.23,-16.951,45.549,-4.573
-0.586,0.621,0.231,-16.341,39.207,-7.134
-0.602,0.645,0.236,-15.976,32.256,-9.024
-0.6,0.664,0.239,-16.22,27.805,-10.244
-0.589,0.688,0.221,-18.232,25.0,-11.646
-0.567,0.703,0.232,-19.634,24.573,-13.11
-0.558,0.702,0.266,-20.732,24.329,-14.207
-0.597,0.674,0.3,-18.902,19.756,-14.39
-0.577,0.657,0.356,-13.963,14.878,-14.939
-0.525,0.645,0.387,-7.988,14.39,-14.329
-0.495,0.635,0.396,-2.134,17.5,-13.537
-0.47,0.616,0.378,4.573,23.415,-12.988
-0.474,0.623,0.314,8.415,27.927,-12.683
-0.479,0.647,0.251,9.512,28.415,-13.78
-0.476,0.669,0.22,9.207,27.683,-15.427
-0.49,0.691,0.206,7.988,26.646,-16.28
-0.501,0.708,0.206,6.707,25.976,-16.829
-0.528,0.725,0.221,5.732,25.488,-16.341
-0.559,0.728,0.243,4.695,23.598,-15.427
-0.596,0.736,0.279,4.512,20.183,-13.963
-0.644,0.758,0.291,4.512,16.646,-11.707
-0.646,0.787,0.294,4.39,17.134,-9.451
-0.62,0.801,0.309,4.573,21.341,-8.415
-0.625,0.799,0.308,4.512,23.049,-7.378
-0.654,0.801,0.292,4.268,20.854,-6.341
-0.653,0.798,0.273,3.78,17.683,-6.707
-0.62,0.784,0.252,2.805,16.951,-7.988
-0.571,0.759,0.242,2.378,19.634,-9.512
-0.545,0.752,0.216,1.89,22.683,-11.098
-0.547,0.749,0.188,1.646,24.085,-12.012
-0.531,0.741,0.189,1.951,26.585,-13.293
-0.507,0.714,0.202,3.72,29.573,-14.878
-0.505,0.696,0.203,5.549,30.915,-15.976
-0.532,0.689,0.202,7.927,30.793,-16.524
-0.584,0.687,0.197,10.427,30.671,-15.366
-0.602,0.678,0.186,12.683,30.854,-14.207
-0.591,0.662,0.185,14.512,32.683,-12.988
-0.58,0.654,0.19,16.829,34.695,-11.646
-0.578,0.663,0.207,18.537,36.22,-10.732
