acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.286,0.301,0.541,56.037,96.402,-12.439
-0.389,0.42,0.329,65.671,91.524,-13.415
-0.48,0.663,0.072,62.805,79.634,-11.89
-0.466,0.788,-0.051,53.963,78.415,-15.183
-0.494,0.775,-0.046,45.305,80.366,-17.5
-0.573,0.76,0.014,36.768,80.854,-15.854
-0.63,0.792,0.062,30.976,81.829,-15.488
-0.648,0.838,0.148,30.061,83.049,-17.256
-0.673,0.838,0.213,31.22,82.134,-18.232
-0.751,0.831,0.247,31.524,77.378,-16.585
-0.882,0.84,0.286,32.134,72.012,-13.415
-1.027,0.839,0.276,33.476,66.341,-5.732
-1.038,0.854,0.21,32.988,58.476,1.402
-0.942,0.891,0.119,27.805,50.793,3.72
-0.827,0.877,0.052,21.22,45.854,3.232
-0.711,0.837,0.027,16.402,42.378,-0.061
-0.624,0.803,0.029,12.683,40.305,-4.878
-0.586,0.769,0.034,10.671,39.146,-9.207
-0.602,0.763,0.026,8.78,36.768,-12.439
-0.658,0.766,0.015,7.439,34.207,-13.537
-0.711,0.77,0.0,6.28,29.878,-12.5
-0.763,0.777,-0.014,5.0,23.841,-10.061
-0.796,0.806,-0.024,3.171,17.378,-6.28
-0.769,0.823,-0.025,1.707,12.744,-3.415
-0.707,0.811,-0.024,1.585,11.28,-1.646
-0.632,0.78,-0.021,2.012,13.598,-0.488
-0.576,0.764,-0.053,2.134,16.524,-0.427
-0.586,0.794,-0.104,0.0,16.707,-0.915
-0.612,0.799,-0.104,-2.134,15.732,-1.768
-0.632,0.766,-0.081,-2.134,16.22,-1.402
-0.658,0.749,-0.091,-1.707,16.524,0.061
-0.695,0.768,-0.13,-3.415,12.866,0.732
-0.704,0.777,-0.119,-4.817,8.354,0.915
-0.676,0.756,-0.095,-4.451,6.037,1.28
-0.658,0.746,-0.087,-3.232,4.085,1.037
-0.653,0.764,-0.091,-2.805,2.866,0.854
-0.639,0.763,-0.093,-2.378,2.012,0.61
-0.626,0.764,-0.091,-1.402,1.646,0.549
-0.622,0.773,-0.086,-0.915,2.073,0.427
-0.607,0.77,-0.066,0.061,3.476,-0.244
-0.624,0.768,-0.078,0.122,3.963,-0.183
-0.658,0.771,-0.087,-0.122,1.463,-0.366
-0.665,0.761,-0.072,0.305,-0.61,-0.183
-0.658,0.747,-0.063,1.22,-1.768,0.427
-0.647,0.75,-0.06,2.195,-2.561,0.549
-0.636,0.756,-0.06,2.134,-2.5,0.793
-0.638,0.752,-0.069,2.256,-2.5,1.159
-0.643,0.756,-0.074,2.561,-2.378,1.585
-0.643,0.773,-0.075,1.463,-3.293,1.768
-0.638,0.783,-0.057,1.037,-3.11,1.28
-0.633,0.769,-0.049,1.22,-0.915,1.463
-0.627,0.761,-0.058,0.305,0.854,1.159
-0.636,0.766,-0.057,-0.793,1.28,0.305
-0.633,0.764,-0.029,-0.732,1.89,-0.61
-0.626,0.752,0.004,0.366,3.11,-1.28
-0.642,0.753,0.008,0.976,3.841,-1.22
-0.655,0.764,-0.011,0.427,4.085,-0.854
-0.659,0.771,-0.019,0.366,3.963,-0.671
-0.658,0.778,-0.036,-0.122,4.268,0.183
-0.659,0.795,-0.059,-2.134,4.024,0.488
-0.659,0.784,-0.047,-3.476,3.78,0.122
-0.65,0.766,-0.015,-3.476,4.512,-0.183
-0.655,0.743,-0.004,-2.317,4.756,-0.549
-0.68,0.735,-0.017,-1.28,3.78,-0.488
-0.693,0.746,-0.044,-1.951,2.195,-0.183
-0.69,0.752,-0.044,-2.378,0.549,-0.183
-0.672,0.746,-0.021,-1.768,0.122,0.0
-0.651,0.747,-0.029,-1.341,0.793,0.244
-0.655,0.761,-0.052,-2.195,-0.366,0.244
-0.659,0.775,-0.04,-2.561,-1.89,0.122
-0.65,0.765,-0.017,-1.524,-1.768,0.183
-0.656,0.751,-0.011,-0.183,-2.256,0.366
-0.666,0.751,-0.033,0.061,-4.146,0.671
-0.671,0.754,-0.046,-0.122,-6.341,0.671
-0.649,0.759,-0.04,-0.305,-4.756,0.976
-0.636,0.755,-0.037,-0.244,-2.5,0.915
-0.64,0.754,-0.042,-0.183,-2.561,1.037
-0.645,0.763,-0.045,-0.671,-2.866,1.037
-0.641,0.761,-0.039,-1.037,-2.683,1.159
-0.631,0.751,-0.024,-0.305,-2.622,1.098
-0.621,0.752,-0.017,0.0,-2.5,1.159
-0.62,0.75,-0.017,0.61,-2.439,1.098
-0.635,0.753,-0.041,0.732,-2.439,1.524
-0.653,0.761,-0.068,0.0,-3.354,2.134
-0.645,0.764,-0.058,-0.671,-4.024,2.195
-0.612,0.758,-0.033,-0.793,-2.805,2.134
-0.602,0.753,-0.022,0.0,-1.402,1.768
-0.603,0.762,-0.032,0.183,-0.427,1.524
-0.614,0.769,-0.05,-0.366,-0.061,1.707
-0.632,0.77,-0.053,-1.098,-0.671,1.707
-0.627,0.752,-0.041,-1.524,-0.183,1.89
-0.631,0.741,-0.033,-1.098,0.183,1.951
-0.626,0.75,-0.038,-0.793,0.366,2.012
-0.622,0.76,-0.05,-0.915,0.732,2.012
-0.625,0.765,-0.056,-1.707,0.915,1.89
-0.624,0.766,-0.056,-2.195,0.671,1.585
-0.629,0.766,-0.043,-2.195,0.305,1.037
-0.632,0.758,-0.034,-2.012,0.244,0.671
-0.637,0.755,-0.052,-2.378,-0.549,0.854
-0.649,0.77,-0.069,-3.598,-1.585,0.671
-0.646,0.763,-0.059,-3.537,-2.012,0.549
-0.639,0.759,-0.052,-3.171,-2.561,0.122
-0.639,0.77,-0.047,-3.293,-3.598,-0.366
-0.642,0.774,-0.019,-2.683,-3.659,-0.793
-0.644,0.765,-0.003,-1.89,-2.317,-0.671
-0.655,0.773,-0.027,-1.829,-2.378,-0.61
-0.657,0.779,-0.043,-1.646,-3.78,-0.793
-0.654,0.774,-0.039,-1.707,-4.512,-0.976
-0.647,0.764,-0.033,-2.012,-4.939,-1.098
-0.644,0.764,-0.04,-2.683,-5.976,-1.098
-0.66,0.773,-0.037,-3.232,-7.317,-1.098
-0.657,0.77,-0.022,-3.171,-7.622,-0.732
-0.643,0.764,-0.019,-2.561,-7.073,-0.244
-0.644,0.777,-0.037,-2.622,-7.378,0.305
-0.642,0.788,-0.033,-3.049,-7.683,0.488
-0.625,0.776,-0.017,-2.927,-6.829,0.671
-0.618,0.764,-0.017,-2.805,-5.793,0.793
-0.633,0.764,-0.03,-2.988,-5.549,0.915
-0.644,0.763,-0.041,-3.72,-5.976,1.037
-0.64,0.752,-0.023,-3.72,-5.976,1.098
-0.642,0.747,-0.006,-3.659,-5.732,1.28
-0.637,0.741,0.014,-3.11,-5.976,0.915
-0.632,0.733,0.026,-1.89,-5.61,0.732
-0.634,0.738,0.013,-0.671,-4.756,0.793
-0.646,0.762,-0.025,-1.646,-5.122,0.671
-0.639,0.762,-0.018,-2.012,-5.976,-0.061
-0.622,0.751,0.0,-2.012,-5.549,-0.488
-0.617,0.742,0.014,-0.854,-5.305,-0.976
-0.63,0.747,0.004,-0.305,-5.061,-0.61
-0.644,0.752,0.0,-0.061,-5.732,-0.549
-0.641,0.749,0.003,0.061,-5.915,-0.305
-0.634,0.75,0.017,0.122,-5.671,-0.244
-0.627,0.748,0.025,0.549,-5.122,0.0
-0.625,0.753,0.02,0.671,-3.537,0.427
-0.629,0.765,-0.002,-0.122,-2.317,0.793
-0.62,0.771,-0.009,-1.28,-1.829,0.915
-0.62,0.765,0.004,-1.585,-1.22,0.732
-0.626,0.756,0.013,-1.402,-0.427,0.854
-0.631,0.752,0.019,-1.037,0.427,1.037
-0.635,0.758,0.009,-1.22,0.793,1.159
-0.639,0.759,0.003,-1.585,0.488,1.098
-0.631,0.758,0.007,-1.28,0.427,0.854
-0.626,0.756,0.015,-0.488,0.61,0.671
-0.63,0.764,0.01,-0.366,0.488,0.488
-0.634,0.77,0.0,-0.305,0.183,0.549
-0.641,0.772,-0.01,-0.671,-0.305,0.732
-0.634,0.767,-0.002,-0.488,-0.61,0.427
-0.625,0.76,0.008,-0.183,-0.122,0.549
-0.632,0.756,0.005,0.122,-0.183,0.549
-0.641,0.754,0.002,0.488,-0.549,0.549
-0.642,0.756,0.0,0.61,-1.037,0.549
-0.642,0.756,0.005,1.037,-1.22,0.427
-0.64,0.76,0.005,0.976,-0.793,0.549
-0.644,0.762,-0.004,0.549,-0.671,0.671
-0.642,0.772,-0.004,0.061,-0.915,0.366
-0.629,0.771,0.004,-0.122,-0.915,0.0
-0.627,0.765,0.008,-0.183,-0.549,0.061
-0.635,0.765,0.002,-0.305,-0.183,0.244
-0.635,0.765,-0.011,-0.732,-0.183,0.427
-0.624,0.763,-0.004,-0.61,-0.671,0.305
-0.618,0.76,0.012,-0.305,-0.549,0.061
-0.621,0.757,0.018,0.183,-0.305,0.061
-0.627,0.754,0.014,0.366,-0.183,0.488
-0.632,0.759,0.0,0.183,-0.061,0.732
-0.631,0.761,-0.007,-0.244,-0.122,0.793
-0.63,0.763,-0.012,-0.854,-0.122,0.671
-0.623,0.759,-0.001,-0.671,-0.244,0.305
-0.621,0.759,0.006,-0.488,-0.183,0.305
-0.632,0.759,0.004,-0.427,-0.305,0.732
-0.644,0.76,0.004,-0.122,-0.976,1.22
-0.639,0.76,0.011,0.183,-1.098,1.524
-0.632,0.756,0.005,0.671,-1.159,1.585
-0.631,0.761,0.008,1.159,-1.463,1.524
-0.625,0.771,0.005,1.159,-1.28,1.524
-0.627,0.779,-0.002,0.732,-1.341,1.159
-0.632,0.776,0.003,0.671,-1.463,0.793
-0.639,0.776,0.001,0.366,-1.28,0.793
-0.646,0.773,0.004,0.427,-2.073,0.549
-0.649,0.769,0.018,0.915,-2.683,0.305
-0.648,0.758,0.027,2.317,-3.476,0.305
-0.653,0.757,0.029,3.537,-4.817,0.305
-0.66,0.769,0.021,3.598,-6.28,0.549
-0.66,0.787,0.005,2.317,-6.89,0.671
-0.658,0.792,-0.011,0.793,-7.378,0.61
-0.657,0.789,-0.022,-0.854,-7.927,0.854
-0.649,0.786,-0.004,-1.951,-8.78,0.488
-0.637,0.773,0.024,-2.317,-9.085,-0.122
-0.629,0.763,0.041,-1.707,-9.329,-0.244
-0.636,0.766,0.021,-1.585,-8.902,0.244
-0.645,0.783,-0.004,-2.683,-9.207,0.732
-0.638,0.795,-0.01,-3.902,-9.512,0.671
-0.624,0.788,0.005,-4.756,-9.268,0.061
-0.61,0.77,0.035,-4.329,-8.598,-0.488
-0.612,0.76,0.032,-3.78,-7.683,-0.61
-0.626,0.764,0.015,-4.085,-7.195,-0.61
-0.639,0.769,0.017,-4.268,-7.073,-0.671
-0.63,0.762,0.024,-3.963,-6.463,-0.793
-0.619,0.755,0.034,-3.72,-5.976,-0.671
-0.624,0.75,0.045,-2.805,-6.463,-0.854
-0.629,0.742,0.047,-1.646,-6.524,-0.732
-0.633,0.738,0.036,-0.61,-6.463,-0.427
-0.638,0.742,0.033,0.122,-6.585,-0.061
-0.646,0.756,0.025,-0.122,-6.707,0.488
-0.641,0.762,0.016,-0.671,-7.378,0.793
-0.63,0.763,0.031,-0.305,-7.805,0.915
-0.619,0.757,0.043,0.549,-8.11,0.61
-0.614,0.758,0.06,0.366,-8.841,0.305
-0.622,0.75,0.066,0.854,-9.573,0.183
-0.633,0.744,0.051,1.037,-9.512,0.732
-0.644,0.742,0.056,1.463,-10.671,0.854
-0.655,0.742,0.07,1.89,-13.354,1.22
-0.661,0.746,0.085,2.5,-17.744,1.402
-0.661,0.75,0.094,3.049,-21.707,1.829
-0.662,0.761,0.106,3.476,-24.024,2.256
-0.671,0.764,0.125,4.634,-26.098,2.866
