acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.428,0.569,0.301,-54.207,-0.732,18.659
-0.39,0.544,0.302,-46.22,4.817,12.561
-0.383,0.532,0.291,-38.78,10.854,8.232
-0.386,0.522,0.307,-30.488,15.976,3.72
-0.368,0.508,0.313,-21.159,21.585,-0.305
-0.359,0.518,0.271,-14.024,27.195,-2.5
-0.376,0.54,0.239,-7.5,31.707,-5.061
-0.359,0.552,0.208,-2.988,38.171,-7.744
-0.364,0.553,0.201,0.122,43.537,-10.122
-0.406,0.544,0.191,3.78,43.902,-12.5
-0.45,0.548,0.159,5.854,41.707,-13.476
-0.509,0.55,0.145,8.354,38.11,-13.11
-0.536,0.545,0.157,13.049,35.122,-12.5
-0.541,0.54,0.186,18.78,34.39,-10.61
-0.536,0.546,0.222,25.244,34.878,-8.415
-0.517,0.58,0.221,30.549,38.049,-6.037
-0.496,0.632,0.221,35.976,42.317,-4.207
-0.476,0.684,0.204,39.207,45.854,-2.927
-0.481,0.74,0.192,39.39,47.988,-2.927
-0.535,0.782,0.183,40.061,47.5,-3.049
-0.57,0.806,0.163,39.878,45.976,-2.927
-0.561,0.818,0.132,38.841,47.561,-3.232
-0.548,0.834,0.101,35.427,51.585,-4.024
-0.634,0.847,0.097,31.341,51.463,-4.268
-0.76,0.845,0.112,29.268,45.61,-1.829
-0.77,0.852,0.126,28.72,41.037,0.122
-0.705,0.873,0.141,29.146,39.39,1.951
-0.679,0.93,0.146,28.537,39.268,2.073
-0.66,0.967,0.117,25.671,39.878,0.793
-0.609,0.971,0.101,22.439,39.817,-2.378
-0.583,0.971,0.094,18.963,38.902,-6.463
-0.586,0.95,0.077,15.061,36.22,-10.183
-0.578,0.928,0.078,12.378,38.11,-14.39
-0.571,0.889,0.094,10.854,43.049,-17.744
-0.611,0.839,0.099,10.732,43.72,-19.207
-0.661,0.823,0.086,10.122,39.939,-19.085
-0.695,0.819,0.073,8.72,35.427,-18.293
-0.724,0.802,0.08,7.622,31.829,-17.378
-0.751,0.78,0.1,7.622,27.561,-15.488
-0.76,0.772,0.105,7.866,23.293,-13.476
-0.751,0.78,0.104,8.293,18.902,-11.22
-0.708,0.785,0.093,8.293,15.732,-9.451
-0.676,0.803,0.074,7.134,13.537,-7.988
-0.668,0.818,0.049,5.671,10.976,-6.89
-0.66,0.819,0.044,4.329,8.354,-6.037
-0.652,0.815,0.042,3.659,5.915,-4.817
-0.655,0.807,0.023,2.5,4.024,-2.988
-0.655,0.801,0.008,1.402,1.159,-1.402
-0.649,0.799,0.004,0.549,-1.28,0.183
-0.63,0.79,0.013,0.244,-2.683,1.341
-0.608,0.779,0.018,0.732,-3.11,1.951
-0.614,0.787,0.005,0.0,-3.171,2.805
-0.615,0.789,-0.003,-0.549,-3.78,2.927
-0.604,0.783,-0.009,-0.854,-3.78,3.11
-0.596,0.784,-0.012,-1.159,-2.866,3.171
-0.585,0.781,-0.01,-0.366,-2.256,2.378
-0.575,0.79,-0.015,-0.671,-1.768,1.829
-0.585,0.8,-0.027,-1.89,-1.463,1.402
-0.6,0.793,-0.032,-2.317,-1.585,1.341
-0.603,0.778,-0.032,-2.5,-0.732,1.89
-0.599,0.776,-0.018,-2.5,-0.366,1.768
-0.612,0.776,-0.015,-2.622,-1.098,1.646
-0.62,0.767,0.0,-1.951,-2.012,1.463
-0.61,0.76,0.018,-1.098,-2.012,1.159
-0.613,0.763,0.022,0.061,-1.89,0.976
-0.613,0.769,0.016,0.549,-1.768,0.854
-0.618,0.776,0.002,0.244,-2.134,0.488
-0.628,0.789,0.001,-0.244,-3.11,0.244
-0.628,0.794,0.006,-0.854,-3.415,0.122
-0.628,0.791,0.01,-1.341,-3.902,0.122
-0.633,0.781,0.023,-1.341,-4.817,-0.244
-0.629,0.772,0.045,-0.488,-4.939,-0.427
-0.629,0.764,0.046,0.183,-5.061,-0.183
-0.628,0.764,0.048,0.915,-5.549,-0.183
-0.63,0.773,0.048,1.463,-5.366,0.061
-0.625,0.772,0.032,1.646,-5.366,0.427
-0.612,0.773,0.028,1.646,-5.427,0.366
-0.61,0.782,0.032,1.22,-4.817,0.183
-0.594,0.774,0.039,1.28,-3.537,-0.183
-0.584,0.773,0.042,1.037,-2.195,-0.854
-0.595,0.775,0.043,0.976,-1.28,-1.098
-0.604,0.771,0.045,0.976,-0.61,-1.098
-0.608,0.771,0.038,1.098,-0.122,-0.976
-0.613,0.773,0.032,0.915,-0.061,-0.854
-0.612,0.769,0.035,0.915,0.061,-0.976
-0.61,0.77,0.033,0.976,0.732,-0.732
-0.603,0.774,0.03,0.671,1.951,-1.037
-0.603,0.776,0.029,0.183,2.744,-1.585
-0.608,0.771,0.034,0.549,2.622,-1.829
-0.613,0.764,0.037,1.037,2.256,-1.951
-0.614,0.761,0.044,1.585,1.951,-2.073
-0.63,0.756,0.048,2.134,0.915,-1.646
-0.645,0.756,0.047,2.866,-0.305,-1.037
-0.649,0.758,0.049,3.659,-0.854,-0.488
-0.642,0.764,0.052,4.207,-1.402,-0.061
-0.636,0.769,0.051,4.634,-2.073,0.183
-0.629,0.78,0.038,4.512,-2.378,0.732
-0.618,0.787,0.025,3.78,-1.951,0.915
-0.614,0.794,0.012,2.866,-1.768,0.976
-0.616,0.801,0.008,1.89,-2.195,0.793
-0.617,0.794,0.011,0.915,-3.049,0.549
-0.619,0.785,0.014,0.122,-3.72,0.488
-0.61,0.78,0.023,-0.305,-3.78,0.366
-0.605,0.771,0.04,-0.305,-2.5,0.061
-0.607,0.766,0.044,-0.122,-0.854,-0.122
-0.611,0.763,0.043,0.305,-0.732,-0.061
-0.619,0.764,0.039,0.366,-1.89,0.122
-0.621,0.767,0.041,0.671,-2.683,0.427
-0.616,0.771,0.033,0.671,-2.439,0.915
-0.608,0.779,0.026,0.61,-1.646,1.28
-0.596,0.786,0.022,0.122,-0.427,1.402
