acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.425,0.636,0.507,2.134,16.707,41.707
0.405,0.637,0.498,1.28,18.902,40.061
0.401,0.639,0.479,1.037,17.927,38.841
0.398,0.643,0.468,-0.061,15.671,36.768
0.413,0.638,0.463,-0.854,13.537,34.146
0.43,0.629,0.459,-1.524,11.402,32.256
0.42,0.614,0.453,-2.927,9.39,30.183
0.424,0.599,0.458,-4.146,7.561,27.561
0.414,0.58,0.483,-5.0,8.598,25.732
0.411,0.572,0.485,-5.976,12.134,23.232
0.444,0.564,0.482,-7.012,18.415,20.488
0.441,0.547,0.466,-7.927,24.268,18.598
0.391,0.532,0.44,-7.744,26.22,16.89
0.389,0.544,0.436,-7.744,26.768,14.268
0.426,0.556,0.442,-8.659,27.683,11.037
0.423,0.544,0.455,-9.329,27.317,7.317
0.398,0.52,0.458,-9.512,24.451,3.72
0.381,0.519,0.456,-10.732,20.488,0.732
0.385,0.532,0.464,-12.683,16.524,-2.134
0.366,0.524,0.479,-13.963,13.963,-4.512
0.37,0.515,0.492,-13.11,11.951,-6.28
0.395,0.526,0.511,-12.5,13.841,-8.841
0.407,0.536,0.52,-12.5,19.024,-12.866
0.403,0.515,0.523,-10.732,23.049,-18.659
0.39,0.489,0.53,-8.537,26.402,-24.085
0.397,0.486,0.515,-8.293,31.402,-27.195
0.407,0.483,0.492,-9.146,36.524,-30.915
0.345,0.454,0.46,-10.122,40.976,-35.793
0.303,0.425,0.403,-10.366,44.329,-39.878
0.292,0.434,0.375,-10.183,48.963,-43.598
0.256,0.475,0.335,-12.683,53.049,-47.866
0.196,0.483,0.304,-15.976,55.915,-52.5
0.154,0.451,0.308,-17.683,56.341,-57.256
0.129,0.428,0.331,-18.72,56.341,-62.378
0.136,0.425,0.347,-19.695,59.268,-68.049
0.17,0.425,0.358,-20.854,66.28,-73.537
0.186,0.412,0.342,-21.28,76.341,-79.878
0.188,0.411,0.321,-20.305,87.195,-86.951
0.153,0.435,0.32,-19.085,95.427,-93.354
0.075,0.467,0.334,-18.659,97.866,-99.451
0.034,0.491,0.379,-18.78,96.037,-105.854
0.034,0.491,0.456,-17.5,91.585,-110.793
0.019,0.505,0.545,-13.72,87.805,-115.244
0.003,0.57,0.595,-9.878,87.622,-118.72
0.015,0.665,0.64,-8.415,94.939,-119.573
0.063,0.739,0.68,-7.317,105.244,-118.537
0.058,0.808,0.732,-5.976,110.0,-114.634
-0.038,0.879,0.807,-4.512,102.317,-107.256
-0.146,0.974,0.921,-3.537,86.28,-98.232
-0.164,1.083,1.068,-2.805,70.0,-89.573
-0.129,1.176,1.175,-1.951,59.695,-80.732
-0.126,1.245,1.221,-0.976,56.341,-70.549
-0.146,1.278,1.212,0.427,57.744,-60.061
-0.176,1.282,1.159,3.232,62.683,-49.024
-0.217,1.274,1.084,5.366,66.585,-38.232
-0.266,1.251,1.002,5.244,67.988,-27.378
-0.301,1.186,0.936,4.817,68.841,-16.585
-0.31,1.099,0.899,4.878,69.024,-7.988
-0.324,1.033,0.823,2.561,64.756,-2.012
-0.379,0.957,0.762,-0.793,56.463,1.28
-0.376,0.867,0.752,-2.561,49.146,3.963
-0.326,0.793,0.734,-4.451,43.537,7.622
-0.351,0.717,0.715,-5.671,37.5,11.89
-0.373,0.642,0.727,-3.841,29.756,13.537
-0.322,0.607,0.773,0.061,23.659,12.744
-0.245,0.621,0.815,3.11,19.573,10.549
-0.188,0.62,0.842,5.793,16.585,7.805
-0.17,0.598,0.832,9.146,15.732,6.22
-0.185,0.614,0.788,11.341,14.634,5.0
-0.232,0.659,0.72,10.915,10.366,3.598
-0.269,0.681,0.656,9.451,3.537,1.646
-0.298,0.68,0.602,8.415,-2.439,0.305
-0.306,0.681,0.56,7.927,-6.585,-1.28
-0.308,0.707,0.536,6.341,-8.72,-1.89
-0.32,0.724,0.533,4.207,-8.598,-1.098
-0.322,0.73,0.553,2.622,-5.915,-0.183
-0.304,0.732,0.576,1.585,-0.61,0.915
-0.3,0.724,0.595,0.793,4.512,2.866
-0.296,0.713,0.618,0.244,8.354,4.146
-0.275,0.713,0.639,-0.366,12.439,5.122
-0.263,0.706,0.641,-0.854,14.207,6.951
-0.27,0.707,0.625,-1.341,10.793,7.988
-0.282,0.706,0.619,-2.195,3.963,7.866
-0.267,0.703,0.615,-2.866,-2.256,7.5
-0.262,0.707,0.618,-3.415,-5.793,6.89
-0.257,0.715,0.625,-3.963,-6.585,5.915
-0.236,0.726,0.641,-4.573,-5.61,5.122
-0.229,0.733,0.649,-4.756,-4.939,4.146
-0.229,0.732,0.661,-4.939,-5.793,3.963
-0.227,0.721,0.672,-4.39,-6.768,4.207
-0.207,0.712,0.688,-3.659,-7.256,4.146
-0.2,0.715,0.695,-2.744,-6.463,4.512
-0.211,0.725,0.701,-2.012,-5.976,5.061
-0.234,0.743,0.701,-1.646,-6.037,5.244
-0.258,0.75,0.693,-1.037,-6.098,6.28
-0.241,0.763,0.682,-0.976,-5.976,7.439
-0.226,0.776,0.677,-1.646,-5.549,8.963
-0.213,0.767,0.687,-2.5,-4.695,10.488
-0.191,0.752,0.695,-2.805,-1.951,11.463
-0.159,0.748,0.708,-2.927,1.341,12.134
-0.144,0.741,0.729,-3.232,3.293,12.195
