acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.375,0.671,0.523,-3.354,3.72,33.354
0.385,0.68,0.532,-3.659,3.415,32.622
0.392,0.685,0.539,-4.329,3.659,31.463
0.386,0.678,0.546,-5.305,2.866,29.878
0.368,0.652,0.563,-5.671,1.037,29.451
0.358,0.645,0.564,-5.976,-1.951,29.268
0.362,0.658,0.55,-6.585,-6.098,28.293
0.367,0.671,0.528,-7.073,-11.037,27.5
0.371,0.686,0.509,-7.744,-15.488,26.707
0.381,0.684,0.5,-8.293,-16.098,25.671
0.395,0.666,0.517,-7.5,-13.415,23.841
0.403,0.655,0.542,-6.037,-9.878,20.793
0.423,0.647,0.585,-5.122,-6.829,18.11
0.442,0.632,0.614,-3.841,-5.061,16.646
0.452,0.624,0.625,-1.829,-6.037,16.159
0.427,0.628,0.618,-0.305,-7.805,16.22
0.42,0.642,0.601,0.793,-10.488,16.037
0.417,0.651,0.59,1.402,-12.805,15.305
0.43,0.653,0.586,0.854,-13.354,13.476
0.459,0.639,0.573,0.427,-11.037,11.037
0.495,0.621,0.56,0.549,-7.561,10.0
0.495,0.613,0.544,0.122,-5.122,9.207
0.481,0.61,0.521,-0.305,-5.366,7.622
0.468,0.611,0.51,-0.915,-6.341,5.976
0.469,0.619,0.516,-1.707,-7.012,4.878
0.465,0.625,0.521,-2.5,-7.988,3.659
0.428,0.632,0.528,-3.537,-9.207,2.805
0.412,0.632,0.529,-4.329,-10.183,2.134
0.436,0.627,0.536,-4.512,-8.72,1.768
0.456,0.624,0.554,-4.756,-5.061,1.707
0.459,0.623,0.553,-5.061,-1.768,1.402
0.444,0.633,0.544,-4.939,-0.244,0.976
0.439,0.641,0.534,-4.634,-0.366,0.732
0.447,0.652,0.534,-4.451,-0.732,0.549
0.463,0.663,0.532,-5.0,-1.037,0.122
0.476,0.657,0.531,-5.549,-1.098,-0.244
0.484,0.645,0.531,-5.976,-0.976,-1.098
0.483,0.631,0.527,-5.915,-0.793,-1.89
0.482,0.624,0.525,-5.854,-1.646,-2.683
0.468,0.625,0.522,-6.341,-3.11,-3.72
0.453,0.623,0.516,-6.89,-4.512,-4.817
0.445,0.619,0.517,-7.378,-4.451,-5.671
0.446,0.609,0.512,-8.171,-3.659,-6.646
0.435,0.588,0.505,-8.902,-2.683,-7.683
0.428,0.555,0.495,-9.024,-1.402,-8.293
0.432,0.536,0.49,-8.72,0.854,-9.024
0.426,0.531,0.486,-8.841,2.866,-10.305
0.42,0.536,0.479,-9.634,4.573,-12.012
0.428,0.542,0.479,-11.037,7.073,-13.902
0.432,0.538,0.471,-11.951,10.549,-15.915
0.434,0.532,0.469,-12.378,14.39,-18.049
0.434,0.527,0.468,-13.415,18.232,-20.488
0.428,0.518,0.455,-14.207,20.976,-23.537
0.431,0.512,0.444,-14.756,24.024,-26.646
0.434,0.507,0.433,-15.366,28.11,-29.878
0.42,0.504,0.427,-16.159,32.256,-33.598
0.391,0.505,0.425,-17.683,35.732,-36.951
0.375,0.5,0.422,-19.939,39.451,-40.305
0.365,0.482,0.425,-21.524,44.207,-44.024
0.353,0.461,0.424,-22.378,49.268,-48.232
0.344,0.447,0.427,-23.171,55.244,-52.805
0.342,0.434,0.422,-24.207,61.951,-57.744
0.327,0.411,0.404,-24.878,68.78,-63.232
0.296,0.386,0.374,-25.0,74.268,-68.72
0.26,0.386,0.355,-26.463,77.927,-74.085
0.219,0.389,0.329,-28.963,80.976,-79.146
0.192,0.379,0.307,-31.341,85.0,-83.598
0.156,0.374,0.3,-32.866,89.634,-87.622
0.116,0.389,0.326,-33.354,95.061,-91.646
0.089,0.439,0.362,-35.488,101.098,-96.159
0.052,0.471,0.396,-37.195,107.317,-99.878
-0.01,0.481,0.442,-37.5,112.134,-103.354
-0.059,0.499,0.492,-36.585,118.598,-107.012
-0.052,0.521,0.533,-34.085,130.366,-110.671
-0.041,0.547,0.558,-29.939,144.39,-113.72
-0.084,0.58,0.589,-25.427,155.549,-116.22
-0.118,0.616,0.634,-20.366,159.634,-118.598
-0.133,0.658,0.689,-15.061,155.305,-118.72
-0.181,0.746,0.763,-9.39,141.342,-115.427
-0.288,0.913,0.855,-7.073,122.317,-108.171
-0.396,1.084,0.958,-7.134,104.39,-98.72
-0.439,1.198,1.075,-6.341,92.012,-88.049
-0.444,1.272,1.209,-4.024,87.012,-76.524
-0.436,1.317,1.325,-2.012,87.744,-64.573
-0.415,1.319,1.396,0.0,91.22,-52.073
-0.414,1.276,1.411,2.866,91.646,-39.634
-0.458,1.21,1.387,4.817,86.463,-27.683
-0.493,1.126,1.333,5.732,77.439,-16.341
-0.457,1.041,1.265,6.768,65.671,-5.976
-0.441,0.979,1.192,5.671,50.488,2.378
-0.454,0.904,1.106,3.537,32.805,9.146
-0.421,0.813,1.032,2.317,16.28,13.354
-0.366,0.747,0.978,0.793,4.695,15.732
-0.321,0.69,0.914,-0.793,-0.671,17.988
-0.283,0.64,0.833,-1.463,0.061,18.963
-0.241,0.613,0.758,-1.037,5.61,17.988
-0.191,0.603,0.699,-1.098,8.963,15.366
-0.23,0.605,0.634,-2.622,3.902,14.695
-0.342,0.604,0.57,-5.0,-10.122,14.878
-0.391,0.596,0.532,-6.951,-25.366,14.146
-0.376,0.58,0.536,-7.683,-34.329,13.598
-0.377,0.563,0.546,-6.707,-37.134,13.232
-0.393,0.57,0.562,-4.817,-36.768,12.5
-0.411,0.592,0.595,-2.927,-33.963,12.5
-0.428,0.603,0.626,-0.366,-27.927,13.232
-0.433,0.606,0.644,2.317,-21.829,14.146
-0.428,0.609,0.656,4.756,-16.951,15.305
-0.406,0.605,0.652,7.378,-14.878,15.671
-0.369,0.605,0.653,9.512,-15.793,15.427
-0.325,0.607,0.663,10.915,-17.561,14.207
