acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.351,0.715,0.486,-1.341,-4.573,39.878
0.344,0.708,0.509,-2.866,-7.866,39.207
0.349,0.696,0.524,-3.537,-8.415,39.207
0.374,0.696,0.528,-3.902,-6.159,39.207
0.38,0.704,0.519,-4.451,-3.841,38.72
0.373,0.708,0.511,-4.878,-2.805,38.11
0.369,0.701,0.494,-5.061,-2.378,37.744
0.377,0.691,0.487,-4.573,-1.951,36.89
0.395,0.69,0.497,-4.207,-1.768,35.427
0.405,0.682,0.524,-3.963,-2.683,33.476
0.411,0.664,0.538,-3.293,-5.0,31.341
0.411,0.657,0.543,-2.439,-9.085,29.756
0.398,0.662,0.551,-2.073,-16.28,28.598
0.364,0.657,0.542,-1.951,-22.439,28.11
0.374,0.65,0.533,-0.732,-25.61,28.171
0.427,0.663,0.536,0.549,-21.89,28.232
0.463,0.675,0.545,0.854,-13.293,27.866
0.454,0.66,0.542,1.585,-7.073,27.561
0.423,0.646,0.527,2.317,-6.341,27.195
0.414,0.652,0.516,1.402,-8.963,27.012
0.44,0.652,0.507,0.488,-11.28,26.89
0.489,0.646,0.5,-0.061,-12.439,26.341
0.505,0.642,0.486,-0.793,-13.963,25.183
0.477,0.64,0.469,-1.463,-18.537,23.902
0.462,0.638,0.46,-2.256,-24.085,22.378
0.48,0.629,0.465,-3.171,-28.598,21.159
0.501,0.616,0.477,-3.11,-32.256,20.0
0.499,0.61,0.483,-2.744,-33.72,18.841
0.513,0.613,0.488,-2.012,-28.72,19.024
0.552,0.622,0.501,-1.646,-18.72,20.0
0.556,0.628,0.5,-1.89,-9.634,19.451
0.51,0.615,0.494,-1.707,-4.756,18.659
0.478,0.604,0.483,-1.585,-4.024,18.415
0.493,0.605,0.474,-2.134,-5.671,17.866
0.512,0.598,0.463,-2.378,-8.354,16.951
0.521,0.586,0.458,-2.012,-11.037,16.098
0.525,0.582,0.453,-1.524,-14.756,14.146
0.531,0.585,0.446,-1.22,-19.146,11.585
0.536,0.59,0.443,-1.951,-22.805,9.573
0.542,0.583,0.439,-3.049,-25.366,7.683
0.538,0.553,0.435,-3.415,-25.915,6.22
0.546,0.534,0.432,-2.805,-24.207,5.732
0.569,0.539,0.431,-2.317,-20.427,4.329
0.58,0.554,0.433,-2.561,-15.549,1.829
0.574,0.561,0.432,-3.537,-10.183,-1.037
0.564,0.558,0.427,-4.085,-5.854,-3.476
0.561,0.554,0.425,-4.695,-4.268,-5.305
0.547,0.552,0.429,-5.793,-5.427,-6.951
0.537,0.55,0.432,-6.89,-8.476,-8.049
0.536,0.551,0.436,-7.5,-10.976,-9.329
0.541,0.56,0.445,-8.476,-10.427,-10.854
0.547,0.563,0.452,-9.573,-7.439,-12.805
0.544,0.55,0.456,-10.366,-3.171,-15.061
0.535,0.53,0.454,-10.671,1.524,-17.195
0.542,0.522,0.446,-11.28,5.671,-19.695
0.546,0.514,0.43,-12.927,9.39,-22.805
0.539,0.499,0.407,-15.427,12.561,-26.402
0.529,0.476,0.38,-18.293,16.098,-30.549
0.511,0.449,0.352,-22.439,20.732,-35.0
0.483,0.404,0.317,-27.134,27.134,-39.756
0.458,0.345,0.285,-31.037,36.098,-44.512
0.434,0.299,0.252,-34.39,47.256,-50.915
0.396,0.268,0.211,-37.073,59.329,-57.866
0.356,0.263,0.181,-39.207,71.098,-65.0
0.309,0.287,0.168,-42.744,83.598,-72.561
0.27,0.306,0.162,-47.5,93.598,-79.939
0.229,0.293,0.18,-49.695,98.476,-86.646
0.168,0.287,0.229,-49.39,100.732,-92.622
0.131,0.313,0.292,-49.207,103.354,-98.293
0.136,0.334,0.328,-48.841,110.366,-103.049
0.16,0.325,0.32,-47.439,123.842,-107.317
0.178,0.309,0.3,-44.634,143.537,-112.561
0.17,0.294,0.261,-40.915,165.183,-117.744
0.12,0.31,0.22,-37.439,183.537,-122.744
0.049,0.361,0.192,-35.671,192.561,-128.293
-0.032,0.442,0.214,-35.732,190.915,-133.049
-0.104,0.521,0.271,-37.683,181.22,-135.061
-0.125,0.577,0.394,-40.061,167.195,-136.037
-0.117,0.62,0.544,-40.915,157.439,-134.146
-0.135,0.675,0.667,-38.171,153.842,-129.939
-0.188,0.79,0.816,-33.72,151.342,-127.744
-0.27,0.936,0.998,-28.354,150.122,-125.244
-0.314,1.056,1.162,-21.585,151.342,-120.549
-0.333,1.117,1.297,-14.024,154.329,-113.232
-0.37,1.106,1.38,-3.963,157.744,-104.695
-0.383,1.103,1.395,6.524,158.049,-96.037
-0.364,1.141,1.353,14.451,150.427,-84.451
-0.38,1.194,1.268,19.451,132.927,-72.073
-0.41,1.245,1.191,22.439,108.049,-61.463
-0.42,1.286,1.153,23.476,81.402,-51.037
-0.44,1.289,1.145,24.207,55.732,-41.037
-0.458,1.272,1.147,24.329,34.878,-32.317
-0.447,1.237,1.152,24.512,23.963,-23.598
-0.423,1.168,1.151,24.939,20.732,-15.915
-0.445,1.075,1.135,25.488,20.549,-8.841
-0.486,0.959,1.093,26.707,18.537,-2.988
-0.509,0.861,1.028,27.561,12.561,1.28
-0.531,0.792,0.957,26.768,4.268,5.854
-0.527,0.726,0.875,24.878,-4.573,9.878
-0.499,0.675,0.806,22.256,-12.256,12.5
-0.459,0.641,0.744,18.78,-17.805,14.268
-0.427,0.62,0.686,15.244,-20.427,15.0
-0.396,0.613,0.643,11.829,-21.768,14.939
-0.372,0.615,0.614,8.232,-24.146,14.634
-0.367,0.606,0.599,5.366,-27.378,14.024
-0.366,0.603,0.592,3.72,-31.159,13.232
-0.367,0.61,0.597,2.5,-33.963,12.988
-0.387,0.606,0.6,2.134,-35.427,13.171
-0.394,0.607,0.589,2.744,-35.915,12.683
-0.394,0.618,0.584,3.171,-35.671,12.683
-0.409,0.627,0.583,3.354,-34.024,13.11
-0.4,0.631,0.567,3.963,-30.427,12.805
-0.392,0.651,0.556,3.841,-26.341,13.11
-0.416,0.664,0.552,2.988,-23.537,13.78
-0.419,0.66,0.546,2.805,-21.524,14.207
-0.392,0.663,0.545,2.256,-19.146,14.817
-0.382,0.66,0.543,1.646,-16.829,15.183
-0.361,0.641,0.546,1.707,-16.28,14.939
-0.324,0.629,0.557,2.256,-17.012,13.902
-0.318,0.639,0.558,2.683,-18.049,12.683
-0.326,0.665,0.563,2.317,-19.146,11.585
-0.313,0.692,0.58,1.28,-19.268,11.037
-0.312,0.709,0.597,0.061,-18.293,11.463
-0.311,0.713,0.616,-0.976,-17.5,12.073
-0.297,0.702,0.638,-1.585,-17.256,12.683
-0.273,0.695,0.657,-1.829,-18.232,12.561
-0.248,0.689,0.666,-1.89,-21.098,12.012
-0.228,0.683,0.681,-1.768,-26.037,11.098
-0.222,0.682,0.699,-1.646,-30.0,10.488
-0.215,0.687,0.7,-1.585,-32.195,9.817
-0.19,0.692,0.698,-1.768,-34.268,8.78
-0.188,0.687,0.708,-1.646,-36.28,7.988
-0.189,0.679,0.706,-1.402,-38.78,7.012
-0.175,0.677,0.708,-1.585,-41.768,5.854
-0.165,0.671,0.712,-1.524,-44.634,5.061
-0.147,0.659,0.713,-0.732,-45.854,4.207
-0.115,0.658,0.712,0.183,-45.366,2.927
