acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.42,0.605,0.496,-5.061,-18.963,30.671
0.419,0.598,0.51,-5.366,-26.402,28.293
0.429,0.591,0.528,-4.878,-30.671,25.244
0.442,0.597,0.536,-4.451,-28.171,25.122
0.47,0.61,0.549,-3.902,-19.878,25.976
0.46,0.621,0.561,-3.11,-11.585,26.098
0.408,0.628,0.551,-2.134,-7.866,26.585
0.379,0.638,0.543,-1.22,-8.293,27.195
0.373,0.643,0.542,0.366,-10.122,28.049
0.406,0.635,0.54,2.927,-10.488,28.537
0.466,0.638,0.538,5.61,-9.146,27.805
0.507,0.649,0.537,7.561,-8.232,26.037
0.53,0.658,0.545,8.841,-9.634,23.78
0.521,0.667,0.546,9.756,-12.744,22.195
0.497,0.689,0.527,9.207,-16.463,22.012
0.492,0.708,0.514,6.951,-18.354,22.195
0.501,0.696,0.507,5.305,-16.646,22.927
0.509,0.663,0.494,6.159,-13.354,24.39
0.498,0.654,0.497,6.707,-10.915,25.549
0.469,0.662,0.499,5.61,-10.976,26.098
0.465,0.654,0.493,4.329,-12.866,26.951
0.48,0.639,0.485,2.988,-15.122,28.11
0.503,0.625,0.479,1.951,-17.988,29.207
0.528,0.617,0.476,0.732,-20.305,29.573
0.561,0.61,0.474,-0.915,-21.22,29.024
0.581,0.599,0.472,-2.195,-20.854,28.11
0.595,0.583,0.46,-3.11,-19.817,26.951
0.604,0.566,0.465,-3.902,-18.902,25.854
0.589,0.549,0.469,-4.085,-19.024,24.817
0.578,0.538,0.472,-4.451,-20.732,23.902
0.572,0.537,0.476,-4.573,-22.866,22.805
0.551,0.524,0.472,-3.537,-24.329,21.159
0.556,0.52,0.469,-1.646,-24.329,20.0
0.575,0.533,0.466,-0.61,-22.378,18.72
0.566,0.543,0.465,-0.61,-21.341,16.951
0.546,0.533,0.463,-0.732,-22.012,14.695
0.534,0.511,0.458,-0.366,-23.476,12.439
0.543,0.498,0.448,0.427,-24.512,10.122
0.547,0.499,0.438,1.098,-24.878,7.744
0.543,0.504,0.433,1.159,-25.0,5.305
0.548,0.503,0.433,0.488,-24.085,2.622
0.563,0.485,0.437,0.244,-21.585,0.061
0.583,0.459,0.435,0.732,-18.598,-2.805
0.601,0.451,0.424,0.854,-16.768,-6.585
0.61,0.452,0.425,-0.122,-16.341,-10.61
0.599,0.442,0.436,-1.585,-16.829,-14.329
0.584,0.425,0.432,-2.561,-17.439,-17.073
0.586,0.415,0.427,-3.659,-17.683,-19.207
0.583,0.414,0.417,-5.366,-18.72,-21.707
0.569,0.409,0.403,-7.744,-20.366,-25.061
0.568,0.395,0.377,-9.268,-21.89,-28.659
0.567,0.388,0.349,-10.244,-22.744,-31.28
0.565,0.407,0.329,-12.683,-22.439,-34.085
0.577,0.43,0.307,-15.732,-20.183,-37.378
0.592,0.432,0.292,-17.256,-16.341,-40.366
