acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.263,0.526,0.557,-49.39,-28.902,55.549
0.268,0.537,0.561,-44.512,-23.232,54.146
0.285,0.53,0.58,-39.573,-18.72,52.256
0.283,0.53,0.601,-34.268,-18.354,50.183
0.26,0.522,0.61,-30.183,-21.585,48.232
0.278,0.509,0.619,-26.951,-26.646,46.159
0.299,0.501,0.613,-23.11,-30.427,43.902
0.309,0.486,0.591,-19.695,-31.098,42.317
0.351,0.467,0.58,-17.561,-30.427,40.854
0.388,0.461,0.59,-16.463,-29.695,38.78
0.384,0.47,0.609,-15.61,-27.378,36.28
0.381,0.477,0.625,-15.366,-24.024,33.72
0.386,0.479,0.651,-15.976,-22.561,31.037
0.374,0.474,0.671,-16.22,-21.829,28.537
0.369,0.468,0.671,-15.061,-20.793,26.28
0.392,0.456,0.657,-13.354,-19.695,23.963
0.405,0.446,0.64,-12.805,-20.0,21.463
0.413,0.439,0.609,-12.683,-21.098,19.024
0.418,0.444,0.582,-12.073,-19.939,17.073
0.437,0.447,0.569,-11.585,-16.768,15.183
0.468,0.45,0.573,-11.098,-13.171,13.415
0.477,0.462,0.596,-10.305,-8.354,11.28
0.479,0.469,0.618,-10.122,-2.439,9.451
0.486,0.478,0.648,-10.915,2.5,7.866
0.483,0.483,0.677,-11.707,5.793,5.976
0.469,0.489,0.697,-11.646,7.195,4.146
0.465,0.48,0.714,-11.22,7.988,2.5
0.477,0.469,0.713,-10.854,7.683,1.28
0.479,0.466,0.684,-10.0,7.195,0.305
0.476,0.47,0.656,-8.537,6.463,-0.488
0.483,0.479,0.658,-6.89,5.854,-1.341
0.468,0.483,0.66,-5.427,7.561,-2.073
0.46,0.493,0.662,-4.756,9.268,-3.049
0.44,0.489,0.674,-3.537,11.098,-4.207
0.441,0.481,0.685,-2.012,12.5,-5.793
0.447,0.479,0.682,-0.61,13.354,-7.317
0.442,0.476,0.674,0.122,13.476,-8.902
0.433,0.479,0.67,0.732,12.805,-10.427
0.43,0.481,0.663,1.768,12.317,-12.134
0.414,0.48,0.65,2.866,11.707,-13.841
0.394,0.49,0.646,3.476,11.646,-15.244
0.387,0.497,0.656,3.598,13.78,-15.488
0.39,0.493,0.674,3.354,18.659,-14.878
0.434,0.485,0.718,2.622,21.768,-16.463
0.445,0.489,0.742,1.402,23.354,-18.476
0.411,0.484,0.729,0.488,24.634,-19.512
0.405,0.479,0.713,0.305,24.207,-20.305
0.387,0.493,0.692,0.793,23.72,-21.28
0.362,0.502,0.683,1.159,23.476,-22.378
0.355,0.512,0.704,0.915,23.11,-23.232
0.346,0.525,0.72,0.488,22.134,-24.39
0.344,0.524,0.721,0.305,18.963,-25.732
0.339,0.516,0.705,1.463,15.793,-26.341
0.337,0.501,0.669,2.866,15.305,-25.854
0.357,0.503,0.663,4.939,18.963,-23.476
0.356,0.509,0.69,4.817,24.939,-22.805
0.38,0.531,0.759,3.598,26.22,-24.207
0.334,0.564,0.797,4.207,25.976,-24.817
