acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.034,0.659,0.559,-50.488,-30.732,65.244
0.067,0.661,0.585,-46.28,-34.085,65.244
0.107,0.646,0.601,-42.378,-37.439,63.963
0.181,0.627,0.612,-39.634,-41.098,61.768
0.247,0.606,0.612,-37.317,-42.744,59.451
0.286,0.586,0.6,-36.159,-41.524,57.927
0.308,0.579,0.596,-36.037,-40.61,56.341
0.291,0.569,0.612,-35.061,-41.037,54.878
0.233,0.569,0.622,-33.841,-40.488,53.963
0.236,0.571,0.633,-32.073,-39.268,52.683
0.229,0.576,0.648,-29.573,-36.951,51.037
0.22,0.566,0.648,-28.354,-34.024,49.573
0.268,0.553,0.651,-27.988,-33.659,47.988
0.304,0.547,0.648,-28.415,-35.0,46.463
0.325,0.537,0.634,-27.866,-35.305,44.817
0.343,0.524,0.621,-27.317,-34.939,43.171
0.361,0.521,0.614,-26.768,-35.061,41.585
0.358,0.533,0.603,-25.061,-33.598,40.305
0.362,0.541,0.598,-23.415,-29.695,39.512
0.369,0.545,0.6,-21.585,-23.902,38.232
0.359,0.547,0.615,-20.244,-18.476,36.768
0.37,0.546,0.643,-19.878,-16.951,35.122
0.355,0.543,0.661,-19.512,-17.439,33.476
0.356,0.529,0.655,-19.146,-17.134,31.829
0.386,0.52,0.646,-19.512,-17.378,29.939
0.399,0.505,0.644,-19.634,-17.256,27.927
0.396,0.493,0.656,-19.512,-16.951,25.976
0.396,0.482,0.658,-19.268,-16.463,24.024
0.396,0.476,0.644,-18.293,-14.329,22.5
0.404,0.47,0.637,-16.28,-11.22,20.671
0.407,0.467,0.634,-14.085,-8.049,18.659
0.4,0.468,0.623,-12.012,-4.512,16.89
0.402,0.476,0.611,-10.549,-1.524,15.366
0.396,0.478,0.61,-9.756,-0.061,13.841
0.392,0.479,0.621,-9.939,0.305,13.171
0.391,0.479,0.629,-10.183,-0.061,13.11
0.41,0.477,0.644,-10.0,-0.244,12.683
0.409,0.464,0.656,-9.512,0.488,11.646
0.42,0.453,0.674,-8.354,1.159,9.695
0.418,0.449,0.687,-7.622,2.073,7.805
0.415,0.444,0.691,-6.707,2.683,5.671
0.413,0.438,0.687,-5.244,3.049,3.659
0.412,0.438,0.672,-3.476,3.415,2.195
0.411,0.447,0.655,-2.317,3.354,1.098
0.409,0.454,0.646,-1.098,3.598,0.122
0.411,0.458,0.647,0.549,5.122,-1.22
0.41,0.46,0.654,1.524,7.439,-2.256
0.406,0.459,0.658,2.317,8.963,-3.293
0.396,0.462,0.675,3.415,9.451,-4.634
0.388,0.459,0.688,4.329,10.732,-6.22
0.398,0.463,0.688,5.671,11.829,-8.049
0.396,0.46,0.68,7.317,12.561,-9.756
0.398,0.46,0.67,8.659,13.11,-11.707
0.393,0.467,0.666,9.817,14.39,-13.537
0.391,0.472,0.677,10.732,15.549,-15.244
0.375,0.478,0.688,11.707,15.854,-16.585
0.364,0.482,0.688,11.646,15.793,-17.378
0.365,0.477,0.681,11.098,15.793,-18.537
0.371,0.479,0.67,10.793,16.524,-20.244
0.375,0.482,0.67,10.61,17.378,-22.134
0.368,0.488,0.663,11.524,19.268,-23.476
0.357,0.5,0.656,12.317,22.744,-24.268
0.349,0.508,0.667,12.927,25.0,-25.183
0.344,0.513,0.678,13.537,25.671,-25.671
0.339,0.513,0.689,14.024,25.915,-25.915
0.337,0.509,0.697,14.207,26.28,-26.829
0.348,0.503,0.691,14.39,25.732,-27.988
0.345,0.511,0.692,14.39,25.732,-29.573
0.333,0.509,0.692,14.573,26.89,-31.707
0.326,0.503,0.683,15.061,28.354,-33.963
0.309,0.506,0.655,16.28,30.183,-36.341
0.311,0.508,0.64,18.171,32.805,-38.537
0.293,0.513,0.625,19.878,35.915,-39.939
0.282,0.519,0.632,20.427,36.951,-40.915
0.269,0.527,0.647,20.61,36.585,-41.707
0.26,0.534,0.676,21.037,34.939,-43.293
0.266,0.535,0.692,21.707,32.622,-45.305
0.268,0.542,0.697,22.195,31.463,-47.134
0.28,0.553,0.7,22.561,31.28,-48.293
0.27,0.57,0.697,23.537,31.951,-48.841
0.243,0.583,0.681,24.817,34.024,-49.085
0.221,0.593,0.667,26.341,36.341,-49.024
0.212,0.606,0.666,27.378,37.988,-49.146
0.215,0.62,0.669,27.866,37.866,-49.39
0.203,0.623,0.675,28.415,36.768,-49.817
0.201,0.632,0.682,29.573,35.976,-50.122
0.188,0.641,0.676,30.854,35.976,-50.061
0.164,0.649,0.67,30.976,37.134,-49.939
0.156,0.663,0.684,30.549,38.293,-50.061
0.143,0.673,0.699,29.634,38.598,-50.122
0.126,0.677,0.702,29.39,38.537,-49.878
0.115,0.683,0.69,30.061,39.024,-49.756
0.118,0.684,0.679,30.061,39.878,-49.695
