acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.222,0.644,0.658,-34.146,-13.354,45.183
0.255,0.631,0.643,-30.488,-12.317,43.902
0.297,0.614,0.638,-27.439,-10.61,42.012
0.311,0.608,0.64,-25.183,-10.671,39.634
0.297,0.607,0.639,-23.171,-12.5,37.561
0.274,0.594,0.638,-20.122,-13.78,35.976
0.268,0.579,0.646,-17.927,-15.122,34.268
0.274,0.579,0.649,-16.28,-15.244,32.866
0.261,0.574,0.66,-15.305,-14.634,31.22
0.264,0.574,0.665,-14.878,-13.963,29.512
0.264,0.581,0.657,-13.963,-12.561,28.232
0.275,0.589,0.641,-13.72,-10.976,27.439
0.295,0.579,0.631,-13.902,-10.366,26.646
0.284,0.568,0.636,-13.78,-9.817,25.366
0.292,0.559,0.644,-12.561,-8.11,24.39
0.313,0.546,0.647,-11.707,-7.012,23.232
0.32,0.547,0.653,-11.341,-6.829,22.134
0.312,0.552,0.662,-11.463,-6.89,21.037
0.306,0.562,0.674,-10.793,-6.646,18.963
0.3,0.568,0.683,-10.244,-6.463,16.402
0.308,0.568,0.688,-10.244,-6.463,13.963
0.307,0.567,0.688,-10.183,-6.707,11.89
0.317,0.563,0.687,-10.366,-7.561,10.976
0.319,0.555,0.683,-10.549,-7.744,10.854
0.323,0.548,0.677,-10.61,-6.89,10.854
0.333,0.56,0.674,-10.122,-5.427,10.793
0.323,0.582,0.682,-9.268,-4.451,10.366
0.309,0.591,0.687,-8.293,-3.72,9.878
0.311,0.598,0.698,-6.951,-3.11,9.085
0.313,0.6,0.709,-6.159,-2.744,8.415
0.309,0.598,0.708,-5.793,-3.11,7.622
0.305,0.598,0.708,-5.488,-3.841,6.768
0.304,0.596,0.711,-5.61,-4.085,5.976
0.307,0.585,0.71,-5.183,-4.512,5.244
0.302,0.578,0.702,-4.39,-4.939,4.512
0.3,0.574,0.699,-4.146,-5.305,4.268
0.3,0.577,0.689,-3.902,-6.098,4.085
0.29,0.583,0.678,-3.354,-5.976,3.72
0.283,0.587,0.675,-2.866,-4.878,3.415
0.288,0.585,0.674,-2.927,-3.72,3.232
0.299,0.591,0.673,-2.683,-1.951,2.439
0.304,0.594,0.678,-2.683,-0.854,1.646
0.291,0.586,0.68,-2.927,-0.427,1.098
0.283,0.58,0.678,-3.232,-0.427,0.488
0.291,0.577,0.679,-3.171,-0.549,-0.427
0.294,0.574,0.677,-2.866,-0.366,-1.402
0.3,0.572,0.67,-2.378,-0.305,-2.378
0.295,0.578,0.667,-1.768,-0.488,-3.171
0.287,0.583,0.667,-1.159,0.244,-3.78
0.287,0.594,0.665,-0.427,1.951,-4.634
0.282,0.596,0.67,0.305,3.963,-5.671
0.287,0.597,0.681,0.915,5.61,-6.22
0.292,0.597,0.688,1.037,6.159,-6.585
0.3,0.594,0.692,0.671,5.732,-7.195
0.288,0.595,0.691,0.549,5.0,-7.805
0.262,0.594,0.686,0.61,4.817,-8.232
0.266,0.593,0.685,0.793,4.756,-8.78
0.273,0.594,0.678,0.854,4.268,-9.268
0.27,0.596,0.667,1.707,4.756,-9.39
0.268,0.597,0.659,2.927,6.646,-9.39
0.271,0.586,0.665,3.841,8.598,-9.756
0.282,0.584,0.681,4.024,10.061,-10.488
0.292,0.587,0.707,3.841,10.183,-11.524
0.292,0.586,0.721,3.476,9.085,-12.805
0.278,0.603,0.707,3.841,7.805,-13.354
0.265,0.614,0.677,4.329,7.561,-13.415
0.265,0.622,0.661,4.817,8.232,-13.72
0.252,0.618,0.668,5.0,9.512,-14.085
0.258,0.614,0.679,5.244,9.817,-14.695
0.26,0.612,0.684,5.549,10.183,-15.244
0.256,0.608,0.681,6.037,10.366,-15.854
0.268,0.601,0.677,6.341,9.634,-16.585
0.263,0.595,0.668,6.951,9.451,-17.195
0.249,0.599,0.661,7.561,10.427,-17.805
0.25,0.605,0.652,7.744,11.28,-18.354
0.252,0.616,0.653,7.744,12.317,-18.841
0.238,0.614,0.661,8.171,13.78,-19.329
0.233,0.611,0.664,8.415,14.329,-19.695
0.236,0.61,0.662,8.72,14.695,-20.0
0.248,0.604,0.659,8.171,14.634,-20.732
0.245,0.604,0.655,8.415,14.573,-21.463
0.236,0.606,0.657,9.146,15.0,-22.378
0.245,0.612,0.655,10.0,15.366,-23.171
0.241,0.615,0.66,10.854,16.28,-23.963
0.245,0.613,0.661,11.28,17.378,-24.756
0.24,0.617,0.667,11.829,18.476,-26.037
0.226,0.62,0.671,12.317,19.878,-27.195
0.212,0.619,0.678,12.927,21.098,-27.866
0.214,0.616,0.685,13.415,21.951,-28.963
0.237,0.62,0.693,13.841,22.134,-30.061
0.221,0.63,0.68,14.329,22.378,-30.854
0.209,0.627,0.655,14.756,22.927,-31.463
0.205,0.634,0.642,15.61,24.146,-32.256
0.204,0.64,0.633,16.585,26.159,-33.11
0.199,0.638,0.624,17.195,28.232,-33.537
0.187,0.634,0.623,17.683,30.244,-33.598
0.191,0.624,0.625,17.866,31.524,-34.146
0.199,0.61,0.63,17.683,32.317,-35.366
0.187,0.601,0.636,17.683,32.866,-37.439
0.171,0.599,0.63,18.72,33.659,-39.878
0.16,0.601,0.623,19.634,35.061,-41.951
0.142,0.594,0.604,20.732,36.89,-43.537
0.128,0.595,0.593,22.622,39.878,-44.817
0.135,0.59,0.593,23.415,43.171,-46.829
0.147,0.591,0.603,24.268,44.878,-48.902
0.133,0.59,0.6,26.22,46.646,-50.732
0.127,0.583,0.586,28.415,47.988,-52.744
0.102,0.582,0.575,31.098,48.476,-54.939
0.082,0.586,0.555,34.024,50.061,-57.073
0.087,0.595,0.545,36.463,52.073,-59.268
0.077,0.598,0.545,39.207,53.598,-61.341
0.063,0.6,0.538,42.256,56.402,-62.805
0.057,0.593,0.536,45.183,60.488,-64.207
0.065,0.578,0.545,48.232,62.439,-66.22
0.04,0.577,0.535,51.524,64.512,-68.415
0.011,0.578,0.521,54.756,67.012,-70.671
-0.02,0.585,0.504,58.049,68.902,-72.378
-0.041,0.581,0.484,60.732,69.451,-74.146
-0.042,0.582,0.479,63.232,68.476,-76.159
-0.067,0.583,0.467,66.159,67.561,-78.537
-0.08,0.572,0.446,69.39,68.354,-81.463
-0.1,0.564,0.426,72.622,70.427,-84.207
-0.128,0.554,0.404,76.585,72.439,-87.073
-0.15,0.549,0.372,80.854,75.732,-89.756
-0.169,0.554,0.333,85.244,80.61,-91.951
-0.182,0.555,0.306,88.841,84.939,-94.39
-0.186,0.557,0.294,91.951,87.805,-97.134
