acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.021,0.692,0.624,-29.146,-13.902,36.646
0.048,0.696,0.609,-29.024,-17.195,35.427
0.057,0.709,0.59,-28.78,-19.756,33.415
0.05,0.718,0.569,-28.049,-21.22,30.488
0.031,0.731,0.547,-26.463,-20.244,27.866
0.004,0.741,0.52,-25.366,-17.195,26.89
-0.009,0.744,0.501,-24.756,-15.305,26.037
-0.018,0.744,0.505,-24.573,-15.244,25.854
-0.022,0.738,0.52,-24.085,-15.183,25.549
0.014,0.726,0.534,-23.232,-14.085,25.122
0.058,0.707,0.551,-23.354,-13.232,24.817
0.073,0.688,0.565,-23.78,-13.902,24.207
0.054,0.681,0.571,-24.268,-15.61,23.659
0.041,0.683,0.563,-23.659,-17.195,22.439
0.034,0.688,0.559,-22.683,-17.927,20.427
0.044,0.685,0.551,-21.707,-17.134,17.622
0.063,0.686,0.544,-20.732,-16.22,14.024
0.072,0.675,0.53,-20.549,-17.622,10.854
0.066,0.668,0.51,-20.732,-18.476,9.146
0.068,0.655,0.513,-21.524,-13.78,9.878
0.101,0.635,0.563,-21.707,-7.683,8.537
0.119,0.643,0.602,-20.549,-4.329,6.098
0.089,0.652,0.618,-19.634,-1.524,4.39
0.093,0.656,0.628,-18.476,0.488,2.927
0.106,0.657,0.63,-17.195,0.793,1.341
0.12,0.661,0.614,-15.732,0.366,-0.244
0.113,0.658,0.602,-13.78,0.427,-1.463
0.114,0.652,0.595,-12.195,-0.427,-2.378
0.106,0.647,0.59,-10.915,-2.195,-2.744
0.087,0.656,0.595,-9.085,-1.28,-3.049
0.099,0.651,0.594,-8.232,1.037,-3.476
0.1,0.652,0.585,-7.256,2.927,-3.902
0.091,0.667,0.583,-5.732,5.061,-4.878
0.098,0.667,0.589,-4.146,8.049,-5.732
0.103,0.658,0.593,-2.561,10.183,-6.585
0.101,0.657,0.599,-1.463,10.671,-7.134
0.096,0.658,0.601,-0.732,10.244,-7.683
0.085,0.661,0.608,0.122,11.28,-8.537
0.076,0.664,0.632,0.976,11.585,-9.878
0.071,0.671,0.656,1.646,9.451,-10.976
0.068,0.673,0.665,1.646,7.134,-11.829
0.069,0.676,0.664,2.317,6.28,-12.195
0.065,0.684,0.65,3.537,7.378,-12.256
0.071,0.69,0.632,4.573,9.024,-12.317
0.077,0.708,0.629,5.549,10.61,-12.317
0.074,0.724,0.641,6.28,11.341,-12.195
0.062,0.735,0.651,6.89,11.89,-12.073
0.047,0.74,0.663,7.073,12.439,-11.829
0.044,0.743,0.671,7.256,12.317,-11.463
0.037,0.75,0.672,7.073,11.28,-10.915
0.025,0.753,0.669,6.524,9.817,-10.122
0.022,0.755,0.663,6.341,8.476,-9.329
0.015,0.75,0.662,6.037,8.171,-8.598
0.02,0.741,0.67,5.244,8.78,-8.415
0.033,0.738,0.683,4.146,7.927,-8.11
0.011,0.735,0.68,3.415,5.671,-7.317
-0.007,0.736,0.665,3.476,4.512,-6.524
-0.005,0.739,0.653,3.476,4.756,-6.585
0.018,0.737,0.651,2.927,4.817,-7.378
0.008,0.742,0.655,2.622,6.098,-8.354
-0.001,0.745,0.643,2.439,6.951,-8.72
0.005,0.739,0.63,2.744,6.098,-8.841
-0.002,0.736,0.62,3.598,5.976,-8.841
-0.002,0.738,0.612,4.756,7.256,-9.329
0.001,0.735,0.614,5.122,8.72,-9.512
-0.002,0.724,0.621,4.878,9.756,-9.756
-0.002,0.718,0.633,4.756,10.061,-10.366
-0.006,0.709,0.629,4.512,9.695,-11.098
-0.016,0.703,0.619,4.695,9.573,-11.524
-0.019,0.703,0.608,4.817,9.756,-11.829
-0.012,0.694,0.608,5.0,8.902,-12.134
-0.008,0.687,0.61,5.122,8.232,-11.951
-0.004,0.691,0.617,5.427,8.72,-11.951
-0.019,0.695,0.616,5.549,8.72,-12.439
-0.028,0.696,0.607,6.524,9.39,-12.317
-0.024,0.701,0.587,8.171,12.073,-12.866
-0.018,0.697,0.573,9.451,14.939,-14.207
-0.02,0.699,0.563,10.488,17.622,-15.671
-0.01,0.697,0.564,11.707,20.732,-17.073
-0.004,0.686,0.57,13.354,23.598,-18.293
0.0,0.666,0.576,14.207,23.963,-19.817
-0.004,0.656,0.575,15.061,22.744,-20.854
-0.014,0.642,0.566,16.585,22.561,-22.134
-0.004,0.616,0.56,18.963,24.207,-24.573
0.013,0.602,0.563,21.22,26.28,-27.988
0.033,0.59,0.576,23.049,27.378,-31.402
0.018,0.586,0.578,25.0,28.354,-34.451
-0.011,0.583,0.561,26.951,30.061,-37.561
-0.024,0.58,0.535,29.085,32.927,-40.488
-0.032,0.566,0.507,31.524,37.073,-43.171
-0.038,0.552,0.475,33.841,41.951,-45.488
-0.027,0.53,0.457,35.61,46.28,-47.866
-0.023,0.512,0.443,37.5,49.634,-50.549
-0.029,0.502,0.42,40.061,52.561,-53.841
-0.043,0.502,0.392,43.11,55.915,-57.317
-0.064,0.508,0.376,46.585,58.963,-60.61
-0.09,0.519,0.365,50.427,61.037,-63.598
-0.134,0.535,0.356,54.817,63.476,-66.341
-0.166,0.546,0.357,59.817,67.317,-69.573
-0.202,0.545,0.352,65.0,70.793,-72.866
-0.223,0.546,0.338,69.329,72.5,-76.768
-0.217,0.549,0.327,73.598,73.293,-81.037
-0.241,0.549,0.313,77.5,75.183,-85.793
-0.248,0.557,0.301,80.549,77.744,-89.939
-0.269,0.565,0.282,82.805,79.634,-93.72
-0.329,0.593,0.264,84.512,80.122,-96.829
-0.394,0.615,0.247,85.061,80.732,-98.902
-0.429,0.625,0.233,85.122,82.378,-100.061
-0.464,0.628,0.226,86.037,84.817,-101.098
-0.48,0.632,0.207,86.768,86.585,-102.134
-0.488,0.64,0.189,86.707,86.829,-102.927
-0.528,0.651,0.174,86.768,86.159,-104.085
-0.574,0.67,0.157,86.89,86.707,-105.488
-0.612,0.684,0.155,86.463,87.927,-106.22
-0.673,0.707,0.146,85.671,88.902,-106.951
-0.736,0.74,0.145,84.634,89.451,-107.317
-0.777,0.764,0.123,83.232,88.232,-107.317
-0.797,0.788,0.099,81.89,85.671,-105.976
-0.83,0.808,0.096,81.951,86.951,-103.293
-0.845,0.793,0.109,79.878,89.207,-104.39
-0.826,0.817,0.15,76.646,84.939,-105.305
-0.875,0.866,0.13,72.622,79.634,-102.866
-0.902,0.871,0.066,69.939,72.622,-99.512
-0.917,0.891,0.014,68.72,64.573,-96.646
-0.917,0.905,0.017,68.902,61.463,-94.878
-0.896,0.901,0.078,67.866,60.61,-94.695
-0.908,0.898,0.127,63.78,57.073,-94.756
-0.977,0.908,0.145,58.902,52.195,-91.037
-1.032,0.909,0.111,52.744,45.732,-85.061
-1.091,0.939,0.063,46.341,40.488,-77.927
-1.126,0.96,0.035,40.793,37.927,-70.366
-1.109,0.953,0.012,35.671,35.61,-63.232
-1.104,0.939,-0.012,30.61,32.195,-56.89
-1.094,0.933,-0.033,26.646,28.232,-51.037
-1.07,0.911,-0.027,22.622,23.049,-45.549
-1.079,0.902,-0.019,19.329,17.805,-40.244
-1.102,0.904,-0.029,17.256,14.451,-35.305
