acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.078,0.725,0.795,17.439,29.085,6.829
-0.184,0.858,0.638,11.098,26.28,5.854
-0.151,0.924,0.525,4.451,21.951,6.707
-0.094,0.93,0.453,0.549,14.024,6.951
-0.075,0.902,0.404,-2.622,2.317,7.866
-0.09,0.889,0.367,-6.098,-7.805,8.11
-0.106,0.896,0.371,-7.744,-12.805,6.585
-0.104,0.896,0.409,-7.805,-13.415,5.244
-0.08,0.889,0.455,-7.378,-9.573,5.732
-0.051,0.875,0.517,-4.695,-1.402,6.159
-0.036,0.853,0.574,-0.549,7.5,5.0
-0.02,0.839,0.591,2.805,14.085,4.207
-0.035,0.848,0.566,4.756,17.012,4.329
-0.046,0.872,0.498,4.878,16.707,5.366
-0.068,0.893,0.431,4.939,15.122,5.732
-0.079,0.896,0.38,5.0,13.171,5.305
-0.08,0.903,0.346,4.268,10.244,5.305
-0.073,0.91,0.339,3.171,7.134,5.122
-0.065,0.91,0.348,2.622,5.122,4.634
-0.064,0.899,0.371,2.988,4.451,4.329
-0.063,0.888,0.394,3.476,5.854,4.268
-0.064,0.889,0.411,3.598,7.683,4.207
-0.076,0.893,0.409,3.415,7.805,4.207
-0.099,0.9,0.397,2.378,6.159,4.268
-0.109,0.906,0.388,1.402,4.329,4.329
-0.095,0.896,0.385,1.037,3.598,3.659
-0.06,0.875,0.384,1.098,2.622,2.927
-0.03,0.861,0.382,1.037,1.402,1.646
-0.022,0.862,0.387,0.244,0.183,0.122
-0.015,0.868,0.391,-0.732,-1.098,-1.098
-0.019,0.869,0.389,-1.037,-2.317,-1.463
-0.026,0.857,0.385,-0.549,-2.561,-1.585
-0.028,0.855,0.393,0.122,-2.256,-1.707
-0.03,0.865,0.4,0.488,-2.622,-1.951
-0.051,0.88,0.395,0.61,-3.841,-2.5
-0.069,0.896,0.389,0.366,-4.207,-2.927
-0.067,0.905,0.389,0.732,-3.415,-2.622
-0.064,0.894,0.394,2.439,-1.646,-1.646
-0.078,0.885,0.399,3.537,0.976,-1.098
-0.086,0.893,0.395,3.902,2.927,-1.098
-0.082,0.911,0.393,3.232,2.012,-1.524
-0.087,0.92,0.382,1.768,-0.854,-0.915
-0.086,0.914,0.366,0.366,-4.146,-0.488
-0.083,0.906,0.357,-1.28,-5.915,-0.671
-0.078,0.899,0.361,-2.5,-5.854,-1.829
-0.079,0.887,0.364,-3.598,-5.0,-3.11
-0.079,0.876,0.361,-5.61,-4.39,-5.183
-0.094,0.869,0.35,-8.049,-2.622,-8.476
-0.109,0.846,0.334,-10.183,-0.976,-12.439
-0.113,0.818,0.3,-11.707,-2.256,-17.256
-0.148,0.794,0.273,-13.476,-2.195,-21.098
-0.162,0.777,0.282,-15.549,0.854,-24.756
-0.147,0.762,0.301,-16.22,3.902,-27.866
-0.157,0.729,0.318,-14.329,6.829,-30.122
-0.163,0.708,0.32,-10.549,8.78,-30.549
-0.174,0.743,0.321,-9.573,8.598,-31.524
-0.22,0.851,0.321,-12.073,7.561,-31.585
-0.211,0.928,0.316,-13.049,8.171,-30.122
-0.166,0.914,0.315,-12.073,9.024,-28.963
-0.115,0.892,0.336,-11.829,7.744,-25.915
-0.099,0.893,0.392,-10.366,6.707,-23.72
-0.113,0.906,0.441,-9.878,6.037,-22.805
-0.091,0.936,0.461,-8.963,4.146,-20.244
-0.091,0.926,0.463,-6.159,4.39,-19.512
-0.08,0.909,0.465,-2.378,11.524,-17.927
-0.06,0.894,0.525,-0.854,17.012,-18.78
-0.037,0.918,0.501,0.122,16.585,-16.28
-0.084,0.911,0.456,2.561,15.549,-12.378
-0.075,0.875,0.437,4.817,15.244,-11.341
-0.09,0.869,0.427,5.915,14.085,-10.61
-0.124,0.888,0.415,6.524,13.537,-8.902
-0.119,0.891,0.423,8.171,12.927,-7.927
-0.117,0.893,0.43,9.817,10.854,-6.098
-0.127,0.916,0.436,10.427,8.78,-3.841
-0.131,0.949,0.446,10.061,7.073,-1.89
-0.138,0.978,0.449,9.39,5.488,0.549
-0.15,0.997,0.436,8.11,3.902,2.988
-0.167,1.012,0.428,6.22,3.11,5.122
-0.177,1.018,0.422,4.512,3.11,7.805
-0.175,1.008,0.419,3.415,3.598,10.671
-0.182,0.99,0.422,2.683,4.146,12.866
-0.195,0.98,0.42,2.195,3.659,13.598
-0.19,0.971,0.426,1.402,2.744,14.146
-0.167,0.957,0.423,1.098,2.256,14.39
-0.155,0.93,0.421,1.707,2.256,14.39
-0.144,0.909,0.427,2.195,2.317,14.329
-0.14,0.902,0.43,2.195,1.524,14.268
-0.138,0.906,0.431,1.951,0.183,14.207
-0.14,0.906,0.423,1.707,-1.037,14.146
-0.132,0.901,0.412,1.646,-1.707,14.024
-0.128,0.896,0.402,1.585,-1.951,14.268
-0.125,0.889,0.392,1.28,-1.951,14.207
-0.13,0.883,0.389,0.793,-1.89,14.512
-0.131,0.872,0.391,0.915,-1.768,14.817
-0.136,0.856,0.39,1.159,-1.951,14.756
-0.134,0.852,0.386,1.098,-3.171,14.451
-0.129,0.852,0.383,1.037,-4.634,13.476
-0.119,0.854,0.38,1.098,-5.244,12.073
-0.115,0.849,0.377,1.768,-4.939,10.854
-0.116,0.838,0.37,2.378,-5.122,9.451
-0.117,0.839,0.367,2.256,-6.22,8.171
-0.123,0.849,0.369,2.134,-6.768,6.768
-0.12,0.855,0.373,2.439,-6.22,5.854
-0.105,0.851,0.382,2.561,-5.732,4.878
-0.103,0.857,0.388,2.195,-5.854,3.72
-0.109,0.866,0.397,2.134,-6.037,2.134
-0.115,0.869,0.402,2.256,-6.22,0.854
-0.11,0.872,0.398,2.256,-6.524,0.244
-0.109,0.872,0.397,2.317,-6.829,-0.305
-0.107,0.88,0.399,2.134,-6.037,-0.976
-0.108,0.887,0.394,1.89,-5.488,-1.768
-0.105,0.89,0.381,1.524,-6.585,-1.646
-0.109,0.895,0.375,1.22,-7.378,-1.341
-0.12,0.899,0.376,1.037,-7.134,-1.524
-0.107,0.909,0.381,0.976,-6.829,-0.915
-0.097,0.904,0.389,1.098,-6.768,-0.244
-0.101,0.899,0.397,1.585,-6.28,-0.244
-0.099,0.896,0.397,1.951,-5.854,-0.183
-0.096,0.9,0.385,1.463,-6.159,0.183
-0.096,0.904,0.378,0.427,-6.707,0.366
-0.086,0.902,0.372,0.183,-6.037,1.159
-0.075,0.888,0.377,0.549,-4.573,2.195
-0.081,0.874,0.382,0.427,-4.207,2.683
-0.096,0.875,0.389,-0.549,-5.122,2.622
-0.102,0.882,0.396,-0.61,-5.61,2.195
-0.094,0.876,0.399,0.183,-5.0,1.89
-0.081,0.868,0.389,0.305,-4.39,0.976
-0.074,0.88,0.377,-0.061,-4.207,0.183
-0.073,0.888,0.378,-0.122,-4.817,-0.366
-0.076,0.877,0.384,0.427,-3.72,-0.366
-0.086,0.867,0.387,1.037,-1.585,-0.671
-0.094,0.864,0.39,1.037,-0.976,-0.793
-0.103,0.862,0.391,0.61,-2.195,0.305
-0.108,0.863,0.375,1.22,-2.988,0.244
-0.098,0.863,0.367,1.646,-5.366,0.488
-0.071,0.86,0.379,1.28,-8.659,0.976
-0.08,0.864,0.376,1.037,-8.537,-0.122
-0.078,0.864,0.383,0.427,-5.61,-1.524
-0.066,0.861,0.405,0.549,0.0,-3.963
-0.078,0.853,0.407,0.976,5.732,-6.768
-0.083,0.852,0.398,0.0,7.622,-8.537
-0.084,0.862,0.385,-1.768,7.561,-8.902
-0.088,0.867,0.378,-3.476,5.305,-10.366
-0.082,0.864,0.379,-3.537,2.073,-12.622
-0.093,0.865,0.399,-3.902,2.866,-12.622
