acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.047,0.946,0.365,-4.512,5.488,5.427
-0.03,0.94,0.389,-4.817,8.537,7.622
-0.019,0.932,0.406,-4.451,10.793,7.683
-0.035,0.925,0.42,-3.72,9.512,8.293
-0.079,0.921,0.419,-2.439,8.78,9.024
-0.086,0.917,0.426,-1.22,11.585,9.329
-0.064,0.92,0.438,-0.793,15.549,9.695
-0.067,0.923,0.436,-1.098,17.256,9.146
-0.096,0.922,0.425,-1.463,17.866,7.683
-0.092,0.912,0.423,-1.829,17.622,6.524
-0.066,0.9,0.41,-1.951,15.427,5.854
-0.048,0.892,0.392,-2.317,11.951,3.841
-0.042,0.888,0.386,-3.354,7.5,2.439
-0.027,0.886,0.385,-4.024,3.232,0.915
-0.034,0.893,0.375,-4.756,-0.061,-0.61
-0.033,0.899,0.372,-5.915,-2.439,-0.854
-0.035,0.899,0.377,-6.159,-2.439,-1.098
-0.047,0.896,0.382,-5.671,-1.524,-1.463
-0.04,0.892,0.387,-5.244,-1.951,-1.829
-0.054,0.889,0.389,-4.756,-2.5,-1.951
-0.061,0.891,0.382,-3.963,-2.317,-2.012
-0.046,0.89,0.38,-3.354,-2.561,-1.89
-0.044,0.891,0.377,-2.866,-2.622,-1.707
-0.052,0.895,0.377,-2.073,-1.829,-1.402
-0.041,0.895,0.373,-1.524,-1.524,-0.976
-0.043,0.9,0.368,-1.524,-1.28,-0.915
-0.054,0.901,0.359,-1.768,-1.159,-1.037
-0.052,0.9,0.346,-1.463,-1.22,-1.037
-0.063,0.894,0.344,-0.976,-2.256,-1.28
-0.064,0.891,0.346,-0.793,-2.927,-0.854
-0.069,0.896,0.351,-1.037,-3.11,-0.366
-0.077,0.899,0.354,-1.098,-2.073,-0.305
-0.077,0.898,0.356,-1.037,-0.427,-0.122
-0.073,0.891,0.358,-1.037,1.098,0.061
-0.079,0.889,0.358,-1.22,1.28,0.0
-0.087,0.893,0.354,-0.915,2.134,-0.305
-0.087,0.891,0.369,-0.61,2.378,-0.244
-0.066,0.895,0.371,-1.159,0.854,-0.305
-0.094,0.916,0.339,-1.098,0.488,-0.122
-0.102,0.91,0.35,-0.671,1.707,0.0
-0.077,0.902,0.358,-0.671,1.463,0.061
-0.089,0.904,0.347,-1.28,1.22,0.488
-0.092,0.905,0.337,-1.22,1.524,0.122
-0.088,0.893,0.338,-1.402,1.768,-0.854
-0.085,0.886,0.333,-2.073,1.28,-1.585
-0.086,0.88,0.323,-2.927,0.61,-2.683
