acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.018,0.963,0.272,-8.537,16.159,1.341
0.012,0.95,0.308,-8.659,13.11,1.646
-0.007,0.95,0.367,-7.927,11.585,3.049
-0.045,0.949,0.44,-6.28,13.659,4.878
-0.072,0.938,0.494,-3.537,17.5,5.61
-0.058,0.924,0.497,-1.951,20.061,6.28
-0.052,0.919,0.469,-1.768,19.451,5.671
-0.041,0.917,0.414,-2.927,16.646,5.0
-0.009,0.913,0.357,-3.902,11.89,4.024
-0.002,0.896,0.328,-3.841,7.744,2.622
-0.01,0.889,0.337,-3.415,6.463,1.829
0.002,0.891,0.365,-3.232,7.622,0.976
0.002,0.897,0.381,-2.805,9.451,-0.366
0.0,0.903,0.376,-2.317,10.549,-1.098
-0.002,0.909,0.36,-2.134,10.61,-0.427
-0.005,0.917,0.348,-1.89,10.427,1.463
0.001,0.92,0.345,-1.707,10.061,2.195
-0.01,0.926,0.353,-1.402,9.39,3.11
-0.021,0.931,0.353,-1.402,8.415,3.659
-0.027,0.938,0.358,-1.524,7.439,3.78
-0.026,0.942,0.366,-1.22,6.159,4.085
-0.019,0.938,0.361,-0.976,4.756,4.634
-0.024,0.928,0.359,-0.61,4.207,4.939
-0.028,0.921,0.358,-0.122,4.085,4.939
-0.022,0.912,0.355,0.122,3.72,5.366
-0.024,0.906,0.349,-0.122,3.415,5.366
-0.028,0.903,0.346,-0.366,3.659,4.512
-0.025,0.899,0.339,-0.427,4.756,4.085
-0.024,0.892,0.337,-0.305,5.427,3.78
-0.023,0.885,0.337,-0.305,5.122,3.598
-0.035,0.879,0.346,-0.122,4.634,3.354
-0.043,0.877,0.347,0.427,3.72,2.988
-0.042,0.874,0.35,0.793,2.195,2.256
-0.041,0.881,0.345,0.732,1.037,1.22
-0.029,0.889,0.343,0.732,1.037,0.427
-0.016,0.892,0.344,0.915,1.951,-0.549
-0.01,0.892,0.347,0.976,2.561,-1.524
-0.015,0.896,0.347,0.61,2.927,-1.768
-0.027,0.903,0.353,0.244,3.232,-1.89
-0.039,0.906,0.347,-0.366,3.049,-1.463
-0.044,0.912,0.344,-0.915,1.829,-0.732
-0.054,0.91,0.329,-0.854,0.122,-0.366
-0.053,0.907,0.33,-1.402,-1.159,0.0
-0.05,0.918,0.334,-2.378,-1.585,0.061
-0.039,0.923,0.345,-2.622,-1.768,0.244
-0.03,0.916,0.354,-2.256,-0.427,-0.061
-0.033,0.904,0.376,-3.11,0.305,-0.427
-0.023,0.915,0.364,-4.085,-2.256,-0.549
-0.055,0.908,0.357,-4.329,-4.451,0.183
-0.056,0.887,0.363,-6.037,-5.183,-0.122
-0.052,0.902,0.349,-7.988,-6.463,-0.732
-0.076,0.898,0.336,-9.39,-7.5,-0.61
-0.072,0.88,0.321,-11.829,-8.354,-0.549
-0.086,0.878,0.316,-13.841,-7.988,-1.463
-0.086,0.868,0.314,-15.61,-6.402,-3.537
-0.074,0.848,0.324,-17.805,-5.122,-5.122
-0.063,0.829,0.331,-19.329,-3.963,-7.622
-0.068,0.806,0.321,-20.305,-1.585,-10.488
-0.061,0.795,0.305,-20.427,1.646,-13.171
-0.056,0.791,0.294,-19.451,3.78,-15.732
-0.067,0.8,0.285,-19.939,5.488,-17.317
-0.08,0.833,0.291,-20.915,6.951,-17.683
-0.083,0.848,0.309,-19.39,7.744,-20.0
-0.095,0.858,0.32,-17.866,8.354,-20.305
-0.111,0.893,0.333,-15.183,7.744,-18.537
-0.128,0.933,0.347,-13.902,8.476,-17.622
-0.142,0.98,0.384,-14.085,12.622,-17.439
-0.119,0.99,0.413,-12.622,16.585,-16.646
-0.075,0.947,0.417,-9.512,16.098,-15.0
-0.069,0.91,0.421,-7.683,13.659,-13.841
