acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.056,0.939,0.381,-3.841,10.183,-0.061
-0.034,0.95,0.378,-4.024,9.756,0.915
-0.028,0.945,0.378,-3.415,10.183,2.256
-0.005,0.932,0.377,-3.171,12.439,3.902
0.012,0.934,0.38,-3.171,14.024,4.512
0.023,0.938,0.391,-3.171,13.415,5.0
0.011,0.936,0.401,-2.988,12.012,5.427
-0.005,0.927,0.401,-2.622,10.915,5.244
-0.004,0.928,0.401,-3.232,9.39,5.305
-0.008,0.93,0.396,-3.963,7.5,5.549
-0.018,0.919,0.392,-4.146,6.098,4.878
-0.019,0.909,0.384,-4.512,4.207,4.756
-0.014,0.901,0.386,-4.756,2.927,4.573
-0.017,0.898,0.388,-4.573,2.378,4.39
-0.005,0.895,0.377,-4.695,2.073,4.512
-0.003,0.892,0.375,-4.756,1.037,4.085
-0.008,0.89,0.371,-4.939,-0.061,4.146
-0.014,0.894,0.37,-4.939,-0.549,4.451
-0.013,0.897,0.377,-4.634,-0.427,4.024
-0.012,0.894,0.389,-4.024,-0.549,3.415
-0.018,0.893,0.393,-3.78,-1.28,3.171
-0.021,0.901,0.391,-3.902,-2.439,2.866
-0.024,0.902,0.385,-3.476,-3.476,2.378
-0.029,0.895,0.383,-2.927,-3.476,2.073
-0.023,0.892,0.375,-2.622,-2.561,1.951
-0.018,0.89,0.367,-2.195,-1.463,2.134
-0.019,0.888,0.356,-2.134,0.549,2.561
-0.022,0.888,0.361,-2.073,2.439,2.256
-0.023,0.885,0.366,-1.829,4.085,2.195
-0.032,0.88,0.37,-1.707,5.122,1.951
-0.04,0.877,0.365,-1.707,4.634,1.402
-0.037,0.875,0.356,-2.073,3.598,1.037
-0.037,0.873,0.354,-2.378,2.805,0.305
-0.036,0.868,0.353,-2.683,2.744,-0.793
-0.02,0.872,0.354,-2.927,3.049,-1.402
-0.022,0.876,0.353,-3.841,2.744,-1.829
-0.032,0.877,0.356,-4.634,2.378,-2.683
-0.048,0.874,0.356,-5.061,2.012,-3.72
-0.054,0.867,0.35,-5.915,0.732,-4.634
-0.055,0.866,0.349,-6.707,-0.976,-5.488
-0.06,0.861,0.347,-7.5,-1.829,-6.646
-0.06,0.856,0.347,-8.415,-2.927,-8.049
-0.062,0.856,0.342,-9.451,-4.146,-9.024
-0.079,0.861,0.328,-11.098,-4.268,-10.366
-0.094,0.866,0.316,-13.11,-3.537,-10.671
-0.092,0.854,0.309,-14.573,-2.927,-11.341
-0.086,0.834,0.3,-15.244,-2.805,-11.585
-0.079,0.817,0.288,-15.305,-3.293,-12.5
-0.076,0.831,0.281,-17.195,-2.805,-14.085
-0.089,0.866,0.284,-19.207,1.646,-15.671
-0.065,0.872,0.303,-20.183,6.951,-17.5
-0.046,0.855,0.325,-20.244,10.366,-17.378
-0.099,0.835,0.336,-18.963,14.451,-17.439
-0.131,0.825,0.347,-17.866,17.012,-18.841
-0.126,0.85,0.34,-17.805,12.378,-19.451
-0.159,0.885,0.366,-18.049,4.878,-20.061
-0.171,0.915,0.415,-18.354,0.671,-21.098
-0.124,0.933,0.459,-17.317,2.317,-21.646
-0.058,0.923,0.469,-13.659,5.549,-22.5
-0.011,0.894,0.471,-8.537,8.476,-20.427
0.035,0.867,0.509,-3.963,11.768,-18.659
0.044,0.888,0.535,-0.732,14.512,-17.683
0.003,0.917,0.532,1.89,15.61,-15.732
-0.028,0.923,0.514,4.024,14.207,-12.988
-0.04,0.919,0.493,5.732,10.915,-9.756
-0.059,0.917,0.482,6.707,6.585,-5.976
-0.064,0.931,0.478,6.768,2.927,-1.646
-0.076,0.947,0.478,7.073,1.159,1.829
-0.078,0.954,0.472,7.744,0.915,5.122
-0.079,0.955,0.464,8.293,1.341,6.463
-0.078,0.961,0.46,7.988,1.524,7.317
-0.078,0.968,0.452,7.256,1.585,8.476
-0.085,0.963,0.438,6.829,1.463,9.512
-0.098,0.956,0.431,5.854,1.402,10.244
-0.115,0.949,0.425,4.695,1.524,11.28
-0.124,0.944,0.418,3.659,0.732,12.622
-0.134,0.937,0.412,2.622,-0.732,13.11
-0.142,0.932,0.411,1.707,-2.195,13.415
-0.132,0.922,0.412,1.585,-2.988,13.049
-0.105,0.913,0.418,1.402,-3.659,13.049
-0.087,0.911,0.425,0.976,-3.841,12.988
-0.082,0.911,0.429,0.366,-3.354,12.683
-0.076,0.909,0.433,0.0,-2.683,12.683
-0.08,0.901,0.429,-0.305,-2.317,12.561
-0.079,0.893,0.421,-0.61,-2.439,13.11
-0.072,0.881,0.417,-0.427,-2.561,13.659
-0.065,0.863,0.408,-0.183,-2.866,13.902
-0.052,0.852,0.404,0.183,-3.659,14.024
-0.042,0.849,0.406,0.854,-4.573,13.354
-0.032,0.85,0.407,0.915,-5.488,12.622
-0.03,0.851,0.41,1.037,-5.854,11.768
-0.036,0.845,0.405,1.341,-5.061,10.488
-0.034,0.834,0.398,1.768,-4.756,8.841
-0.038,0.83,0.391,1.829,-5.0,7.744
-0.057,0.831,0.39,2.256,-4.878,6.037
-0.057,0.834,0.397,2.439,-4.939,3.902
-0.048,0.838,0.403,2.5,-5.671,1.707
-0.044,0.839,0.405,2.622,-6.707,-0.61
-0.038,0.842,0.405,3.049,-7.439,-2.988
-0.036,0.84,0.408,4.024,-6.341,-5.244
-0.023,0.838,0.408,4.451,-5.122,-7.256
-0.021,0.844,0.402,3.963,-3.78,-8.537
-0.032,0.857,0.381,4.207,-1.585,-9.817
