acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.007,0.543,0.543,-8.72,47.622,-22.317
0.027,0.503,0.569,-7.012,42.805,-24.939
0.064,0.461,0.562,-3.841,50.488,-26.768
0.123,0.473,0.527,-1.463,67.988,-26.341
0.119,0.458,0.44,0.366,85.427,-31.341
0.11,0.45,0.389,-1.341,97.744,-36.341
0.101,0.486,0.382,-5.671,103.537,-40.488
0.028,0.523,0.387,-12.317,99.634,-45.122
-0.089,0.555,0.411,-19.634,86.646,-48.415
-0.184,0.567,0.469,-24.207,72.378,-51.524
-0.256,0.564,0.539,-25.427,62.622,-52.988
-0.377,0.556,0.658,-22.256,53.902,-55.305
-0.364,0.596,0.813,-15.61,54.024,-52.073
-0.259,0.705,0.852,-7.622,65.061,-47.012
-0.252,0.728,0.854,0.427,74.573,-45.061
-0.226,0.738,0.871,7.622,81.89,-42.378
-0.179,0.758,0.845,11.707,86.098,-40.732
-0.188,0.811,0.809,12.073,81.402,-39.573
-0.248,0.846,0.769,11.524,68.659,-38.78
-0.284,0.884,0.767,9.329,56.768,-38.171
-0.291,0.916,0.793,8.049,50.61,-36.341
-0.288,0.928,0.823,7.5,48.902,-32.805
-0.272,0.943,0.888,7.988,46.585,-28.78
-0.292,0.934,0.932,10.915,41.951,-24.756
-0.298,0.931,0.94,12.866,37.683,-19.695
-0.287,0.913,0.932,14.634,32.744,-15.122
-0.283,0.875,0.888,15.244,27.988,-10.976
-0.288,0.837,0.846,15.488,23.841,-7.866
-0.279,0.795,0.799,14.451,20.183,-5.549
-0.264,0.781,0.751,12.073,17.195,-3.841
-0.277,0.772,0.714,11.463,14.39,-3.354
-0.287,0.76,0.684,9.878,13.049,-2.805
-0.306,0.753,0.656,8.598,11.89,-1.829
-0.323,0.74,0.635,7.5,9.39,-0.61
-0.344,0.743,0.605,6.463,6.159,0.793
-0.344,0.742,0.593,6.463,3.537,1.707
-0.333,0.737,0.594,6.037,1.585,2.134
-0.33,0.727,0.6,5.976,0.0,2.256
-0.329,0.718,0.612,5.61,-1.22,1.829
-0.317,0.707,0.639,3.598,-1.524,0.854
-0.308,0.702,0.675,1.951,-0.122,-0.61
-0.312,0.699,0.688,1.463,1.22,-1.768
-0.327,0.727,0.673,1.341,1.402,-2.012
-0.342,0.746,0.649,0.976,0.915,-1.768
-0.35,0.765,0.625,0.183,-0.976,-1.22
-0.358,0.763,0.616,0.183,-2.195,-0.183
-0.344,0.762,0.614,0.488,-1.524,1.463
-0.319,0.762,0.624,0.732,-1.22,2.439
-0.307,0.756,0.654,0.305,-1.646,2.683
-0.293,0.749,0.683,-0.122,-0.915,3.171
-0.278,0.735,0.694,1.707,0.732,3.293
-0.275,0.734,0.671,2.073,0.671,3.171
-0.29,0.745,0.641,2.012,-0.61,3.11
-0.285,0.723,0.621,1.829,-1.28,2.927
-0.281,0.711,0.614,1.22,-2.317,2.866
-0.287,0.688,0.61,2.134,-4.695,2.5
-0.283,0.676,0.589,2.439,-7.134,2.317
-0.283,0.674,0.585,2.378,-8.354,2.683
-0.288,0.663,0.602,2.988,-8.354,3.293
-0.281,0.663,0.604,3.598,-7.805,3.902
-0.274,0.679,0.605,3.659,-6.829,3.598
-0.278,0.68,0.6,3.841,-6.341,2.073
-0.292,0.679,0.576,3.78,-6.768,0.549
-0.288,0.681,0.553,3.963,-7.317,-0.549
-0.294,0.683,0.546,3.415,-6.28,-0.244
-0.31,0.688,0.547,2.622,-5.793,0.854
-0.324,0.691,0.565,2.378,-7.073,0.671
-0.342,0.673,0.612,4.329,-9.512,-0.183
-0.345,0.659,0.632,6.402,-11.524,-0.61
-0.318,0.677,0.624,8.049,-12.622,-0.915
-0.294,0.685,0.614,10.366,-12.073,-1.402
-0.277,0.685,0.609,12.561,-9.939,-2.256
-0.277,0.691,0.609,13.171,-9.512,-4.451
-0.28,0.686,0.62,13.476,-14.085,-7.866
-0.252,0.703,0.649,10.305,-15.427,-6.585
-0.297,0.753,0.657,6.22,-17.256,-5.305
-0.325,0.795,0.651,2.5,-19.329,-5.122
-0.313,0.794,0.63,-0.061,-20.488,-5.732
